episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,0.915,DONE_FAIL,346,,1,0,0,,0.0,0.0,0.0
1,1,0,0,0.835,DONE_FAIL,292,,1,0,0,,0.0,0.0,0.0
2,1,0,0,0.8942,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
3,1,0,0,0.334,DONE_FAIL,499,,2,0,0,,0.0,0.0,0.0
4,1,0,0,0.9185,DONE_FAIL,615,,2,0,0,,0.0,0.0,0.0
5,1,0,0,0.015,DONE_FAIL,281,,1,0,0,,0.0,0.0,0.0
6,1,1,1,0.8974,DONE_OK,185,,1,0,0,,0.0,0.0,0.0
7,1,0,0,0.6998,DONE_FAIL,497,,2,0,0,,0.0,0.0,0.0
8,1,0,0,0.4489,DONE_FAIL,632,,2,0,0,,0.0,0.0,0.0
9,1,0,0,0.7563,DONE_FAIL,450,,1,0,0,,0.0,0.0,0.0
10,1,0,0,0.959,DONE_FAIL,527,,2,0,0,,0.0,0.0,0.0
11,1,0,0,0.8681,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,0.8362,DONE_FAIL,294,,1,0,0,,0.0,0.0,0.0
13,1,0,0,0.9576,DONE_FAIL,524,,2,0,0,,0.0,0.0,0.0
14,1,0,0,0.015,DONE_FAIL,434,,1,0,0,,0.0,0.0,0.0
15,1,0,0,0.835,DONE_FAIL,343,,1,0,0,,0.0,0.0,0.0
16,1,0,0,0.8459,DONE_FAIL,332,,1,0,0,,0.0,0.0,0.0
17,1,0,0,0.015,DONE_FAIL,485,,2,0,0,,0.0,0.0,0.0
18,1,0,0,0.4275,DONE_FAIL,474,,2,0,0,,0.0,0.0,0.0
19,1,0,0,0.8914,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,0,0.3341,DONE_FAIL,484,,2,0,0,,0.0,0.0,0.0
21,1,0,0,0.835,DONE_FAIL,429,,1,0,0,,0.0,0.0,0.0
22,1,0,0,0.015,DONE_FAIL,489,,2,0,0,,0.0,0.0,0.0
23,1,0,0,0.8837,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
24,1,0,0,0.969,DONE_FAIL,380,,1,0,0,,0.0,0.0,0.0
25,1,0,0,0.894,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,0,0.015,DONE_FAIL,533,,2,0,0,,0.0,0.0,0.0
27,1,0,0,0.8932,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,0,0,0.0773,DONE_FAIL,190,,1,0,0,,0.0,0.0,0.0
29,1,0,0,0.6191,DONE_FAIL,578,,1,0,0,,0.0,0.0,0.0
30,1,1,1,0.8888,DONE_OK,174,,1,0,0,,0.0,0.0,0.0
31,1,0,0,0.9135,DONE_FAIL,557,,2,0,0,,0.0,0.0,0.0
32,1,0,0,0.7064,DONE_FAIL,383,,1,0,0,,0.0,0.0,0.0
33,1,0,0,0.8933,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
34,1,0,0,0.8344,DONE_FAIL,546,,1,0,0,,0.0,0.0,0.0
35,1,0,0,0.8934,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
36,1,0,0,0.8655,DONE_FAIL,320,,1,0,0,,0.0,0.0,0.0
37,1,0,0,0.05,DONE_FAIL,450,,2,0,0,,0.0,0.0,0.0
38,1,0,0,0.8944,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,0,0,0.8046,DONE_FAIL,539,,2,0,0,,0.0,0.0,0.0
40,1,0,0,0.721,DONE_FAIL,511,,2,0,0,,0.0,0.0,0.0
41,1,0,0,0.8931,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,0,0.5602,DONE_FAIL,395,,1,0,0,,0.0,0.0,0.0
43,1,0,0,0.835,DONE_FAIL,415,,1,0,0,,0.0,0.0,0.0
44,1,0,0,0.8878,DONE_FAIL,604,,2,0,0,,0.0,0.0,0.0
45,1,0,0,0.8939,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,0,0,0.9838,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
47,1,0,0,0.885,DONE_FAIL,432,,2,0,0,,0.0,0.0,0.0
48,1,1,1,0.895,DONE_OK,230,,1,0,0,,0.0,0.0,0.0
49,1,0,0,0.015,DONE_FAIL,370,,1,0,0,,0.0,0.0,0.0
