episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.8719,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
1,1,1,1,0.8706,DONE_OK,102,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8952,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
3,1,1,1,0.8864,DONE_OK,88,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.8746,DONE_OK,118,,0,0,0,,0.0,0.0,0.0
5,1,0,1,0.9055,DONE_FAIL,119,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8549,DONE_OK,177,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8735,DONE_OK,135,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8798,DONE_OK,116,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.8718,DONE_OK,104,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.9035,DONE_OK,88,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.8721,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
12,1,1,1,0.8731,DONE_OK,116,,0,0,0,,0.0,0.0,0.0
13,1,0,1,0.9028,DONE_FAIL,117,,0,0,0,,0.0,0.0,0.0
14,1,0,1,0.9042,DONE_FAIL,137,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.8686,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.896,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8703,DONE_OK,92,,0,0,0,,0.0,0.0,0.0
18,1,0,0,0.9117,DONE_FAIL,191,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.8691,DONE_OK,107,,0,0,0,,0.0,0.0,0.0
20,1,0,1,0.907,DONE_FAIL,176,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.8944,DONE_OK,137,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.8951,DONE_OK,118,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.8973,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8703,DONE_OK,151,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.8963,DONE_OK,136,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.8876,DONE_OK,162,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8535,DONE_OK,122,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.8879,DONE_OK,93,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.8715,DONE_OK,114,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.8948,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.8319,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.9061,DONE_OK,168,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.8893,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.9,DONE_OK,121,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8644,DONE_OK,132,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.8769,DONE_OK,159,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8964,DONE_OK,147,,0,0,0,,0.0,0.0,0.0
38,1,0,1,0.9037,DONE_FAIL,163,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8936,DONE_OK,160,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.8707,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.835,DONE_OK,111,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.8728,DONE_OK,138,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.9008,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
44,1,1,1,0.872,DONE_OK,182,,0,0,0,,0.0,0.0,0.0
45,1,1,1,0.8773,DONE_OK,171,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8887,DONE_OK,197,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.899,DONE_OK,95,,0,0,0,,0.0,0.0,0.0
48,1,1,1,0.8994,DONE_OK,122,,0,0,0,,0.0,0.0,0.0
49,1,0,0,0.8631,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
