episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,0.8877,DONE_FAIL,357,,1,0,0,,0.0,0.0,0.0
1,1,0,0,0.8661,DONE_FAIL,397,,1,0,0,,0.0,0.0,0.0
2,1,0,0,0.8351,DONE_FAIL,375,,1,0,0,,0.0,0.0,0.0
3,1,1,1,0.9024,DONE_OK,124,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.896,DONE_OK,64,,0,0,0,,0.0,0.0,0.0
5,1,0,0,0.9128,DONE_FAIL,392,,2,0,0,,0.0,0.0,0.0
6,1,0,0,0.835,DONE_FAIL,491,,1,0,0,,0.0,0.0,0.0
7,1,0,1,0.9064,DONE_FAIL,90,,0,0,0,,0.0,0.0,0.0
8,1,0,0,0.8934,DONE_FAIL,362,,1,0,0,,0.0,0.0,0.0
9,1,0,0,0.8351,DONE_FAIL,285,,1,0,0,,0.0,0.0,0.0
10,1,1,1,0.8924,DONE_OK,175,,1,0,0,,0.0,0.0,0.0
11,1,0,0,0.8351,DONE_FAIL,299,,1,0,0,,0.0,0.0,0.0
12,1,0,0,0.899,DONE_FAIL,97,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8676,DONE_OK,227,,1,0,0,,0.0,0.0,0.0
14,1,1,1,0.8963,DONE_OK,138,,0,0,0,,0.0,0.0,0.0
15,1,0,0,0.8963,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,0,0,0.9711,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8304,DONE_OK,154,,1,0,0,,0.0,0.0,0.0
18,1,0,0,0.015,DONE_FAIL,560,,2,0,0,,0.0,0.0,0.0
19,1,0,0,0.8365,DONE_FAIL,332,,1,0,0,,0.0,0.0,0.0
20,1,0,1,0.9033,DONE_FAIL,304,,2,0,0,,0.0,0.0,0.0
21,1,1,1,0.8821,DONE_OK,52,,0,0,0,,0.0,0.0,0.0
22,1,0,0,0.937,DONE_FAIL,273,,2,0,0,,0.0,0.0,0.0
23,1,1,1,0.8961,DONE_OK,220,,1,0,0,,0.0,0.0,0.0
24,1,0,0,0.915,DONE_FAIL,277,,1,0,0,,0.0,0.0,0.0
25,1,0,0,0.8351,DONE_FAIL,308,,1,0,0,,0.0,0.0,0.0
26,1,1,1,0.8935,DONE_OK,166,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8712,DONE_OK,239,,1,0,0,,0.0,0.0,0.0
28,1,1,1,0.896,DONE_OK,307,,2,0,0,,0.0,0.0,0.0
29,1,0,0,0.8887,DONE_FAIL,323,,1,0,0,,0.0,0.0,0.0
30,1,1,1,0.8334,DONE_OK,165,,1,0,0,,0.0,0.0,0.0
31,1,1,1,0.8898,DONE_OK,139,,0,0,0,,0.0,0.0,0.0
32,1,0,0,0.015,DONE_FAIL,320,,1,0,0,,0.0,0.0,0.0
33,1,0,0,0.8457,DONE_FAIL,336,,1,0,0,,0.0,0.0,0.0
34,1,1,1,0.9099,DONE_OK,124,,1,0,0,,0.0,0.0,0.0
35,1,1,1,0.8836,DONE_OK,220,,1,0,0,,0.0,0.0,0.0
36,1,0,0,0.933,DONE_FAIL,73,,0,0,0,,0.0,0.0,0.0
37,1,0,0,0.8739,DONE_FAIL,492,,1,0,0,,0.0,0.0,0.0
38,1,0,0,0.05,DONE_FAIL,441,,2,0,0,,0.0,0.0,0.0
39,1,1,1,0.9108,DONE_OK,149,,0,0,0,,0.0,0.0,0.0
40,1,0,0,0.9205,DONE_FAIL,160,,0,0,0,,0.0,0.0,0.0
41,1,0,0,0.8801,DONE_FAIL,337,,1,0,0,,0.0,0.0,0.0
42,1,1,1,0.8991,DONE_OK,258,,1,0,0,,0.0,0.0,0.0
43,1,0,0,0.8934,DONE_FAIL,333,,1,0,0,,0.0,0.0,0.0
44,1,1,1,0.879,DONE_OK,263,,2,0,0,,0.0,0.0,0.0
45,1,0,0,0.9029,DONE_FAIL,297,,1,0,0,,0.0,0.0,0.0
46,1,0,0,0.8325,DONE_FAIL,295,,1,0,0,,0.0,0.0,0.0
47,1,0,0,0.8221,DONE_FAIL,606,,2,0,0,,0.0,0.0,0.0
48,1,1,1,0.871,DONE_OK,399,,1,0,0,,0.0,0.0,0.0
49,1,1,1,0.8958,DONE_OK,180,,0,0,0,,0.0,0.0,0.0
