episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,0.015,DONE_FAIL,360,,2,0,0,,0.0,0.0,0.0
1,1,0,0,0.05,DONE_FAIL,324,,1,0,0,,0.0,0.0,0.0
2,1,0,0,0.015,DONE_FAIL,281,,1,0,0,,0.0,0.0,0.0
3,1,0,0,0.015,DONE_FAIL,450,,2,0,0,,0.0,0.0,0.0
4,1,0,0,0.915,DONE_FAIL,176,,0,0,0,,0.0,0.0,0.0
5,1,1,1,0.8716,DONE_OK,135,,1,0,0,,0.0,0.0,0.0
6,1,0,1,0.9096,DONE_FAIL,184,,0,0,0,,0.0,0.0,0.0
7,1,0,0,0.8351,DONE_FAIL,512,,2,0,0,,0.0,0.0,0.0
8,1,0,0,0.8886,DONE_FAIL,511,,2,0,0,,0.0,0.0,0.0
9,1,1,1,0.8704,DONE_OK,77,,0,0,0,,0.0,0.0,0.0
10,1,0,0,0.8048,DONE_FAIL,283,,1,0,0,,0.0,0.0,0.0
11,1,1,1,0.87,DONE_OK,165,,1,0,0,,0.0,0.0,0.0
12,1,0,0,0.9005,DONE_FAIL,376,,1,0,0,,0.0,0.0,0.0
13,1,1,1,0.8963,DONE_OK,121,,0,0,0,,0.0,0.0,0.0
14,1,1,1,0.8717,DONE_OK,201,,1,0,0,,0.0,0.0,0.0
15,1,0,0,0.906,DONE_FAIL,497,,2,0,0,,0.0,0.0,0.0
16,1,0,0,0.015,DONE_FAIL,392,,2,0,0,,0.0,0.0,0.0
17,1,0,0,0.9151,DONE_FAIL,105,,0,0,0,,0.0,0.0,0.0
18,1,0,0,0.835,DONE_FAIL,282,,1,0,0,,0.0,0.0,0.0
19,1,0,0,0.9151,DONE_FAIL,316,,1,0,0,,0.0,0.0,0.0
20,1,1,1,0.8833,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
21,1,0,0,0.015,DONE_FAIL,395,,2,0,0,,0.0,0.0,0.0
22,1,1,1,0.8481,DONE_OK,150,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.8761,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
24,1,0,0,0.8933,DONE_FAIL,512,,1,0,0,,0.0,0.0,0.0
25,1,0,0,0.8782,DONE_FAIL,438,,2,0,0,,0.0,0.0,0.0
26,1,0,0,0.9112,DONE_FAIL,438,,1,0,0,,0.0,0.0,0.0
27,1,1,1,0.8981,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
28,1,0,0,0.015,DONE_FAIL,516,,1,0,0,,0.0,0.0,0.0
29,1,0,0,0.9491,DONE_FAIL,395,,1,0,0,,0.0,0.0,0.0
30,1,0,0,0.015,DONE_FAIL,556,,2,0,0,,0.0,0.0,0.0
31,1,1,1,0.8691,DONE_OK,113,,0,0,0,,0.0,0.0,0.0
32,1,0,0,0.9533,DONE_FAIL,387,,1,0,0,,0.0,0.0,0.0
33,1,0,0,0.9003,DONE_FAIL,387,,1,0,0,,0.0,0.0,0.0
34,1,1,1,0.9033,DONE_OK,105,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8863,DONE_OK,187,,1,0,0,,0.0,0.0,0.0
36,1,0,0,0.9264,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,0,0,0.835,DONE_FAIL,295,,1,0,0,,0.0,0.0,0.0
38,1,1,1,0.908,DONE_OK,84,,0,0,0,,0.0,0.0,0.0
39,1,0,0,0.015,DONE_FAIL,494,,2,0,0,,0.0,0.0,0.0
40,1,0,0,0.835,DONE_FAIL,302,,1,0,0,,0.0,0.0,0.0
41,1,1,1,0.8941,DONE_OK,100,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.8949,DONE_OK,111,,0,0,0,,0.0,0.0,0.0
43,1,0,0,0.015,DONE_FAIL,568,,2,0,0,,0.0,0.0,0.0
44,1,0,0,0.912,DONE_FAIL,399,,2,0,0,,0.0,0.0,0.0
45,1,0,0,0.871,DONE_FAIL,305,,1,0,0,,0.0,0.0,0.0
46,1,1,1,0.8812,DONE_OK,68,,0,0,0,,0.0,0.0,0.0
47,1,0,0,0.015,DONE_FAIL,273,,1,0,0,,0.0,0.0,0.0
48,1,0,0,0.9111,DONE_FAIL,474,,2,0,0,,0.0,0.0,0.0
49,1,1,1,0.8851,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
