DESCEND_exit_d,DESCEND_exit_z,DESCEND_in_d,DESCEND_in_grasped,DESCEND_in_z,OPEN_exit_d,OPEN_exit_z,OPEN_in_d,OPEN_in_grasped,OPEN_in_z,RECENTER_exit_d,RECENTER_exit_z,RECENTER_in_d,RECENTER_in_grasped,RECENTER_in_z,RETRACT_in_d,RETRACT_in_grasped,RETRACT_in_z,TRANSPORT_exit_d,TRANSPORT_exit_z,d_min,eef_x,eef_y,eef_z,end_d,end_grasped,end_z,episode,grip_w,joint_idx,joint_margin,n_DESCEND,n_OPEN,n_RECENTER,n_RETRACT,n_TRANSPORT,phase,reach_xy,steps,success,tag
0.0016559265786781907,1.237823247909546,0.026601681485772133,1,1.277144193649292,0.0028529923874884844,1.098511815071106,0.0016559265786781907,1,1.237823247909546,0.026601681485772133,1.277144193649292,0.14881446957588196,1,1.2863235473632812,0.0028529923874884844,0,1.098511815071106,0.14881446957588196,1.2863235473632812,0.15747131407260895,0.21347437263206628,0.14948420683079594,1.2512869169359737,0.007545424625277519,0,0.8332009315490723,0,0.07488425630354673,6,1.0213642357844643,30,8,23,3,52,DONE_OK,0.26060858746880633,116,1,p2_int8
0.10710763186216354,1.1993943452835083,0.11482453346252441,0,1.256940245628357,0.10534793138504028,0.9231862425804138,0.10710763186216354,0,1.1993943452835083,0.11482453346252441,1.256940245628357,0.1710330843925476,1,1.2807464599609375,0.10534793138504028,0,0.9231862425804138,0.1710330843925476,1.2807464599609375,0.1712394654750824,0.19984636484297963,0.03360647606539752,1.3539368390025481,0.10535884648561478,0,0.9231699109077454,1,0.07816428046414871,5,0.5831686687076796,1,8,18,12,18,DONE_FAIL,0.20265232486820242,57,0,p2_int8
0.025011533871293068,1.3098758459091187,0.027202807366847992,1,1.30674147605896,0.05932367965579033,1.1141791343688965,0.025011533871293068,1,1.3098758459091187,0.027202807366847992,1.30674147605896,0.1737271100282669,1,1.286538004875183,0.05932367965579033,0,1.1141791343688965,0.1737271100282669,1.286538004875183,0.17538699507713318,0.19116958163146003,0.19131092778662595,1.3217651121252607,0.00691754138097167,0,0.8534709811210632,2,0.07606698847726485,5,0.10488803678833358,2,8,28,4,70,DONE_OK,0.27045458034895076,112,1,p2_int8
0.024286866188049316,1.168473482131958,0.02768106572329998,1,1.1681102514266968,0.019205160439014435,1.1294935941696167,0.024286866188049316,1,1.168473482131958,0.02768106572329998,1.1681102514266968,0.13718107342720032,1,1.1158645153045654,0.019205160439014435,0,1.1294935941696167,0.13718107342720032,1.1158645153045654,0.1478729099035263,0.19963836465471113,0.1341768180896425,1.1821632697785012,0.019558779895305634,0,0.8435506224632263,3,0.07702426390333039,5,0.05833532320609125,2,8,25,5,7,DONE_OK,0.24053876019192505,47,1,p2_int8
0.009372824802994728,1.2576770782470703,0.026965055614709854,1,1.324883222579956,0.01685747131705284,1.1964017152786255,0.009372824802994728,1,1.2576770782470703,0.026965055614709854,1.324883222579956,0.15426847338676453,1,1.3472334146499634,0.01685747131705284,0,1.1964017152786255,0.15426847338676453,1.3472334146499634,0.16209162771701813,0.19564712908573464,0.14212942638510137,1.2711838669523299,0.03238525241613388,0,0.8460202813148499,4,0.07709854233747457,3,0.6843278608237178,30,8,27,5,48,DONE_OK,0.24182343344690163,118,1,p2_int8
0.0023034801706671715,1.3908315896987915,0.025473760440945625,1,1.442664384841919,0.006715164985507727,1.3200050592422485,0.0023034801706671715,1,1.3908315896987915,0.025473760440945625,1.442664384841919,0.15968090295791626,1,1.40201735496521,0.006715164985507727,0,1.3200050592422485,0.15968090295791626,1.40201735496521,0.16518698632717133,0.2079830132159482,0.15094824351493796,1.4222078386339048,0.014164596796035767,0,0.8461179733276367,5,0.07749696278472883,6,0.8432772353218088,30,8,23,6,57,DONE_OK,0.25698697633660406,124,1,p2_int8
0.000988498912192881,1.1894837617874146,0.025044646114110947,1,1.232357382774353,0.0083547942340374,0.841010332107544,0.000988498912192881,1,1.1894837617874146,0.025044646114110947,1.232357382774353,0.14512011408805847,1,1.2193268537521362,0.0083547942340374,0,0.841010332107544,0.14512011408805847,1.2193268537521362,0.1539684683084488,0.2277669413938244,0.13657103027958561,1.2023808523794846,0.008232920430600643,0,0.8427566885948181,6,0.06694332630128083,3,0.9383510400996108,30,8,20,1,46,DONE_OK,0.2655737673482178,105,1,p2_int8
0.012000717222690582,0.9024041891098022,0.09790325164794922,1,0.9652571678161621,0.01137665193527937,0.8653175830841064,0.012000717222690582,1,0.9024041891098022,0.09790325164794922,0.9652571678161621,0.1729220598936081,1,1.0961599349975586,0.01137665193527937,0,0.8653175830841064,0.1729220598936081,1.0961599349975586,0.17483162879943848,0.20814650431044882,0.1499391886472527,0.9052001924767747,0.0065223355777561665,0,0.8456445336341858,7,0.06937555878129938,5,0.572983062773508,30,8,30,1,28,DONE_OK,0.2565282197904475,97,1,p2_int8
0.0023545867297798395,1.4197375774383545,0.026688089594244957,1,1.483285665512085,0.003993783611804247,1.368038296699524,0.0023545867297798395,1,1.4197375774383545,0.026688089594244957,1.483285665512085,0.16333402693271637,1,1.3714313507080078,0.003993783611804247,0,1.368038296699524,0.16333402693271637,1.3714313507080078,0.1685667484998703,0.20960409476288638,0.14874564564828763,1.439869364803193,0.02113150618970394,0,0.8419410586357117,8,0.07749732821058633,6,0.8624611083015292,30,8,26,6,47,DONE_OK,0.25701973395187966,117,1,p2_int8
,,,,,,,,,,,,,,,,,,,,0.19657199084758759,0.040613277914781885,0.5834253052629631,0.8995871069575044,0.2592063546180725,0,0.8432421684265137,9,0.0009997921674011548,1,0.10961604393443336,0,0,0,0,300,DONE_FAIL,0.5848371783361289,300,0,p2_int8
