label,policy,frac,seed,episode,reason,success,steps,released,handoff_d,R_custom,R_builtin,R_bpot_shape,R_bpot_sparse,ctrl_returned_minus_custom,ctrl_builtin_mismatch_steps,ctrl_builtin_max_abs
zero,zero,0.3,1,0,transport_stall,0,51,0,0.1521,-25.0749,26.5631,-0.2633,0.0,0.0,0,0.0
zero,zero,0.3,1,1,transport_stall,0,90,0,0.1441,-28.8854,46.6366,-0.4096,0.0,0.0,0,0.0
zero,zero,0.3,1,2,transport_stall,0,51,0,0.1482,-25.066,26.7632,-0.2625,0.0,0.0,0,0.0
zero,zero,0.3,1,3,transport_stall,0,51,0,0.1768,-24.9902,26.1684,-0.2601,0.0,0.0,0,0.0
zero,zero,0.3,1,4,transport_stall,0,51,0,0.233,-24.828,25.6865,-0.257,0.0,0.0,0,0.0
zero,zero,0.3,1,5,transport_stall,0,51,0,0.2094,-24.8623,25.872,-0.2573,0.0,0.0,0,0.0
zero,zero,0.3,1,6,success,1,6,1,0.1035,149.4186,3.3789,0.1208,1.0,0.0,0,0.0
zero,zero,0.3,1,7,transport_stall,0,51,0,0.2348,-24.7846,25.7164,-0.2565,0.0,0.0,0,0.0
zero,zero,0.3,1,8,transport_stall,0,51,0,0.1388,-25.102,26.9811,-0.2643,0.0,0.0,0,0.0
zero,zero,0.3,1,9,transport_stall,0,58,0,0.1575,-25.7217,30.2914,-0.2968,0.0,0.0,0,0.0
zero,zero,0.3,1,10,transport_stall,0,51,0,0.1897,-24.9718,25.9499,-0.2597,0.0,0.0,0,0.0
zero,zero,0.3,1,11,transport_stall,0,61,0,0.2037,-25.838,31.0414,-0.3081,0.0,0.0,0,0.0
zero,zero,0.3,1,12,transport_stall,0,51,0,0.1362,-25.1304,26.8989,-0.2664,0.0,0.0,0,0.0
zero,zero,0.3,1,13,transport_stall,0,51,0,0.1714,-25.01,26.2145,-0.2608,0.0,0.0,0,0.0
zero,zero,0.3,1,14,transport_stall,0,51,0,0.3291,-24.4968,24.3118,-0.2476,0.0,0.0,0,0.0
zero,zero,0.3,1,15,transport_stall,0,51,0,0.1811,-25.0016,26.0213,-0.2605,0.0,0.0,0,0.0
zero,zero,0.3,1,16,transport_stall,0,51,0,0.1949,-24.9108,25.9968,-0.2581,0.0,0.0,0,0.0
zero,zero,0.3,1,17,transport_stall,0,51,0,0.213,-24.8547,25.843,-0.2573,0.0,0.0,0,0.0
zero,zero,0.3,1,18,transport_stall,0,51,0,0.2026,-24.8904,25.9198,-0.2578,0.0,0.0,0,0.0
zero,zero,0.3,1,19,transport_stall,0,51,0,0.2756,-24.6766,25.5813,-0.2558,0.0,0.0,0,0.0
