label,policy,frac,seed,episode,reason,success,steps,released,handoff_d,R_custom,R_builtin,R_bpot_shape,R_bpot_sparse,ctrl_returned_minus_custom,ctrl_builtin_mismatch_steps,ctrl_builtin_max_abs
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,0,fell_off_table,0,83,0,0.5089,-38.1208,14.1364,-0.6392,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,1,timeout_dropped,0,200,0,0.4907,-38.5985,16.7128,-0.5664,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,2,fell_off_table,0,149,0,0.5049,-67.7908,54.765,-1.0467,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,3,timeout_dropped,0,200,0,0.5954,-46.9569,17.7052,-0.6764,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,4,timeout_dropped,0,200,0,0.7281,-38.2274,22.0218,-0.7088,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,5,timeout_dropped,0,200,0,0.7037,-38.7824,32.3075,-0.7574,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,6,transport_stall,0,91,0,0.3546,-28.1266,46.6455,-0.4645,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,7,transport_stall,0,51,0,0.788,-23.2121,19.2276,-0.1949,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,8,timeout_dropped,0,200,0,0.6438,-61.0061,16.4558,-0.553,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,9,timeout_dropped,0,200,0,0.4788,-40.6548,22.4302,-0.7122,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,10,fell_off_table,0,103,0,0.5384,-63.5786,33.6097,-0.8341,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,11,transport_stall,0,99,0,0.6345,-34.7977,35.0726,-0.4998,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,12,transport_stall,0,129,0,0.6934,-45.0833,47.7791,-0.6249,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,13,timeout_dropped,0,200,0,0.4674,-94.7208,36.6382,-0.8613,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,14,transport_stall,0,78,0,0.5714,-49.5234,29.1617,-0.4353,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,15,timeout_dropped,0,200,0,0.6829,-46.3519,17.0074,-0.5737,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,16,timeout_dropped,0,200,0,0.5048,-47.7825,12.7732,-0.6251,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,17,transport_stall,0,122,0,0.653,-60.5015,31.4872,-0.4612,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,18,transport_stall,0,98,0,0.7183,-34.6158,38.2885,-0.5298,0.0,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,1.0,1,19,transport_stall,0,144,0,0.6846,-62.2735,34.6716,-0.4757,0.0,0.0,0,0.0
