episode,attempts,success,phase,steps,tag,regrasps,unjams
0,1,1,DONE_OK,112,rotate,0,0
1,1,1,DONE_OK,119,rotate,0,0
2,1,0,DONE_FAIL,300,rotate,0,3
3,1,1,DONE_OK,95,rotate,0,0
4,1,1,DONE_OK,136,rotate,0,0
5,2,1,DONE_OK,120,rotate,0,0
6,1,1,DONE_OK,117,rotate,0,0
7,1,1,DONE_OK,105,rotate,0,0
8,1,1,DONE_OK,91,rotate,0,0
9,1,1,DONE_OK,126,rotate,0,0
10,1,1,DONE_OK,126,rotate,0,0
11,1,1,DONE_OK,123,rotate,0,0
12,2,1,DONE_OK,120,rotate,0,0
13,1,1,DONE_OK,135,rotate,0,0
14,1,0,DONE_FAIL,90,rotate,0,0
15,1,1,DONE_OK,81,rotate,0,0
16,1,1,DONE_OK,58,rotate,0,0
17,1,1,DONE_OK,136,rotate,0,0
18,1,0,DONE_FAIL,300,rotate,0,0
19,1,0,DONE_FAIL,300,rotate,0,3
20,1,1,DONE_OK,116,rotate,0,0
21,1,1,DONE_OK,90,rotate,0,0
22,1,1,DONE_OK,54,rotate,0,0
23,2,1,DONE_OK,105,rotate,0,0
24,1,0,DONE_FAIL,300,rotate,0,3
25,1,1,DONE_OK,88,rotate,0,0
26,1,1,DONE_OK,119,rotate,0,0
27,3,1,DONE_OK,108,rotate,0,0
28,1,1,DONE_OK,125,rotate,0,0
29,2,1,DONE_OK,88,rotate,0,0
30,1,1,DONE_OK,135,rotate,0,0
31,1,1,DONE_OK,85,rotate,0,0
32,1,1,DONE_OK,99,rotate,0,0
33,1,1,DONE_OK,80,rotate,0,0
34,1,1,DONE_OK,128,rotate,0,0
35,1,1,DONE_OK,136,rotate,0,0
36,1,1,DONE_OK,128,rotate,0,0
37,1,1,DONE_OK,147,rotate,0,0
38,1,0,DONE_FAIL,300,rotate,0,0
39,1,1,DONE_OK,89,rotate,0,0
40,1,1,DONE_OK,69,rotate,0,0
41,1,1,DONE_OK,117,rotate,0,0
42,1,0,DONE_FAIL,300,rotate,0,0
43,1,1,DONE_OK,110,rotate,0,0
44,1,1,DONE_OK,124,rotate,0,0
45,1,1,DONE_OK,72,rotate,0,0
46,1,1,DONE_OK,79,rotate,0,0
47,1,1,DONE_OK,85,rotate,0,0
48,1,1,DONE_OK,72,rotate,0,0
49,2,0,DONE_FAIL,300,rotate,0,2
50,1,0,DONE_FAIL,300,rotate,0,3
51,1,0,DONE_FAIL,300,rotate,0,0
52,1,1,DONE_OK,132,rotate,0,0
53,1,1,DONE_OK,141,rotate,0,0
54,1,0,DONE_FAIL,300,rotate,0,3
55,1,0,DONE_FAIL,300,rotate,0,0
56,1,0,DONE_FAIL,300,rotate,0,3
57,1,1,DONE_OK,120,rotate,0,0
58,1,1,DONE_OK,116,rotate,0,0
59,1,1,DONE_OK,87,rotate,0,0
60,1,1,DONE_OK,82,rotate,0,0
61,1,0,DONE_FAIL,87,rotate,0,0
62,1,1,DONE_OK,99,rotate,0,0
63,1,1,DONE_OK,82,rotate,0,0
64,1,0,DONE_FAIL,51,rotate,0,0
65,1,1,DONE_OK,106,rotate,0,0
66,1,0,DONE_FAIL,97,rotate,0,0
67,1,1,DONE_OK,99,rotate,0,0
68,1,1,DONE_OK,116,rotate,0,0
69,3,0,DONE_FAIL,300,rotate,0,0
70,1,1,DONE_OK,103,rotate,0,0
71,1,1,DONE_OK,76,rotate,0,0
72,1,1,DONE_OK,128,rotate,0,0
73,1,1,DONE_OK,102,rotate,0,0
74,1,1,DONE_OK,54,rotate,0,0
75,1,1,DONE_OK,93,rotate,0,0
76,1,1,DONE_OK,75,rotate,0,0
77,1,1,DONE_OK,114,rotate,0,0
78,1,1,DONE_OK,133,rotate,0,0
79,1,1,DONE_OK,106,rotate,0,0
80,1,1,DONE_OK,87,rotate,0,0
81,1,1,DONE_OK,105,rotate,0,0
82,1,0,DONE_FAIL,300,rotate,0,3
83,1,0,DONE_FAIL,300,rotate,0,0
84,1,1,DONE_OK,73,rotate,0,0
85,3,1,DONE_OK,58,rotate,0,0
86,1,0,DONE_FAIL,300,rotate,0,0
87,1,1,DONE_OK,116,rotate,0,0
88,1,1,DONE_OK,83,rotate,0,0
89,2,0,DONE_FAIL,141,rotate,0,0
90,1,1,DONE_OK,95,rotate,0,0
91,1,1,DONE_OK,138,rotate,0,0
92,1,1,DONE_OK,85,rotate,0,0
93,1,1,DONE_OK,41,rotate,0,0
94,1,1,DONE_OK,112,rotate,0,0
95,1,1,DONE_OK,217,rotate,0,0
96,1,1,DONE_OK,119,rotate,0,0
97,1,1,DONE_OK,95,rotate,0,0
98,1,1,DONE_OK,149,rotate,0,0
99,1,1,DONE_OK,113,rotate,0,0
