res_x,res_y,res_z,res_norm,reproj,area_px,obliq_deg,cam_range,gripper_perp,gripper_dz,cx,cy,obj_yaw,det_x,det_y,det_z
-0.01476680556921145,-0.004670540364555109,-0.013849031294431269,0.020776625371074327,3.932278502816189e-08,466.875,45.44948374968394,0.3497249526345166,0.09762855990450882,0.14612074185894597,276.40972900390625,26.896636962890625,-2.775290435032959,0.15397433291024398,-0.272618874854293,0.8588490312944314
-0.015720365375333056,-0.003385990624030777,-0.012491109341235651,0.020362284562757176,4.78264539083284e-09,412.447265625,48.540883729346724,0.3788526722397377,0.09808059578529665,0.1483703268321629,291.932373046875,28.724716186523438,-1.3203842419127885,0.17279846588269612,-0.3190674919947155,0.8574911093412357
-0.014915025456223446,-0.00466561364357003,-0.013425774462364592,0.02060284822409614,3.386939395610966e-09,438.04296875,31.597342789105603,0.28877462538529003,0.08455156204488146,0.1442214737003129,183.53909301757812,57.21381378173828,0.8618595869220985,0.13482268477168183,-0.11221175431142842,0.8584257744623647
-0.014753040595248547,-0.00459370133089218,-0.013413668802272127,0.02046169126586414,4.635360095761598e-09,525.72265625,18.91220134060162,0.2577582253572163,0.06696635816806835,0.14213571309607798,203.381591796875,104.51349639892578,2.436013567896935,0.05333712357868324,-0.1440615841149107,0.8584136688022722
-0.01580810941846572,-0.003341252407995987,-0.010903790751969011,0.01949238168626011,6.574369137979374e-08,360.30859375,28.767112695620703,0.3203054577343278,0.07331160523932286,0.17428199514162057,228.12930297851562,97.87820434570312,-1.0788006523734217,0.11437514370027362,-0.2070733605261487,0.8559037907519691
-0.0157696471127233,-0.004657873222768269,-0.012504108889956567,0.020657451250120255,5.224944366055695e-10,461.326171875,38.387146201660265,0.3102903721984062,0.09553099822020884,0.14228527911322908,163.3441162109375,17.661869049072266,-0.4273040256549573,0.17837059390767007,-0.11076289545106881,0.8575041088899567
-0.015524736073838724,-0.004665196968935581,-0.012855951918636865,0.02068953824172057,1.5945067488587483e-08,381.775390625,40.83516492149687,0.3308348013161549,0.09485552307618411,0.15037682141953013,175.5643310546875,20.376880645751953,-0.5908019105306659,0.20265609248856287,-0.1315724360516312,0.857855951918637
-0.014702888338856607,-0.004734403898058487,-0.01395752376711945,0.02081830866051662,3.1338762696009326e-09,353.4296875,39.1287335440138,0.33545874309162377,0.09168616641659377,0.1591369818085694,198.458740234375,34.858707427978516,-1.8996942379220894,0.19711507071753637,-0.16108847390760705,0.8589575237671195
-0.015242895333451273,-0.004245327915306629,-0.013194294392086525,0.020602380245012427,4.441861545245729e-09,472.509765625,44.11042543614761,0.3316328446027655,0.09733525081590717,0.1367105957448228,250.46063232421875,20.540197372436523,-1.4401583968549334,0.16886567614957884,-0.23948083502155496,0.8581942943920866
-0.015307606469256996,-0.0036325585918169367,-0.0127832865694536,0.020271426029201657,1.253671833012504e-09,480.896484375,47.56803705961223,0.35806913230350607,0.09755145970427716,0.14089892715351982,299.8163146972656,36.12562561035156,0.6354341638159373,0.14214517191496132,-0.33425761545923055,0.8577832865694537
