idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_OK,,54,1,0.6085,1.066,0.1345,0.6497,6,2.3598,0.0186,0,0
1,DONE_OK,,36,1,0.562,1.085,0.1617,-0.0021,3,3.0007,-0.0084,0,0
2,DONE_OK,,66,1,0.5427,1.027,0.1442,0.5589,5,3.1936,0.078,0,0
3,DONE_OK,,54,1,0.6213,0.991,0.1588,0.7809,3,2.0727,0.2341,0,0
4,DONE_OK,,54,1,0.5755,0.914,0.1524,0.936,3,2.2664,0.3014,0,0
5,DONE_OK,,19,1,0.2619,1.126,0.1673,0.6292,5,3.1233,0.0145,0,0
6,DONE_OK,,22,1,0.1636,1.125,0.1623,0.2646,5,3.4879,0.2188,0,0
7,DONE_OK,,40,1,0.2514,1.118,0.1605,-0.0001,6,3.4629,-0.0059,0,0
8,DONE_OK,,16,1,0.2163,1.125,0.1654,0.5221,5,3.2304,0.0107,0,0
9,DONE_OK,,44,1,0.511,0.941,0.1559,0.8049,3,2.1289,0.4116,0,0
10,DONE_OK,,45,1,0.6143,1.065,0.1526,0.1222,3,2.1542,0.0245,0,0
11,DONE_OK,,49,1,0.6366,1.024,0.143,0.7899,3,2.2443,0.2479,0,0
12,DONE_OK,,13,1,0.1534,1.122,0.1753,1.0522,5,2.7003,0.7249,0,0
13,DONE_OK,,6,1,0.0786,1.126,0.1382,-0.0001,5,3.7526,-0.0003,0,0
14,DONE_OK,,45,1,0.5847,1.035,0.1568,0.6054,3,2.2803,0.0837,0,0
15,DONE_OK,,31,1,0.3875,1.04,0.162,0.9926,3,2.3493,0.4199,0,0
16,DONE_OK,,10,1,0.1213,1.126,0.1399,0.1596,5,3.5929,0.0035,0,0
17,DONE_OK,,13,1,0.1678,1.125,0.1387,0.5049,5,3.2476,0.1316,0,0
18,DONE_OK,,23,1,0.2502,1.126,0.1477,0.3613,5,3.3912,0.0057,0,0
19,DONE_OK,,60,1,0.6278,1.009,0.1497,0.783,3,2.0336,0.5327,0,0
20,DONE_OK,,12,1,0.1462,1.126,0.1358,0.1613,5,3.5912,0.0017,0,0
21,DONE_OK,,51,1,0.5637,0.904,0.1568,0.8267,3,2.1225,0.3776,0,0
22,DONE_OK,,50,1,0.6296,1.013,0.1495,0.9056,3,2.14,0.4268,0,0
23,DONE_OK,,42,1,0.5427,1.031,0.1462,0.8472,3,2.6391,0.0149,0,0
24,DONE_OK,,51,1,0.5727,0.922,0.1602,0.9367,3,2.3044,0.4557,0,0
25,DONE_OK,,52,1,0.5514,0.903,0.1564,1.0085,3,2.4856,0.2507,0,0
26,DONE_OK,,51,1,0.6614,1.054,0.1508,0.378,3,2.1129,0.0406,0,0
27,DONE_OK,,52,1,0.6172,1.056,0.1363,0.6268,6,2.2111,0.067,0,0
28,DONE_OK,,47,1,0.6214,1.031,0.1473,0.8852,3,2.1844,0.4324,0,0
29,DONE_OK,,30,1,0.3542,0.985,0.1601,1.1778,3,2.5023,0.3944,0,0
30,DONE_OK,,25,1,0.2979,1.121,0.1546,-0.0073,6,3.5675,-0.0073,0,0
31,DONE_OK,,19,1,0.2547,1.125,0.1725,0.8002,5,2.9523,0.1806,0,0
32,DONE_OK,,6,1,0.0748,1.126,0.1369,0.0011,5,3.7514,-0.0002,0,0
33,DONE_OK,,54,1,0.6236,1.017,0.1447,0.3634,3,1.7342,0.3634,0,0
34,DONE_OK,,34,1,0.6011,1.063,0.1519,-0.0002,1,3.4528,-0.011,0,0
35,DONE_OK,,28,1,0.3425,1.004,0.156,1.1086,3,2.4527,0.4577,0,0
36,DONE_OK,,37,1,0.4277,0.947,0.1602,1.1995,3,2.3407,0.441,0,0
