idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_OK,,43,1,0.4895,0.905,0.1676,0.8703,1,2.1118,0.1341,0,0
1,DONE_OK,,10,1,0.1261,1.117,0.138,0.0126,5,3.7399,-0.0002,0,0
2,DONE_FAIL,GRASP,6,0,0.0024,1.117,0.4941,0.1917,5,3.5608,0.1917,0,0
3,DONE_OK,,41,1,0.5231,1.03,0.155,1.0001,3,2.2038,0.3576,0,0
4,DONE_OK,,24,1,0.3086,1.117,0.135,-0.0003,5,3.7528,-0.0003,0,0
5,DONE_OK,,56,1,0.5725,0.939,0.1553,0.4153,3,1.9119,0.0278,0,0
6,DONE_OK,,14,1,0.1838,1.116,0.1578,0.4083,5,3.3442,0.0078,0,0
7,DONE_OK,,16,1,0.1894,1.117,0.1442,0.3704,5,3.3821,0.0322,0,0
8,DONE_OK,,43,1,0.567,1.051,0.1582,1.0386,3,2.3112,0.1309,0,0
9,DONE_OK,,65,1,0.4626,0.794,0.1751,0.5336,3,2.659,-0.0016,0,0
10,DONE_FAIL,RETRACT,26,1,0.2994,0.95,0.135,0.5783,6,1.8553,0.1305,0,0
11,DONE_OK,,58,1,0.5269,0.836,0.1583,0.944,6,2.4348,0.3281,0,0
12,DONE_OK,,30,1,0.3777,1.113,0.1638,0.8174,6,2.2555,0.0814,0,0
13,DONE_OK,,43,1,0.5579,1.034,0.1634,0.6798,3,2.3534,0.0659,0,0
14,DONE_OK,,47,1,0.5835,1.036,0.1562,0.8658,3,1.8562,0.4857,0,0
15,DONE_OK,,28,1,0.3468,1.073,0.1478,1.109,5,2.6435,0.2839,0,0
16,DONE_OK,,62,1,0.5811,0.999,0.166,0.2613,3,2.0451,0.202,0,0
17,DONE_OK,,48,1,0.5212,0.877,0.1597,1.0506,1,2.4931,0.2775,0,0
18,DONE_OK,,58,1,0.58,0.922,0.153,0.4928,3,1.824,0.1203,0,0
19,DONE_OK,,52,1,0.5864,0.982,0.1561,0.3569,3,1.7827,0.099,0,0
20,DONE_OK,,40,1,0.4809,1.055,0.1733,0.802,6,2.099,0.1931,0,0
21,DONE_OK,,42,1,0.5549,1.054,0.1599,0.7171,3,2.2689,0.1683,0,0
22,DONE_OK,,21,1,0.2746,1.115,0.1591,0.4361,5,3.3164,0.0047,0,0
23,DONE_OK,,37,1,0.4579,1.06,0.1688,0.957,3,2.0977,0.1603,0,0
24,DONE_OK,,24,1,0.2642,1.117,0.1456,0.0652,5,3.6873,0.0011,0,0
25,DONE_OK,,35,1,0.3921,1.115,0.1479,1.2156,5,2.5369,0.3221,0,0
26,DONE_OK,,13,1,0.1644,1.117,0.1488,0.1797,5,3.5728,0.0032,0,0
27,DONE_OK,,7,1,0.0914,1.117,0.1303,-0.0,5,3.7525,-0.0002,0,0
28,DONE_OK,,16,1,0.2125,1.114,0.1491,0.7574,5,2.9951,0.2223,0,0
29,DONE_OK,,23,1,0.3017,1.117,0.1581,0.6576,5,3.0949,0.007,0,0
30,DONE_OK,,57,1,0.5662,0.904,0.1594,0.5393,3,2.0474,0.035,0,0
31,DONE_OK,,17,1,0.229,1.117,0.1608,0.6123,5,3.1402,0.0474,0,0
32,DONE_OK,,57,1,0.5673,0.901,0.1687,0.1175,3,2.211,0.1175,0,0
33,DONE_OK,,9,1,0.1146,1.117,0.1497,0.036,5,3.7165,0.0002,0,0
34,DONE_OK,,48,1,0.5827,0.985,0.1469,1.1544,1,1.9438,0.5018,0,0
35,DONE_OK,,25,1,0.2856,1.025,0.1382,0.9888,5,2.7637,0.2828,0,0
36,DONE_OK,,19,1,0.2316,1.061,0.1532,0.9479,5,2.8046,0.3633,0,0
