idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,16,1,0.2186,1.124,0.1772,0.5108,5,3.2417,0.0095,55.77,55.96,56.45,56.08,0.0151,0,0
1,DONE_OK,,11,1,0.1399,1.125,0.1539,0.226,5,3.5265,0.0055,56.64,59.51,59.51,58.76,0.0081,0,0
2,DONE_OK,,48,1,0.6169,1.03,0.1463,0.5223,3,2.0232,0.2932,44.83,44.04,45.09,42.22,0.022,0,0
3,DONE_OK,,44,1,0.5292,0.982,0.1527,0.867,3,2.3773,0.3531,51.4,51.96,51.96,51.01,0.0027,0,0
4,DONE_FAIL,RETRACT,38,1,0.645,1.047,0.1441,-0.0002,1,3.4614,-0.0065,70.61,81.12,81.12,74.16,0.1738,0,0
5,DONE_OK,,53,1,0.5971,0.98,0.1463,1.0884,1,2.5041,0.3482,38.5,36.45,38.78,37.16,0.0307,0,0
6,DONE_OK,,40,1,0.5054,1.036,0.1529,0.4751,3,2.1082,0.365,50.6,50.46,50.93,48.45,0.02,0,0
7,DONE_OK,,12,1,0.1438,1.126,0.1391,0.07,5,3.6825,-0.0002,48.44,53.92,53.92,51.34,0.0162,0,0
8,DONE_OK,,46,1,0.5469,0.974,0.1677,0.748,3,2.4758,0.1797,50.35,48.09,50.57,49.02,0.0025,0,0
9,DONE_OK,,40,1,0.6729,1.028,0.1634,-0.0018,3,2.4517,-0.006,71.66,67.63,78.24,71.1,0.0167,0,0
10,DONE_OK,,50,1,0.6339,1.036,0.1434,0.5635,3,2.0611,0.0547,58.49,56.72,59.57,57.85,0.0023,0,0
11,DONE_OK,,30,1,0.3765,1.02,0.159,0.9078,3,2.1762,0.6281,42.09,41.84,42.71,42.15,0.0025,0,0
12,DONE_OK,,37,1,0.5038,1.079,0.1497,1.2769,1,1.906,0.5761,9.01,9.47,9.92,9.5,0.0037,0,0
13,DONE_OK,,41,1,0.5414,1.038,0.1481,0.8776,3,2.548,0.043,56.11,54.64,56.11,55.17,0.0021,0,0
14,DONE_OK,,34,1,0.3777,0.905,0.1594,1.1159,3,2.3306,0.5397,51.95,51.8,52.13,51.63,0.0015,0,0
15,DONE_OK,,52,1,0.6093,1.043,0.1441,0.5225,3,1.8841,0.0703,41.25,38.49,42.1,39.89,0.0256,0,0
16,DONE_OK,,40,1,0.4498,0.938,0.1639,0.8865,3,2.491,0.4168,53.35,51.66,53.58,52.53,0.0024,0,0
17,DONE_OK,,18,1,0.2157,1.125,0.142,0.447,5,3.3055,0.0126,44.62,45.62,45.62,43.49,0.0084,0,0
18,DONE_OK,,18,1,0.233,1.124,0.1572,0.2212,5,3.5313,0.0018,63.29,70.33,70.33,66.88,0.0196,0,0
19,DONE_OK,,24,1,0.3081,1.095,0.1566,-0.0003,6,3.7245,-0.0047,58.29,65.36,66.43,61.96,0.0223,0,0
20,DONE_OK,,44,1,0.5489,1.049,0.155,0.4544,3,1.9707,0.3374,37.54,36.9,38.42,33.93,0.025,0,0
21,DONE_OK,,30,1,0.3357,0.961,0.1645,0.8638,3,2.3975,0.6155,54.27,52.26,54.87,53.92,0.0022,0,0
22,DONE_OK,,46,1,0.5336,0.926,0.1568,0.9436,3,2.4559,0.2821,56.95,55.42,57.11,55.67,0.0022,0,0
23,DONE_OK,,54,1,0.5886,0.918,0.1653,0.875,3,2.5258,0.0744,56.84,56.04,56.98,55.39,0.0024,0,0
