idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
74,DONE_OK,,59,1,0.5932,0.978,0.1393,0.9733,3,1.8776,0.5109,0,0
75,DONE_OK,,15,1,0.1961,1.126,0.1335,0.5101,5,3.2424,0.0714,0,0
76,DONE_OK,,46,1,0.5803,1.027,0.1468,-0.0001,3,2.0018,-0.0051,0,0
77,DONE_OK,,26,1,0.2359,1.125,0.1566,-0.0001,6,3.4544,-0.0048,0,0
78,DONE_FAIL,RETRACT,71,1,0.455,0.766,0.1612,0.1241,3,2.3414,0.1132,0,0
79,DONE_OK,,28,1,0.293,1.123,0.1481,1.195,5,2.5575,0.6071,0,0
80,DONE_OK,,57,1,0.499,0.787,0.1545,-0.0004,6,1.4656,-0.0004,0,0
81,DONE_OK,,13,1,0.1653,1.126,0.1397,0.287,6,3.4594,0.0056,0,0
82,DONE_OK,,32,1,0.36,0.99,0.1431,0.9896,1,2.4252,0.6433,0,0
83,DONE_OK,,15,1,0.1644,1.126,0.1489,0.4192,6,3.3141,0.1471,0,0
84,DONE_OK,,37,1,0.654,1.105,0.163,-0.0003,1,3.4091,-0.0127,0,0
85,DONE_OK,,85,1,0.5561,0.876,0.1518,0.6724,3,2.0558,0.136,0,0
86,DONE_OK,,55,1,0.5674,0.915,0.1515,0.4509,6,1.7418,0.4509,0,0
87,DONE_OK,,61,1,0.6068,0.984,0.1402,0.4837,3,2.0616,0.0684,0,0
88,DONE_OK,,54,1,0.5816,1.037,0.1455,0.7144,6,3.0037,0.3299,0,0
89,DONE_OK,,34,1,0.4041,1.027,0.168,1.0021,1,2.4596,0.3566,0,0
90,DONE_OK,,33,1,0.4563,1.124,0.1566,1.1558,5,2.5967,0.0817,0,0
91,DONE_OK,,21,1,0.2873,1.126,0.1608,0.6942,5,3.0583,0.041,0,0
92,DONE_OK,,56,1,0.5913,0.953,0.1447,1.055,6,1.947,0.5776,0,0
93,DONE_OK,,17,1,0.1922,1.102,0.161,1.0405,5,2.712,0.5913,0,0
94,DONE_OK,,16,1,0.1814,1.123,0.1411,1.0109,5,2.7416,0.6004,0,0
95,DONE_OK,,39,1,0.4379,0.907,0.1591,0.9241,6,2.7736,0.1563,0,0
96,DONE_OK,,53,1,0.6105,0.979,0.1513,0.4175,3,1.8274,0.3538,0,0
97,DONE_OK,,62,1,0.6095,0.982,0.1451,0.5509,3,2.0629,0.0649,0,0
98,DONE_FAIL,RETRACT,21,1,0.2445,1.126,0.1578,-0.0002,6,3.5507,-0.004,0,0
99,DONE_OK,,47,1,0.5681,1.038,0.1469,1.1805,1,2.3832,0.036,0,0
