idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,56,1,0.5945,0.95,0.1517,0.7698,3,2.047,0.3134,39.54,39.28,39.76,37.77,0.0197,0,0
1,DONE_OK,,52,1,0.5755,1.053,0.1468,-0.0064,3,1.9538,-0.0064,48.64,44.12,50.06,45.36,0.0269,0,0
2,DONE_OK,,15,1,0.2015,1.125,0.1487,0.5277,5,3.2248,0.0328,45.16,43.9,45.37,44.42,0.0067,0,0
3,DONE_OK,,40,1,0.4705,0.906,0.1541,1.0276,3,2.5393,0.2636,62.13,60.56,62.13,60.36,0.002,0,0
4,DONE_OK,,44,1,0.5263,0.968,0.1635,0.9143,3,2.2683,0.3539,49.14,47.6,49.76,47.98,0.0025,0,0
5,DONE_OK,,16,1,0.1804,1.126,0.1413,0.2943,5,3.4582,0.0048,47.19,49.04,49.04,46.1,0.0189,0,0
6,DONE_OK,,49,1,0.6468,1.043,0.1483,0.3927,3,2.0839,0.1436,44.77,43.42,44.99,43.47,0.002,0,0
7,DONE_OK,,33,1,0.3633,0.96,0.1646,0.8553,3,2.3923,0.4784,54.75,53.52,54.89,54.09,0.0025,0,0
8,DONE_OK,,52,1,0.6023,0.993,0.1469,0.8149,3,2.1599,0.4783,46.06,47.74,47.74,46.57,0.0015,0,0
9,DONE_OK,,38,1,0.458,1.01,0.1506,0.6108,3,2.1266,0.4956,46.4,46.83,46.83,44.71,0.0208,0,0
10,DONE_OK,,22,1,0.3251,1.093,0.1644,0.1379,6,3.3438,0.0041,70.21,79.02,79.02,75.08,0.0116,0,0
11,DONE_OK,,52,1,0.6136,1.039,0.1428,0.481,3,2.072,0.0194,55.92,53.03,56.95,54.58,0.0018,0,0
12,DONE_OK,,20,1,0.3179,1.121,0.171,0.2313,6,3.2654,0.0042,75.4,84.13,84.13,79.79,0.0201,0,0
13,DONE_OK,,12,1,0.155,1.125,0.15,0.4079,5,3.3446,0.0259,49.9,48.98,50.12,49.51,0.0097,0,0
14,DONE_OK,,10,1,0.1195,1.126,0.1422,0.0693,5,3.6832,0.0002,47.08,51.45,51.45,49.4,0.0159,0,0
15,DONE_OK,,53,1,0.6043,0.954,0.1539,0.6962,3,2.0462,0.3547,40.76,41.01,41.31,38.42,0.0232,0,0
16,DONE_OK,,49,1,0.6129,1.018,0.1462,0.5283,3,1.9318,0.3946,41.25,41.75,41.75,40.07,0.0206,0,0
17,DONE_OK,,47,1,0.5375,0.967,0.1438,0.7896,6,2.2634,0.5388,46.99,46.26,48.0,45.9,0.0023,0,0
18,DONE_OK,,43,1,0.5915,1.058,0.1482,-0.0062,3,2.1887,-0.0062,55.0,53.39,55.19,51.23,0.0221,0,0
19,DONE_OK,,18,1,0.2419,1.126,0.1532,0.5483,5,3.2042,0.0073,54.31,54.43,55.02,54.57,0.0044,0,0
20,DONE_OK,,8,1,0.0954,1.126,0.1453,0.0686,5,3.6839,0.0014,54.61,58.27,58.27,57.05,0.0196,0,0
21,DONE_OK,,52,1,0.617,1.033,0.1465,0.5056,3,1.9552,0.0466,47.29,44.4,48.4,46.47,0.0023,0,0
22,DONE_OK,,25,1,0.3309,1.073,0.1582,-0.0001,6,3.58,-0.0023,68.44,73.76,77.16,73.78,0.0101,0,0
23,DONE_OK,,12,1,0.1547,1.125,0.1397,0.3629,5,3.3896,0.0133,50.3,50.16,50.75,49.95,0.0271,0,0
24,DONE_OK,,33,1,0.3827,0.952,0.1641,0.9787,3,2.3421,0.5096,52.23,50.58,52.68,51.72,0.0022,0,0
25,DONE_OK,,45,1,0.5801,1.025,0.1498,0.7124,3,2.1238,0.4079,40.8,40.59,41.12,40.68,0.0028,0,0
26,DONE_OK,,54,1,0.6271,1.026,0.1445,0.4581,3,2.0452,0.0074,49.6,46.1,50.87,48.62,0.0015,0,0
27,DONE_OK,,50,1,0.5809,0.931,0.1569,1.0028,3,2.2142,0.4345,46.86,46.14,46.97,46.46,0.0018,0,0
28,DONE_OK,,45,1,0.4209,1.012,0.1652,-0.0002,6,3.6069,-0.0064,38.59,43.49,43.77,39.49,0.01,0,0
29,DONE_OK,,53,1,0.6014,1.052,0.1383,0.5393,6,2.3975,0.0265,44.24,42.44,45.42,43.44,0.002,0,0
30,DONE_OK,,29,1,0.3235,1.116,0.1536,0.2361,5,3.5164,0.0113,43.2,46.9,46.9,42.46,0.0066,0,0
31,DONE_OK,,54,1,0.5436,0.939,0.16,-0.0086,3,2.1864,-0.0086,64.72,61.41,66.93,62.13,0.0257,0,0
32,DONE_OK,,55,1,0.5978,1.042,0.1489,-0.001,3,1.9432,-0.0046,49.97,45.24,51.4,47.04,0.027,0,0
33,DONE_OK,,42,1,0.5277,1.028,0.1517,0.6707,3,1.9696,0.4668,33.74,33.53,34.09,32.03,0.023,0,0
34,DONE_OK,,50,1,0.6237,1.051,0.1389,0.5227,3,1.9946,0.0792,52.0,49.73,53.02,51.12,0.0022,0,0
35,DONE_OK,,31,1,0.3577,1.08,0.1543,-0.0005,5,3.753,-0.0071,47.66,50.25,51.9,48.1,0.0061,0,0
36,DONE_OK,,36,1,0.5813,1.093,0.1716,-0.0006,1,3.0939,-0.012,59.37,70.06,70.06,60.09,0.0253,0,0
37,DONE_OK,,47,1,0.5284,0.926,0.1668,0.4869,3,2.2754,0.3132,46.5,45.47,46.71,43.15,0.024,0,0
38,DONE_OK,,18,1,0.2397,1.124,0.159,0.5243,5,3.2282,0.0076,50.35,50.8,51.26,50.46,0.0138,0,0
39,DONE_OK,,22,1,0.2411,1.126,0.1454,0.3369,5,3.4156,0.0036,48.61,51.45,51.45,47.58,0.0141,0,0
40,DONE_OK,,46,1,0.6106,1.061,0.1522,-0.008,3,2.1249,-0.008,47.2,45.77,47.42,43.28,0.0232,0,0
41,DONE_FAIL,RETRACT,41,1,0.7556,1.058,0.146,-0.0001,1,3.6583,-0.0095,75.63,85.22,85.22,77.96,0.1269,0,0
42,DONE_OK,,46,1,0.6263,1.061,0.1399,-0.0001,3,2.1172,-0.0073,57.49,52.54,58.16,54.09,0.022,0,0
43,DONE_OK,,50,1,0.6923,1.059,0.1571,-0.0002,3,2.132,-0.0068,52.29,45.86,53.84,48.65,0.0235,0,0
44,DONE_OK,,30,1,0.3594,0.979,0.1578,0.663,3,2.203,0.6247,52.7,53.03,53.42,50.97,0.0228,0,0
45,DONE_OK,,19,1,0.2325,1.041,0.158,0.8763,5,2.8762,0.3075,40.02,37.89,40.51,37.92,0.0021,0,0
46,DONE_OK,,48,1,0.5531,0.938,0.1552,0.9256,3,2.2646,0.4028,54.9,54.37,55.11,54.26,0.0014,0,0
47,DONE_OK,,44,1,0.7136,1.039,0.1448,-0.0002,3,2.3147,-0.0075,76.1,74.97,80.98,78.65,0.0198,0,0
48,DONE_OK,,45,1,0.5027,0.976,0.1558,0.806,3,2.3977,0.2844,66.32,63.8,66.32,65.42,0.0021,0,0
49,DONE_OK,,53,1,0.5321,0.942,0.1586,0.5082,6,2.3886,0.0305,68.36,67.63,69.13,67.78,0.0025,0,0
50,DONE_OK,,46,1,0.5234,1.019,0.1401,0.5508,6,2.4535,0.1222,37.57,35.86,38.53,36.85,0.002,0,0
51,DONE_OK,,45,1,0.5192,0.912,0.1678,0.9232,1,2.6648,0.2877,62.16,60.61,62.17,60.55,0.0027,0,0
52,DONE_OK,,55,1,0.6011,0.971,0.1462,0.7157,3,1.9713,0.4553,38.53,39.0,39.0,37.48,0.0207,0,0
53,DONE_OK,,17,1,0.2135,1.125,0.1427,0.4828,5,3.2697,0.0226,46.87,47.05,47.2,45.87,0.0137,0,0
54,DONE_OK,,18,1,0.1998,1.125,0.1475,0.3774,5,3.3751,0.0274,44.19,46.06,46.06,42.78,0.0183,0,0
55,DONE_OK,,50,1,0.5829,1.019,0.1414,0.4424,3,2.1109,0.0419,62.84,60.5,64.11,62.08,0.0019,0,0
56,DONE_OK,,45,1,0.5704,1.011,0.1574,0.8573,3,2.0296,0.4627,31.27,31.81,31.81,30.21,0.0211,0,0
