idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,55,1,0.6096,0.99,0.1503,0.8793,3,2.1244,0.3132,39.62,39.41,40.38,39.12,0.0018,0,0
1,DONE_OK,,53,1,0.6049,1.058,0.1543,-0.0002,3,2.0756,-0.005,48.75,51.11,58.57,49.62,0.0271,0,0
2,DONE_OK,,15,1,0.2016,1.125,0.1522,0.4845,5,3.268,0.0324,45.23,45.63,46.02,46.15,0.0132,0,0
3,DONE_OK,,42,1,0.4763,0.893,0.1541,1.0599,3,2.5254,0.2621,62.29,64.33,64.4,64.4,0.002,0,0
4,DONE_OK,,44,1,0.5151,0.981,0.1624,0.897,3,2.3102,0.3537,49.21,48.83,50.88,48.77,0.0028,0,0
5,DONE_OK,,16,1,0.1947,1.126,0.144,0.3323,5,3.4202,0.0062,47.23,52.57,52.57,52.22,0.0031,0,0
6,DONE_OK,,49,1,0.6382,1.044,0.15,0.45,3,2.1178,0.1434,44.86,42.92,45.9,42.98,0.002,0,0
7,DONE_OK,,32,1,0.347,0.977,0.1579,0.9483,3,2.5014,0.4778,54.79,56.09,56.09,55.96,0.0027,0,0
8,DONE_OK,,50,1,0.6066,1.011,0.1448,0.9721,3,2.2473,0.479,45.99,45.24,47.07,44.98,0.0018,0,0
9,DONE_OK,,37,1,0.444,1.011,0.1504,0.7459,3,2.2355,0.4955,46.39,46.74,46.98,45.27,0.0215,0,0
10,DONE_OK,,31,1,0.4833,1.101,0.1743,0.256,3,2.4414,0.0124,69.67,63.47,79.09,62.34,0.027,0,0
11,DONE_OK,,55,1,0.5813,0.998,0.1521,0.003,3,1.9944,0.003,56.02,54.08,62.27,52.34,0.0432,0,0
12,DONE_FAIL,TRANSPORT,300,1,0.3992,1.053,0.9363,-0.0012,4,2.5295,-0.0455,74.79,66.87,89.8,nan,nan,0,0
13,DONE_OK,,13,1,0.1711,1.125,0.1465,0.412,5,3.3405,0.0258,49.95,50.4,50.67,51.0,0.0109,0,0
14,DONE_OK,,10,1,0.1188,1.126,0.1441,0.1675,5,3.585,0.0078,46.73,49.3,49.3,48.55,0.0186,0,0
15,DONE_OK,,50,1,0.618,1.002,0.1563,0.9151,3,2.1317,0.3551,40.81,37.75,41.92,37.42,0.0019,0,0
16,DONE_OK,,47,1,0.5878,1.024,0.1521,0.7516,3,2.0742,0.3945,41.27,40.3,41.79,39.16,0.0215,0,0
17,DONE_OK,,50,1,0.5433,0.904,0.1546,0.8024,6,2.1663,0.5384,47.07,46.83,52.13,46.77,0.0022,0,0
18,DONE_OK,,43,1,0.5755,1.056,0.1501,0.0608,3,2.1738,0.0156,55.01,49.76,55.37,46.28,0.0235,0,0
19,DONE_OK,,19,1,0.2593,1.126,0.1619,0.5837,5,3.1688,0.0091,54.27,55.23,55.57,55.59,0.0037,0,0
20,DONE_OK,,9,1,0.1077,1.126,0.1363,0.1865,5,3.566,0.0101,54.26,56.32,56.32,55.48,0.0066,0,0
