idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_OK,,66,1,0.5886,0.978,0.1463,-0.0001,3,1.8821,-0.0058,0,0
1,DONE_OK,,39,1,0.4451,1.054,0.155,1.2157,3,2.2889,0.7634,0,0
2,DONE_OK,,115,1,0.1075,1.111,0.174,-0.0002,6,3.4771,-0.0041,0,0
3,DONE_OK,,29,1,0.3081,0.949,0.1486,0.9342,1,2.6973,0.5524,0,0
4,DONE_OK,,14,1,0.1881,1.126,0.1451,0.5311,5,3.2214,0.0854,0,0
5,DONE_FAIL,TRANSPORT,300,1,0.0011,0.801,0.3743,-0.0004,5,3.7529,-0.0024,1,1
6,DONE_OK,,12,1,0.157,1.126,0.1343,0.4203,5,3.3322,0.0326,0,0
7,DONE_OK,,70,1,0.5713,0.934,0.1494,0.4169,3,1.9167,0.1155,0,0
8,DONE_OK,,45,1,0.5334,0.995,0.1565,0.885,3,2.1407,0.379,0,0
9,DONE_OK,,51,1,0.6255,1.006,0.1547,0.4241,3,2.0297,0.1338,0,0
10,DONE_OK,,43,1,0.5336,1.095,0.1704,1.1237,1,2.4426,0.0371,0,0
11,DONE_OK,,47,1,0.5284,0.95,0.1563,0.7331,6,2.6081,0.6398,0,0
12,DONE_OK,,45,1,0.5058,1.044,0.1586,0.855,3,2.0674,0.7105,0,0
13,DONE_OK,,13,1,0.167,1.126,0.1405,0.4801,5,3.2724,0.1067,0,0
14,DONE_OK,,26,1,0.2664,1.118,0.161,-0.0003,6,3.6351,-0.0045,0,0
15,DONE_FAIL,TRANSPORT,300,1,0.0027,0.822,0.4218,-0.0004,5,3.7529,-0.0004,1,1
16,DONE_OK,,60,1,0.5016,0.809,0.1474,1.1096,6,1.5694,1.1096,0,0
17,DONE_OK,,37,1,0.4884,1.082,0.1721,0.8953,3,2.4806,0.0703,0,0
18,DONE_OK,,15,1,0.2016,1.125,0.1502,0.4915,5,3.261,0.0333,0,0
19,DONE_OK,,14,1,0.1832,1.126,0.1635,0.7921,5,2.9604,0.329,0,0
20,DONE_OK,,42,1,0.5064,1.064,0.1558,0.8712,3,2.1336,0.6802,0,0
21,DONE_OK,,49,1,0.5963,0.985,0.1523,0.5325,3,2.0048,0.3404,0,0
22,DONE_OK,,47,1,0.4165,1.088,0.151,0.3052,5,3.4473,-0.0032,0,0
23,DONE_OK,,37,1,0.4292,0.983,0.1529,1.0845,1,2.3626,0.4428,0,0
