idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_OK,,26,1,0.2776,1.118,0.1556,1.1713,5,2.5812,0.6448,0,0
1,DONE_FAIL,GRASP,30,0,0.6198,1.002,0.1602,1.1614,1,2.1928,0.8157,0,0
2,DONE_OK,,15,1,0.1874,1.126,0.1513,0.1705,5,3.582,0.0007,0,0
3,DONE_OK,,28,1,0.3223,1.042,0.1662,0.9989,3,2.3777,0.5819,0,0
4,DONE_OK,,145,1,0.0935,1.078,0.1748,-0.0002,6,3.48,-0.0042,0,0
5,DONE_OK,,30,1,0.3502,1.1,0.1586,1.2765,1,2.3742,0.6759,0,0
6,DONE_FAIL,TRANSPORT,300,1,0.1143,1.01,0.9313,0.0006,6,1.4928,-0.0046,0,0
7,DONE_OK,,62,1,0.5817,0.916,0.142,0.5551,3,1.6367,0.4969,0,0
8,DONE_OK,,71,1,0.1782,1.119,0.1722,-0.0,6,3.3776,-0.0055,0,0
9,DONE_OK,,69,1,0.5303,0.949,0.1606,0.7787,6,2.4762,0.0545,0,0
10,DONE_OK,,43,1,0.5671,1.076,0.1666,0.6285,3,2.2863,0.0434,0,0
11,DONE_OK,,55,1,0.5142,0.853,0.1597,0.9729,3,2.4214,0.1245,0,0
12,DONE_OK,,28,1,0.3132,1.117,0.1553,1.251,5,2.5015,0.6677,0,0
13,DONE_OK,,27,1,0.2948,0.954,0.1597,1.0311,1,2.488,0.8922,0,0
14,DONE_OK,,52,1,0.5953,0.944,0.1428,1.0346,3,1.8038,0.6224,0,0
15,DONE_OK,,66,1,0.5276,0.887,0.1556,0.3601,3,2.0162,0.0478,0,0
16,DONE_OK,,25,1,0.3215,1.122,0.1645,1.1405,5,2.612,0.4133,0,0
17,DONE_OK,,51,1,0.6619,1.029,0.1408,0.933,3,2.2704,0.0371,0,0
18,DONE_OK,,51,1,0.623,1.019,0.1511,-0.0058,3,2.1386,-0.0058,0,0
19,DONE_OK,,48,1,0.6182,1.042,0.1534,0.2042,3,2.0465,0.1093,0,0
20,DONE_OK,,50,1,0.6009,0.98,0.1529,0.8356,3,2.0816,0.3576,0,0
21,DONE_OK,,36,1,0.476,1.12,0.1564,1.3043,5,2.4482,0.2827,0,0
22,DONE_OK,,55,1,0.6231,1.022,0.1458,0.5426,3,1.4159,0.5426,0,0
23,DONE_OK,,51,1,0.553,0.946,0.1619,0.7022,3,2.1728,0.2199,0,0
24,DONE_OK,,56,1,0.5791,0.973,0.1408,0.4141,3,1.6951,0.4141,0,0
25,DONE_OK,,22,1,0.2021,1.116,0.1555,0.627,5,3.1255,0.2708,0,0
26,DONE_OK,,52,1,0.5143,0.886,0.1535,-0.0004,6,1.8093,-0.0019,0,0
27,DONE_OK,,16,1,0.2173,1.126,0.158,0.6163,5,3.1362,0.0727,0,0
28,DONE_OK,,10,1,0.1226,1.125,0.1589,0.6943,5,3.0582,0.3768,0,0
29,DONE_OK,,33,1,0.3745,1.019,0.1452,0.906,5,2.8465,0.2539,0,0
