idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_OK,,22,1,0.2686,1.027,0.1598,0.9456,5,2.8069,0.2695,0,0
1,DONE_OK,,29,1,0.3828,1.058,0.1541,1.4248,1,2.2121,0.5901,0,0
2,DONE_OK,,12,1,0.1467,1.117,0.144,0.3003,5,3.4522,0.0074,0,0
3,DONE_OK,,58,1,0.5169,0.845,0.1539,0.8636,6,2.2882,0.2935,0,0
4,DONE_OK,,16,1,0.1963,1.117,0.1432,0.4187,5,3.3338,0.012,0,0
5,DONE_OK,,7,1,0.0948,1.112,0.1532,0.0079,5,3.7446,-0.0001,0,0
6,DONE_OK,,61,1,0.4841,0.852,0.1752,0.3898,3,2.4629,-0.0031,0,0
7,DONE_OK,,52,1,0.584,0.934,0.1521,1.0932,3,2.1174,0.4765,0,0
8,DONE_FAIL,GRASP,16,0,0.456,1.086,0.2175,0.2155,5,3.537,0.0012,0,0
9,DONE_OK,,41,1,0.4922,1.006,0.1568,1.0248,3,2.0085,0.5924,0,0
10,DONE_OK,,57,1,0.5858,0.929,0.1638,0.95,3,2.4564,0.084,0,0
11,DONE_OK,,35,1,0.3933,1.116,0.1595,1.2704,5,2.4821,0.6168,0,0
12,DONE_FAIL,RETRACT,36,1,0.4566,1.051,0.1591,1.0721,1,2.4017,0.2858,0,0
13,DONE_OK,,43,1,0.5622,1.059,0.1566,1.0193,3,2.3178,0.1606,0,0
14,DONE_OK,,34,1,0.3657,1.117,0.1476,0.8654,5,2.8871,-0.0008,0,0
15,DONE_OK,,44,1,0.5884,1.06,0.1604,0.7926,3,2.2992,0.0493,0,0
16,DONE_OK,,22,1,0.2724,1.117,0.1522,0.8546,6,2.475,0.0944,0,0
17,DONE_OK,,19,1,0.2489,1.117,0.1553,0.5175,5,3.235,0.0057,0,0
18,DONE_OK,,61,1,0.5416,0.845,0.158,0.4163,3,1.935,0.0461,0,0
19,DONE_OK,,35,1,0.4255,1.066,0.1522,1.2131,3,2.2394,0.3504,0,0
20,DONE_OK,,51,1,0.5745,0.951,0.1495,0.4126,3,1.7626,0.3863,0,0
21,DONE_OK,,43,1,0.48,0.956,0.1498,1.0552,6,2.4182,0.2865,0,0
22,DONE_OK,,27,1,0.345,1.109,0.1724,1.0529,6,2.3821,0.0486,0,0
23,DONE_OK,,33,1,0.3708,1.047,0.1662,0.2108,3,2.0814,0.2108,0,0
24,DONE_OK,,64,1,0.5579,0.909,0.171,0.4118,3,2.2024,0.139,0,0
25,DONE_OK,,39,1,0.4483,0.983,0.1612,0.4551,3,2.2456,0.4317,0,0
26,DONE_OK,,50,1,0.5531,1.1,0.168,0.9303,3,2.2501,0.0022,0,0
27,DONE_OK,,39,1,0.4668,1.041,0.1665,0.9691,3,2.1565,0.093,0,0
28,DONE_OK,,48,1,0.6213,1.033,0.1554,0.7777,3,2.1671,0.1725,0,0
29,DONE_OK,,62,1,0.5765,0.915,0.1513,0.7877,3,2.0233,0.3903,0,0
30,DONE_OK,,54,1,0.611,0.958,0.1686,0.1164,3,2.2781,0.0185,0,0
31,DONE_OK,,49,1,0.5256,0.99,0.152,0.961,3,2.2262,0.0184,0,0
32,DONE_OK,,47,1,0.5785,0.998,0.1666,0.7446,3,2.5335,0.0377,0,0
33,DONE_OK,,43,1,0.5558,1.029,0.1521,0.9808,3,2.243,0.287,0,0
34,DONE_FAIL,TRANSPORT,300,1,0.0514,0.668,0.2092,-0.0003,3,2.971,-0.0049,0,0
35,DONE_OK,,14,1,0.1892,1.117,0.163,0.3888,5,3.3637,0.0083,0,0
36,DONE_OK,,31,1,0.4059,1.096,0.1519,1.3197,5,2.4328,0.3623,0,0
37,DONE_OK,,45,1,0.5627,1.044,0.162,0.916,3,2.3699,0.1432,0,0
38,DONE_OK,,14,1,0.1945,1.099,0.1662,0.2711,5,3.4814,0.0065,0,0
39,DONE_OK,,43,1,0.4636,0.893,0.1549,1.043,1,2.3125,0.3832,0,0
40,DONE_OK,,62,1,0.558,0.947,0.1649,0.0306,3,2.1022,0.0001,0,0
41,DONE_OK,,44,1,0.5799,1.041,0.1487,0.9326,3,1.8883,0.4914,0,0
42,DONE_OK,,12,1,0.1515,1.117,0.1426,0.2458,5,3.5067,0.0055,0,0
43,DONE_OK,,37,1,0.4558,1.006,0.1557,1.0937,3,2.1957,0.4947,0,0
44,DONE_OK,,27,1,0.34,1.051,0.1601,0.9873,5,2.7652,0.1842,0,0
45,DONE_OK,,31,1,0.3872,1.117,0.1648,1.3415,6,2.4098,0.1012,0,0
46,DONE_OK,,16,1,0.205,1.115,0.1537,0.163,5,3.5895,0.0031,0,0
47,DONE_OK,,53,1,0.5304,0.851,0.1479,0.8159,6,2.1139,0.6432,0,0
48,DONE_OK,,37,1,0.6173,0.941,0.175,0.6825,5,3.07,0.002,0,0
49,DONE_OK,,48,1,0.5592,1.004,0.1572,0.4096,3,1.8559,0.0875,0,0
50,DONE_OK,,3,1,0.0345,1.117,0.1253,-0.0001,5,3.7526,-0.0001,0,0
51,DONE_OK,,4,1,0.0469,1.117,0.1413,0.0131,5,3.7394,0.0023,0,0
52,DONE_OK,,30,1,0.3689,1.006,0.1604,1.0982,1,2.5352,0.3538,0,0
53,DONE_OK,,50,1,0.5377,0.898,0.1566,0.8827,6,2.4893,0.2705,0,0
54,DONE_OK,,57,1,0.5619,0.943,0.1653,0.0883,3,1.9895,0.0117,0,0
55,DONE_OK,,13,1,0.151,1.117,0.1503,0.0425,5,3.71,0.0017,0,0
56,DONE_OK,,41,1,0.4532,0.967,0.1651,0.0023,3,2.0376,0.0023,0,0
57,DONE_OK,,35,1,0.4646,1.062,0.1563,1.1487,1,2.3352,0.3274,0,0
58,DONE_OK,,22,1,0.2704,1.117,0.147,0.022,6,3.4877,0.0012,0,0
59,DONE_OK,,59,1,0.5384,0.887,0.1681,0.5626,3,2.571,-0.0001,0,0
60,DONE_OK,,8,1,0.1143,1.117,0.1378,0.0007,5,3.7518,-0.0003,0,0
61,DONE_OK,,54,1,0.592,1.002,0.1573,0.2568,3,1.7964,0.0533,0,0
62,DONE_OK,,31,1,0.5649,1.04,0.1692,0.5866,3,2.8789,0.0031,0,0
63,DONE_FAIL,RETRACT,49,1,0.5911,0.84,0.1741,-0.0003,3,3.1733,-0.0012,0,0
64,DONE_OK,,28,1,0.326,1.117,0.166,1.1987,5,2.5538,0.0618,0,0
65,DONE_OK,,35,1,0.3777,1.117,0.1361,0.8701,3,2.814,0.3148,0,0
66,DONE_OK,,47,1,0.5839,1.013,0.156,0.6861,3,1.9187,0.4509,0,0
67,DONE_OK,,58,1,0.5973,1.005,0.157,0.5049,3,1.9171,0.0003,0,0
68,DONE_OK,,18,1,0.2487,1.107,0.1599,0.1682,6,3.4959,0.0015,0,0
69,DONE_OK,,39,1,0.5058,1.045,0.1625,0.978,3,2.3666,0.1576,0,0
70,DONE_OK,,19,1,0.2415,1.116,0.1468,0.5015,5,3.251,0.0065,0,0
71,DONE_OK,,28,1,0.364,1.062,0.1545,1.2114,5,2.5411,0.3229,0,0
72,DONE_OK,,3,1,0.0358,1.117,0.1346,-0.0001,5,3.7526,-0.0001,0,0
73,DONE_OK,,51,1,0.5905,0.938,0.1685,0.6039,3,2.4764,0.0114,0,0
74,DONE_OK,,26,1,0.3313,1.106,0.1511,1.1974,1,2.0975,0.7995,0,0
75,DONE_OK,,26,1,0.341,1.057,0.1568,0.2794,5,3.4731,0.0017,0,0
76,DONE_OK,,50,1,0.579,0.967,0.1544,0.3699,3,1.8083,0.1395,0,0
77,DONE_OK,,46,1,0.5222,0.905,0.1473,1.3213,3,2.0604,0.4814,0,0
78,DONE_OK,,34,1,0.4292,1.029,0.1541,0.902,3,2.1013,0.56,0,0
79,DONE_OK,,49,1,0.5863,0.947,0.1743,0.2968,3,2.6296,0.0082,0,0
80,DONE_OK,,21,1,0.2828,1.116,0.1681,0.6433,5,3.1092,0.0077,0,0
81,DONE_OK,,14,1,0.1815,1.117,0.1593,0.2398,5,3.5127,0.0044,0,0
82,DONE_OK,,51,1,0.6358,1.035,0.1517,0.935,3,1.9933,0.3525,0,0
83,DONE_OK,,70,1,0.4846,0.842,0.1726,0.6134,3,2.6064,-0.0028,0,0
84,DONE_OK,,20,1,0.241,1.117,0.1442,-0.0007,5,3.7532,-0.0007,0,0
85,DONE_OK,,55,1,0.5112,0.847,0.153,1.0184,1,2.2968,0.2564,0,0
86,DONE_OK,,56,1,0.5714,0.898,0.15,0.9263,3,2.0171,0.5066,0,0
87,DONE_OK,,29,1,0.3555,1.114,0.1568,0.3758,5,3.3767,0.0022,0,0
88,DONE_OK,,16,1,0.2196,1.117,0.1732,0.4937,5,3.2588,0.0094,0,0
89,DONE_OK,,25,1,0.3046,1.053,0.1486,1.0034,5,2.7491,0.2564,0,0
90,DONE_OK,,11,1,0.1473,1.115,0.1609,0.1201,5,3.6324,0.0037,0,0
91,DONE_OK,,47,1,0.5018,0.891,0.1517,0.984,6,2.4804,0.3492,0,0
92,DONE_OK,,45,1,0.5352,0.981,0.1523,0.5716,3,1.8178,0.3204,0,0
93,DONE_OK,,25,1,0.326,1.09,0.1592,1.2546,5,2.4979,0.4481,0,0
94,DONE_OK,,60,1,0.5273,0.836,0.1606,0.6893,1,2.2327,0.0275,0,0
95,DONE_OK,,48,1,0.5768,1.022,0.1542,0.4602,3,1.7994,0.0784,0,0
96,DONE_OK,,31,1,0.4138,1.094,0.169,1.022,1,2.6672,0.0886,0,0
97,DONE_OK,,24,1,0.3319,1.078,0.1555,0.0416,6,3.4422,0.0003,0,0
98,DONE_OK,,23,1,0.3674,1.114,0.1809,0.3995,3,3.1733,0.003,0,0
99,DONE_OK,,47,1,0.5125,0.893,0.1521,1.1338,1,2.3747,0.4841,0,0
