idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,48,1,0.6251,1.03,0.1512,0.7443,3,1.9179,0.4548,29.73,29.53,29.89,28.48,0.0209,0,0
1,DONE_OK,,18,1,0.2367,1.121,0.1507,0.4964,5,3.2561,0.0076,50.6,51.33,51.65,50.57,0.0129,0,0
2,DONE_OK,,49,1,0.6732,1.058,0.1576,-0.0002,3,2.1755,-0.0067,51.83,45.4,54.68,48.43,0.0229,0,0
3,DONE_OK,,73,1,0.4952,0.855,0.1608,0.8651,3,2.1417,0.4714,54.97,55.13,56.02,55.68,0.0023,0,0
4,DONE_OK,,57,1,0.6065,0.967,0.1496,0.8339,3,1.9757,0.3056,40.27,40.33,40.51,38.2,0.007,0,0
5,DONE_OK,,63,1,0.5755,0.926,0.1582,0.7373,3,2.1965,0.2665,50.11,49.37,50.81,48.25,0.0225,0,0
6,DONE_OK,,42,1,0.4616,0.926,0.1394,0.8021,6,2.3783,0.2335,55.62,53.92,56.54,54.39,0.0021,0,0
7,DONE_OK,,15,1,0.1984,1.124,0.148,0.4506,5,3.3019,0.01,50.36,50.41,50.77,49.92,0.0208,0,0
8,DONE_OK,,227,1,0.0547,1.108,0.1783,-0.0001,6,3.4066,-0.0048,28.8,31.08,31.29,26.55,0.0134,0,0
9,DONE_OK,,30,1,0.3352,0.935,0.1636,0.884,3,2.3978,0.5907,57.19,55.6,57.58,56.93,0.0022,0,0
10,DONE_OK,,42,1,0.5418,1.038,0.1552,0.5111,3,2.1449,0.2751,42.9,42.17,43.3,41.61,0.0022,0,0
11,DONE_OK,,16,1,0.2283,1.122,0.1616,0.2162,5,3.5363,-0.0001,72.01,80.99,80.99,77.07,0.0102,0,0
12,DONE_OK,,40,1,0.4242,0.907,0.1581,0.8878,3,2.3321,0.4618,58.8,57.76,58.99,58.38,0.0019,0,0
13,DONE_OK,,58,1,0.6337,1.0,0.1489,0.5157,3,1.9081,0.3628,39.68,39.22,39.91,38.27,0.0214,0,0
14,DONE_OK,,51,1,0.6805,1.05,0.1425,0.5916,3,2.1325,0.0955,44.53,42.46,44.7,42.84,0.0205,0,0
15,DONE_OK,,23,1,0.3409,1.098,0.1649,0.0024,6,3.3561,-0.003,67.76,78.23,78.23,74.03,0.0088,0,0
16,DONE_OK,,23,1,0.3049,1.123,0.1629,0.4733,5,3.2792,0.0043,61.6,67.88,67.88,64.35,0.0021,0,0
17,DONE_OK,,20,1,0.2582,1.123,0.1585,0.2448,5,3.5077,0.0021,62.77,70.15,70.15,66.18,0.0202,0,0
18,DONE_OK,,48,1,0.5433,0.908,0.1493,0.6405,6,2.4077,0.3896,48.09,46.49,48.64,46.2,0.0025,0,0
19,DONE_FAIL,TRANSPORT,300,1,0.0002,1.038,0.2684,-0.0001,1,3.6056,-0.0129,64.96,83.78,83.78,nan,nan,1,1
20,DONE_OK,,48,1,0.5445,0.927,0.1591,0.9227,3,2.3021,0.4553,49.11,49.82,50.26,49.17,0.0038,0,0
21,DONE_OK,,53,1,0.6384,1.027,0.1466,0.3315,3,1.8522,0.3315,41.09,39.4,41.3,38.89,0.0198,0,0
22,DONE_OK,,50,1,0.6464,1.031,0.1517,0.3947,3,2.1313,0.1204,50.6,49.89,50.79,48.92,0.0021,0,0
23,DONE_OK,,53,1,0.6017,1.042,0.1477,0.5629,3,1.9739,0.0267,39.45,35.88,40.58,38.44,0.0015,0,0
24,DONE_OK,,10,1,0.1204,1.126,0.1377,0.0746,5,3.6779,0.0002,50.4,55.0,55.0,53.11,0.0169,0,0
25,DONE_OK,,44,1,0.5956,1.042,0.1485,0.8947,3,2.4398,0.1652,49.79,48.22,49.91,49.05,0.0026,0,0
26,DONE_OK,,38,1,0.4189,0.91,0.1637,0.8997,3,2.3869,0.4979,44.5,43.81,44.88,44.22,0.0025,0,0
27,DONE_OK,,17,1,0.199,1.126,0.1449,0.3043,5,3.4482,0.0033,46.57,49.32,49.32,46.53,0.0153,0,0
28,DONE_OK,,13,1,0.1695,1.123,0.1639,0.1462,5,3.6063,0.0031,65.95,72.19,72.19,69.63,0.0206,0,0
29,DONE_OK,,49,1,0.6181,1.04,0.1503,-0.0085,3,2.1668,-0.0085,46.71,45.61,47.44,42.8,0.0242,0,0
30,DONE_OK,,16,1,0.1815,1.125,0.1378,0.5243,5,3.2282,0.152,44.08,44.53,45.0,42.53,0.003,0,0
31,DONE_OK,,41,1,0.4925,1.124,0.1677,1.1953,1,2.3266,0.0409,32.61,31.54,33.72,31.1,0.0023,0,0
32,DONE_FAIL,RETRACT,32,1,0.5879,1.047,0.1489,-0.0004,3,3.3791,-0.0078,78.02,83.07,83.07,81.81,0.2137,0,0
33,DONE_OK,,47,1,0.5721,1.025,0.1565,1.0196,1,2.3011,0.3549,35.99,33.12,36.86,34.4,0.0023,0,0
34,DONE_OK,,55,1,0.6357,1.021,0.1449,0.4821,3,2.0117,0.0192,55.09,52.21,56.14,54.1,0.0018,0,0
35,DONE_OK,,17,1,0.2145,1.125,0.1593,0.7337,5,3.0188,0.2488,41.9,40.26,42.4,40.35,0.0025,0,0
36,DONE_OK,,55,1,0.6561,1.023,0.1445,0.5577,3,2.0603,0.1508,45.24,43.97,45.36,42.95,0.0227,0,0
37,DONE_OK,,48,1,0.6037,1.016,0.1583,0.7466,3,2.154,0.3022,44.22,44.73,44.73,41.98,0.0205,0,0
38,DONE_OK,,32,1,0.4005,0.993,0.1622,0.8153,3,2.0834,0.6575,38.16,38.81,39.09,37.56,0.0232,0,0
39,DONE_OK,,35,1,0.4438,1.056,0.1647,0.9844,3,2.1776,0.4248,33.22,32.53,33.62,32.28,0.0023,0,0
40,DONE_OK,,13,1,0.1516,1.126,0.1397,0.1245,5,3.628,0.0003,46.09,50.3,50.3,47.32,0.0161,0,0
41,DONE_FAIL,RETRACT,50,1,0.8675,1.038,0.156,-0.0,1,3.7483,-0.0093,77.82,82.66,85.41,77.88,0.0859,0,0
42,DONE_OK,,38,1,0.4213,0.929,0.1537,0.9884,3,2.3115,0.4688,55.98,55.23,56.21,55.4,0.0016,0,0
43,DONE_OK,,13,1,0.104,1.122,0.1462,0.3321,6,3.291,0.2969,33.61,36.21,36.21,32.35,0.0129,0,0
44,DONE_OK,,17,1,0.2164,1.124,0.1501,0.4547,5,3.2978,0.0102,46.3,47.07,47.17,45.84,0.0115,0,0
45,DONE_OK,,33,1,0.6635,1.086,0.1652,-0.0115,3,2.4652,-0.0115,76.0,70.9,83.44,77.49,0.021,0,0
46,DONE_OK,,19,1,0.2777,1.091,0.1638,0.3353,6,3.4116,0.005,71.72,80.06,80.06,76.23,0.0174,0,0
47,DONE_OK,,46,1,0.5852,1.023,0.1508,0.8029,3,2.0147,0.4905,32.4,32.73,32.94,32.12,0.0217,0,0
48,DONE_OK,,42,1,0.5342,1.03,0.1498,0.5626,3,2.062,0.4001,43.35,42.95,43.71,42.4,0.0031,0,0
49,DONE_OK,,21,1,0.3169,1.089,0.1688,0.0729,6,3.3213,0.0059,70.62,79.03,79.03,74.72,0.0095,0,0
50,DONE_FAIL,RETRACT,35,1,0.618,1.05,0.1473,-0.0003,1,3.3856,-0.01,74.04,81.57,81.57,77.62,0.2037,0,0
51,DONE_OK,,72,1,0.535,0.85,0.1539,0.04,3,2.4473,-0.0113,80.92,82.72,85.62,84.23,0.0211,0,0
52,DONE_FAIL,RETRACT,108,1,0.0673,1.101,0.1762,-0.0002,6,3.5009,-0.0065,30.27,33.22,33.39,32.42,0.1337,0,0
53,DONE_OK,,38,1,0.4688,0.995,0.1572,0.8751,3,2.5302,0.2457,54.53,54.3,54.64,53.7,0.0028,0,0
54,DONE_OK,,52,1,0.5736,0.927,0.1516,0.7695,3,2.0909,0.3351,43.11,41.61,43.15,41.66,0.0022,0,0
55,DONE_OK,,41,1,0.4685,0.953,0.1619,1.1377,1,2.568,0.3118,50.71,48.75,50.76,49.31,0.0023,0,0
56,DONE_OK,,15,1,0.1834,1.126,0.1387,0.2391,5,3.5134,0.0017,54.0,57.82,57.82,55.61,0.0162,0,0
57,DONE_OK,,8,1,0.0981,1.126,0.1434,0.0224,5,3.7301,-0.0001,49.26,54.27,54.27,53.28,0.0172,0,0
58,DONE_OK,,43,1,0.5387,1.063,0.1594,0.6803,3,2.2931,0.1381,45.1,43.69,46.25,41.04,0.0226,0,0
59,DONE_OK,,47,1,0.5973,1.037,0.1416,0.3463,3,1.9126,0.3463,43.15,42.72,43.43,41.14,0.0211,0,0
60,DONE_FAIL,TRANSPORT,300,1,0.0075,1.122,0.3864,-0.0005,6,3.7528,-0.004,23.07,26.46,26.46,nan,nan,1,1
61,DONE_OK,,24,1,0.2976,1.12,0.1447,0.4511,5,3.3014,0.0057,47.23,50.36,50.36,46.95,0.0622,0,0
62,DONE_OK,,26,1,0.4948,1.091,0.1632,0.501,3,2.7174,0.0083,79.05,71.33,84.78,83.03,0.041,0,0
63,DONE_OK,,35,1,0.4226,0.997,0.1516,0.3675,3,2.0212,0.3675,48.95,50.06,50.06,48.36,0.0215,0,0
64,DONE_OK,,42,1,0.5205,1.049,0.1605,0.5936,3,2.031,0.3737,40.68,39.88,41.47,37.85,0.0231,0,0
65,DONE_OK,,39,1,0.4627,1.001,0.159,0.9429,3,2.2195,0.5994,31.23,32.02,32.02,31.24,0.0029,0,0
66,DONE_OK,,47,1,0.6284,1.042,0.1451,0.9064,3,2.4121,0.1411,48.49,47.25,48.57,47.73,0.0013,0,0
67,DONE_OK,,35,1,0.4248,1.017,0.1613,0.8806,3,2.3208,0.3464,48.34,47.31,48.66,46.98,0.0023,0,0
68,DONE_OK,,41,1,0.5344,1.034,0.1472,0.965,3,2.6231,0.0375,56.96,56.17,56.98,56.21,0.0025,0,0
69,DONE_OK,,10,1,0.121,1.126,0.1432,0.1519,5,3.6006,0.0033,51.3,54.27,54.27,52.8,0.0184,0,0
70,DONE_OK,,7,1,0.0886,1.126,0.1441,0.0081,5,3.7444,-0.0002,56.22,61.39,61.39,61.38,0.0198,0,0
71,DONE_OK,,54,1,0.6519,1.023,0.1523,0.7228,3,2.1273,0.1737,42.46,42.14,42.71,40.58,0.0214,0,0
72,DONE_FAIL,RETRACT,32,1,0.5929,1.052,0.1485,-0.0004,3,3.3777,-0.0109,77.06,82.06,82.06,80.55,0.21,0,0
73,DONE_OK,,53,1,0.6827,1.071,0.1546,0.0249,5,3.7276,-0.0152,63.52,70.15,81.34,63.15,0.0258,0,0
74,DONE_OK,,53,1,0.5821,0.949,0.1518,0.3687,6,2.4512,0.0238,70.31,69.27,70.82,69.08,0.0039,0,0
75,DONE_OK,,52,1,0.612,0.993,0.1531,0.7962,3,1.8984,0.5058,31.42,32.61,32.61,31.05,0.0192,0,0
76,DONE_OK,,20,1,0.319,1.116,0.1748,0.3374,6,3.2305,0.0064,75.45,83.43,83.46,80.45,0.0129,0,0
