idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_OK,,17,1,0.2444,1.12,0.1629,0.2073,5,3.5452,-0.0002,0,0
1,DONE_OK,,56,1,0.6179,0.988,0.1567,0.4208,3,2.1589,0.0828,0,0
2,DONE_OK,,18,1,0.1929,1.126,0.1477,0.2539,5,3.4986,0.0037,0,0
3,DONE_OK,,43,1,0.5495,1.067,0.1595,0.9139,3,2.2763,0.1764,0,0
4,DONE_OK,,40,1,0.4935,1.022,0.157,0.7597,3,2.1176,0.3846,0,0
5,DONE_OK,,26,1,0.4023,1.104,0.1731,0.4754,5,3.2771,-0.0002,0,0
6,DONE_OK,,36,1,0.468,1.096,0.167,1.0535,3,2.1337,0.4417,0,0
7,DONE_OK,,21,1,0.2054,1.125,0.1496,0.4546,5,3.2979,0.1475,0,0
8,DONE_OK,,15,1,0.2222,1.113,0.1628,0.2139,5,3.5386,-0.0001,0,0
9,DONE_OK,,41,1,0.5691,1.054,0.145,0.7193,3,2.2899,0.258,0,0
10,DONE_OK,,18,1,0.24,1.126,0.1525,0.698,5,3.0545,0.1319,0,0
11,DONE_OK,,10,1,0.1201,1.126,0.1412,0.1045,5,3.648,0.0016,0,0
12,DONE_OK,,9,1,0.112,1.125,0.147,0.2319,5,3.5206,0.0085,0,0
13,DONE_OK,,56,1,0.6975,0.956,0.1654,0.0637,3,2.2368,-0.0048,0,0
14,DONE_OK,,23,1,0.2263,1.126,0.1627,0.4423,6,3.2913,0.2096,0,0
15,DONE_OK,,43,1,0.5437,1.024,0.149,0.4369,3,2.0504,0.4063,0,0
16,DONE_OK,,45,1,0.5571,1.011,0.1485,0.8602,3,2.1984,0.5066,0,0
17,DONE_OK,,56,1,0.7131,0.955,0.1511,0.1436,3,2.4203,0.0032,0,0
18,DONE_OK,,47,1,0.5358,1.066,0.153,0.8072,3,2.2236,0.2876,0,0
19,DONE_OK,,6,1,0.0719,1.126,0.1381,0.0101,5,3.7424,-0.0,0,0
20,DONE_FAIL,RETRACT,39,1,0.6439,1.073,0.1621,0.0039,1,3.4931,-0.0102,0,0
21,DONE_OK,,45,1,0.5706,1.017,0.155,0.765,3,2.3853,0.1258,0,0
22,DONE_OK,,49,1,0.5198,0.889,0.1516,0.3865,6,2.606,0.0196,0,0
23,DONE_OK,,41,1,0.5483,1.08,0.1607,-0.0003,3,2.3189,-0.0087,0,0
24,DONE_OK,,49,1,0.5923,0.98,0.1651,-0.0002,3,2.2831,-0.0065,0,0
25,DONE_FAIL,TRANSPORT,300,1,0.3203,0.973,0.6432,-0.0,4,1.2699,-0.0051,0,0
26,DONE_OK,,56,1,0.601,1.037,0.1487,0.7041,3,2.1533,0.0011,0,0
27,DONE_OK,,20,1,0.2585,1.101,0.1728,0.7656,5,2.9869,0.1117,0,0
28,DONE_OK,,43,1,0.5068,1.05,0.1672,0.8314,3,2.218,0.2985,0,0
29,DONE_OK,,57,1,0.5697,0.925,0.1582,0.8878,3,2.4124,0.0526,0,0
30,DONE_OK,,35,1,0.387,0.939,0.1676,1.0299,3,2.5821,0.3627,0,0
31,DONE_OK,,35,1,0.4362,1.042,0.1544,1.3204,1,2.3161,0.3516,0,0
32,DONE_OK,,45,1,0.5696,1.009,0.1687,0.4217,3,2.1075,0.2301,0,0
33,DONE_OK,,31,1,0.3461,0.938,0.1585,0.7665,3,2.3561,0.6067,0,0
34,DONE_OK,,20,1,0.253,1.09,0.1776,1.1817,1,2.5041,0.6401,0,0
35,DONE_OK,,40,1,0.5126,1.035,0.1486,0.4823,3,2.1328,0.329,0,0
36,DONE_OK,,43,1,0.5701,1.07,0.1572,0.5014,3,2.2684,0.013,0,0
37,DONE_OK,,46,1,0.6014,1.037,0.1483,0.4893,3,2.2332,0.0817,0,0
38,DONE_OK,,22,1,0.1497,1.125,0.1597,0.3272,5,3.4253,0.2605,0,0
39,DONE_OK,,40,1,0.5278,1.055,0.1654,0.4185,3,2.2166,0.2501,0,0
40,DONE_OK,,45,1,0.5661,1.019,0.1589,0.6579,3,2.0488,0.3592,0,0
41,DONE_OK,,36,1,0.5761,1.04,0.1674,0.0321,3,2.4863,0.0045,0,0
42,DONE_OK,,48,1,0.5674,0.942,0.1585,0.9473,3,2.3269,0.3486,0,0
43,DONE_OK,,16,1,0.2177,1.12,0.1604,0.1341,5,3.6184,-0.0002,0,0
44,DONE_OK,,14,1,0.1762,1.125,0.1478,0.2407,5,3.5118,0.0057,0,0
45,DONE_OK,,52,1,0.5785,0.933,0.1564,0.598,3,2.0469,0.3119,0,0
46,DONE_OK,,11,1,0.1322,1.126,0.143,0.056,5,3.6965,-0.0002,0,0
47,DONE_OK,,43,1,0.4978,0.98,0.1639,0.8651,3,2.3023,0.5346,0,0
48,DONE_OK,,22,1,0.2912,1.093,0.1668,1.1614,1,2.4171,0.6191,0,0
