idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,30,1,0.3341,0.954,0.1707,0.782,3,2.4153,0.5725,45.95,42.79,46.55,43.0,0.0024,0,0
1,DONE_OK,,35,1,0.6242,1.06,0.1464,-0.0024,3,3.586,-0.0054,75.24,81.56,81.56,79.58,0.0987,0,0
2,DONE_OK,,51,1,0.5988,1.004,0.1519,0.9078,3,2.1436,0.5086,34.49,36.06,36.06,35.81,0.0016,0,0
3,DONE_OK,,53,1,0.5854,0.959,0.1643,0.0005,3,2.2246,-0.0044,51.63,45.56,52.6,43.04,0.0235,0,0
4,DONE_OK,,15,1,0.1683,1.125,0.1469,0.7683,5,2.9842,0.5567,30.47,35.04,35.04,34.85,0.002,0,0
5,DONE_OK,,49,1,0.6299,1.037,0.1524,0.593,3,2.1705,0.1388,47.73,47.89,49.0,46.09,0.0206,0,0
6,DONE_OK,,61,1,0.5307,0.878,0.1539,1.2477,3,2.1666,0.5435,42.9,43.26,43.68,43.21,0.0018,0,0
7,DONE_OK,,45,1,0.5642,1.03,0.1451,0.6525,3,2.0783,0.3856,43.62,42.0,44.21,40.27,0.0214,0,0
8,DONE_OK,,44,1,0.5614,1.018,0.1512,0.7853,3,2.3257,0.2724,49.56,47.13,50.16,47.05,0.0021,0,0
9,DONE_OK,,22,1,0.2586,1.125,0.1487,0.4307,5,3.3218,0.0066,44.58,53.99,53.99,53.21,0.0044,0,0
10,DONE_OK,,51,1,0.6194,1.04,0.147,0.4216,3,1.945,0.161,45.63,41.63,48.57,41.61,0.0018,0,0
11,DONE_OK,,29,1,0.3536,1.012,0.1548,1.1002,3,2.4364,0.4793,47.5,46.61,48.4,46.5,0.0024,0,0
12,DONE_OK,,45,1,0.5551,1.035,0.1432,0.712,3,2.0824,0.4171,45.69,44.5,46.25,43.29,0.0202,0,0
13,DONE_OK,,55,1,0.5693,0.961,0.1479,-0.0005,3,1.903,-0.0077,65.48,51.32,65.7,49.64,0.0234,0,0
14,DONE_OK,,23,1,0.311,1.126,0.1602,0.638,5,3.1145,0.0099,51.46,54.37,54.65,54.37,0.0015,0,0
15,DONE_OK,,46,1,0.5747,1.016,0.1612,0.0146,3,2.2021,-0.0039,58.14,42.79,58.57,40.65,0.0248,0,0
16,DONE_OK,,53,1,0.6,0.97,0.157,0.258,3,2.2389,0.028,51.92,50.97,53.19,47.5,0.0224,0,0
17,DONE_OK,,50,1,0.6215,1.017,0.1486,0.6967,3,2.1447,0.2883,43.01,42.47,44.2,40.92,0.021,0,0
18,DONE_OK,,4,1,0.0399,1.126,0.1408,0.0774,5,3.6751,0.0123,56.37,57.11,57.11,56.28,0.0103,0,0
19,DONE_OK,,48,1,0.5776,1.054,0.1632,0.3062,3,2.1141,0.083,41.19,42.14,46.79,40.35,0.0264,0,0
20,DONE_OK,,57,1,0.6287,1.001,0.1512,0.1212,1,2.3542,0.0174,62.19,64.89,66.16,64.21,0.0034,0,0
21,DONE_OK,,42,1,0.4656,0.942,0.1584,0.9402,3,2.3686,0.4209,52.24,51.36,52.63,51.32,0.0025,0,0
22,DONE_OK,,45,1,0.5937,1.068,0.1566,-0.0001,3,2.1411,-0.0062,51.37,46.04,52.58,43.43,0.0237,0,0
23,DONE_OK,,34,1,0.3846,0.949,0.1656,1.0327,3,2.4604,0.4221,51.54,50.32,52.32,50.5,0.0023,0,0
24,DONE_OK,,18,1,0.2244,1.126,0.1397,0.3587,5,3.3938,0.0046,40.45,45.73,45.73,45.34,0.0053,0,0
25,DONE_OK,,19,1,0.2364,1.084,0.1478,0.845,5,2.9075,0.3706,36.97,39.1,39.1,39.01,0.0016,0,0
26,DONE_OK,,42,1,0.5334,1.031,0.1655,0.5479,3,2.2915,0.2212,42.06,42.09,42.98,39.46,0.0236,0,0
27,DONE_OK,,36,1,0.4424,1.015,0.1507,0.8682,3,2.1907,0.5013,44.35,43.23,44.99,42.38,0.0204,0,0
28,DONE_FAIL,TRANSPORT,300,1,0.6594,1.056,1.4209,-0.0003,4,2.5384,-0.058,71.13,70.19,89.93,nan,nan,0,0
29,DONE_OK,,50,1,0.6068,0.988,0.1559,1.0239,3,2.2101,0.3741,43.8,41.05,44.33,40.64,0.002,0,0
30,DONE_OK,,17,1,0.23,1.125,0.1534,0.5415,5,3.211,0.0354,40.63,41.22,41.6,41.46,0.0072,0,0
31,DONE_OK,,33,1,0.4111,1.031,0.1568,0.7191,3,2.2231,0.5301,50.86,50.44,51.91,48.37,0.0216,0,0
32,DONE_OK,,29,1,0.3705,1.105,0.1514,1.0164,5,2.7361,0.321,27.72,32.8,32.8,32.56,0.0019,0,0
