idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,56,1,0.5854,0.951,0.1514,0.4421,3,1.9785,0.3592,48.48,52.39,52.39,52.37,0.0034,0,0
1,DONE_OK,,42,1,0.556,1.051,0.1473,0.7948,3,2.4676,0.0199,56.28,50.87,56.63,50.99,0.0027,0,0
2,DONE_OK,,41,1,0.6125,1.078,0.1567,-0.0001,3,2.2048,-0.0057,72.69,48.92,76.59,46.4,0.0246,0,0
3,DONE_OK,,9,1,0.111,1.124,0.1504,0.2225,5,3.53,0.0102,55.1,56.5,56.5,56.35,0.0178,0,0
4,DONE_OK,,42,1,0.522,1.009,0.1517,0.6856,3,2.3491,0.2399,55.14,55.36,55.8,54.59,0.0201,0,0
5,DONE_OK,,51,1,0.5118,0.914,0.1714,-0.0,6,2.6701,-0.0028,54.63,54.86,57.7,54.02,0.0281,0,0
6,DONE_OK,,34,1,0.4111,0.979,0.1651,1.0219,3,2.5954,0.2657,49.5,50.1,50.24,49.91,0.0025,0,0
7,DONE_OK,,36,1,0.4093,0.943,0.1638,0.9709,3,2.4129,0.4276,56.2,54.67,57.56,54.87,0.0022,0,0
8,DONE_OK,,40,1,0.475,1.006,0.1587,0.9751,1,2.2558,0.6155,38.53,36.64,41.17,36.79,0.0022,0,0
9,DONE_OK,,17,1,0.1985,1.12,0.1772,0.8981,5,2.8544,0.587,44.32,48.71,48.71,48.65,0.0226,0,0
10,DONE_OK,,10,1,0.1318,1.125,0.1661,0.2651,5,3.4874,0.0138,74.67,76.61,76.61,75.31,0.0175,0,0
11,DONE_OK,,16,1,0.2037,1.124,0.1629,0.8343,5,2.9182,0.3972,35.42,36.36,37.02,36.35,0.0022,0,0
12,DONE_OK,,43,1,0.4891,0.942,0.1709,0.5136,3,2.3087,0.392,43.44,41.84,44.09,41.65,0.0025,0,0
13,DONE_OK,,45,1,0.5126,0.937,0.1673,0.6847,3,2.5267,0.1773,65.49,63.49,65.84,63.29,0.0022,0,0
14,DONE_OK,,60,1,0.612,0.986,0.1436,0.5263,3,1.9978,0.283,49.5,50.39,50.39,49.6,0.0202,0,0
15,DONE_OK,,29,1,0.4313,1.064,0.1594,0.2603,3,2.3892,0.0152,77.62,57.79,79.56,54.76,0.0213,0,0
16,DONE_OK,,40,1,0.4532,0.936,0.1698,0.9898,3,2.5694,0.3933,54.81,53.59,55.88,53.63,0.0022,0,0
17,DONE_OK,,55,1,0.5982,1.016,0.1374,0.41,6,2.407,0.0351,43.43,41.56,48.61,41.56,0.0022,0,0
18,DONE_OK,,50,1,0.6353,1.031,0.1532,0.3198,3,2.1473,0.0807,49.01,48.21,50.08,45.04,0.0234,0,0
