idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_OK,,58,1,0.6401,1.028,0.1514,-0.0002,3,2.053,-0.008,0,0
1,DONE_OK,,19,1,0.2483,1.109,0.1612,0.5376,5,3.2149,0.0075,0,0
2,DONE_OK,,41,1,0.48,1.125,0.1806,0.9867,5,2.7658,0.296,0,0
3,DONE_OK,,17,1,0.2245,1.126,0.1557,0.8431,5,2.9094,0.2971,0,0
4,DONE_OK,,51,1,0.6498,1.014,0.1509,0.7773,3,1.9855,0.403,0,0
5,DONE_OK,,48,1,0.5927,1.01,0.1502,0.8862,3,2.2212,0.4945,0,0
6,DONE_OK,,27,1,0.3311,1.124,0.1536,0.3123,5,3.4402,0.0024,0,0
7,DONE_OK,,50,1,0.6528,1.028,0.1505,0.6673,3,1.9408,0.4164,0,0
8,DONE_OK,,35,1,0.3617,1.125,0.1445,0.9843,5,2.7682,0.2945,0,0
9,DONE_OK,,25,1,0.2981,1.019,0.1674,1.0129,3,2.3895,0.6362,0,0
10,DONE_OK,,62,1,0.542,0.913,0.1621,0.6516,3,2.3858,0.0045,0,0
11,DONE_OK,,56,1,0.5551,0.903,0.155,0.9637,3,2.3048,0.2457,0,0
12,DONE_OK,,40,1,0.4593,0.951,0.1631,1.1621,5,2.5904,0.3086,0,0
13,DONE_FAIL,RETRACT,40,1,0.6669,1.062,0.1507,-0.0002,1,3.5348,-0.0058,0,0
14,DONE_OK,,57,1,0.6757,1.026,0.1396,0.0001,3,1.868,-0.0054,0,0
15,DONE_OK,,48,1,0.6413,1.044,0.1485,0.4675,3,2.1287,0.1424,0,0
16,DONE_OK,,59,1,0.6244,0.972,0.1448,0.5536,3,2.0359,0.2005,0,0
17,DONE_OK,,81,1,0.0929,1.112,0.1744,-0.0002,6,3.4972,-0.0051,0,0
18,DONE_OK,,42,1,0.4919,0.958,0.1688,0.9748,3,2.5469,0.1932,0,0
19,DONE_FAIL,RETRACT,33,1,0.6002,1.045,0.1491,-0.0004,3,3.398,-0.0102,0,0
