idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,56,1,0.581,0.953,0.1466,0.4205,3,1.8773,0.36,48.42,48.59,48.59,47.72,0.0034,0,0
1,DONE_OK,,42,1,0.568,1.055,0.1451,0.8717,3,2.543,0.0199,56.26,54.71,56.41,55.83,0.0025,0,0
2,DONE_OK,,35,1,0.6158,1.079,0.1671,0.1284,3,2.5473,0.003,73.24,68.17,80.42,73.58,0.0178,0,0
3,DONE_OK,,9,1,0.1089,1.124,0.143,0.1967,5,3.5558,0.0075,55.18,56.5,56.5,55.63,0.0098,0,0
4,DONE_OK,,42,1,0.521,1.009,0.1537,0.6428,3,2.2969,0.2406,55.04,54.56,55.15,51.85,0.0224,0,0
5,DONE_OK,,53,1,0.5159,0.876,0.1489,0.0982,6,2.6718,0.0143,54.57,53.89,55.4,53.09,0.0278,0,0
6,DONE_OK,,33,1,0.4053,0.995,0.1639,1.0339,3,2.575,0.2664,49.43,48.93,49.58,48.44,0.0024,0,0
7,DONE_OK,,35,1,0.3995,0.937,0.1615,1.0394,3,2.3902,0.4279,56.15,54.54,56.61,55.28,0.002,0,0
8,DONE_OK,,38,1,0.4468,1.01,0.1511,1.046,1,2.2281,0.6157,38.48,36.63,39.24,37.74,0.0023,0,0
9,DONE_OK,,15,1,0.1601,1.122,0.1697,0.8931,5,2.8594,0.5869,44.29,44.42,45.66,43.59,0.0181,0,0
10,DONE_OK,,9,1,0.126,1.124,0.1611,0.0897,5,3.6628,0.0037,75.35,82.0,82.0,81.04,0.0189,0,0
11,DONE_OK,,17,1,0.2172,1.123,0.1679,0.9531,5,2.7994,0.3977,35.33,33.36,35.8,33.9,0.0019,0,0
12,DONE_OK,,41,1,0.4763,0.951,0.1682,0.7052,3,2.3654,0.3922,43.42,41.44,43.73,42.87,0.0025,0,0
13,DONE_OK,,44,1,0.5012,0.946,0.1649,0.7131,3,2.5022,0.1787,65.32,62.83,65.32,63.65,0.0022,0,0
14,DONE_OK,,61,1,0.6,0.972,0.1435,0.4374,3,1.9063,0.2835,49.45,50.12,50.12,48.54,0.0033,0,0
15,DONE_OK,,28,1,0.5045,1.103,0.1605,0.5444,3,2.7047,0.0096,78.08,71.24,83.7,81.63,0.0486,0,0
16,DONE_OK,,38,1,0.4257,0.928,0.1644,1.1034,3,2.5675,0.3938,54.74,53.33,55.05,53.72,0.0022,0,0
17,DONE_OK,,53,1,0.6037,1.051,0.1357,0.4342,6,2.4236,0.0354,43.37,41.98,44.48,42.64,0.002,0,0
18,DONE_OK,,49,1,0.637,1.036,0.1556,0.4216,3,2.167,0.0811,48.89,47.79,49.0,44.85,0.0231,0,0
