idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,46,1,0.6598,1.062,0.1778,0.0003,3,1.9858,-0.004,63.89,50.27,74.18,48.87,0.0235,0,0
1,DONE_OK,,38,1,0.4649,1.005,0.1551,1.0238,3,2.2809,0.4555,37.42,35.2,37.81,34.98,0.0025,0,0
2,DONE_OK,,28,1,0.3684,1.111,0.1566,1.225,5,2.5275,0.4405,22.67,24.79,24.79,24.66,0.0019,0,0
3,DONE_OK,,55,1,0.6085,1.057,0.1561,0.5979,3,2.1319,0.0167,36.35,36.87,43.5,35.64,0.0297,0,0
4,DONE_OK,,25,1,0.3285,1.098,0.1599,1.1465,5,2.606,0.4178,31.43,32.53,32.91,32.45,0.0022,0,0
5,DONE_OK,,47,1,0.5898,1.033,0.1576,0.8858,3,1.9297,0.4943,29.19,31.19,31.83,30.9,0.0233,0,0
6,DONE_OK,,46,1,0.6042,1.05,0.1559,0.4668,3,2.1799,0.1489,43.81,41.41,44.71,41.54,0.0021,0,0
7,DONE_FAIL,RETRACT,30,1,0.5604,1.088,0.1491,-0.0003,3,3.3519,-0.0139,71.35,81.89,81.89,81.18,0.1917,0,0
8,DONE_FAIL,RETRACT,36,1,0.6062,1.077,0.1545,-0.0002,1,3.499,-0.0106,64.53,84.07,84.07,81.64,0.1183,0,0
9,DONE_OK,,25,1,0.2804,1.125,0.1518,0.1674,6,3.4092,0.0179,34.57,46.39,46.39,45.4,0.0339,0,0
10,DONE_OK,,48,1,0.5299,0.915,0.1499,0.8921,3,2.3486,0.3387,63.28,62.05,63.8,62.09,0.0007,0,0
11,DONE_OK,,45,1,0.568,1.047,0.1512,0.99,3,2.1541,0.3208,31.3,31.3,33.38,31.11,0.0024,0,0
12,DONE_OK,,29,1,0.3322,0.961,0.1723,0.9464,1,2.7231,0.3379,44.05,46.13,46.84,46.26,0.0021,0,0
13,DONE_OK,,53,1,0.6083,1.0,0.1539,0.967,3,2.1343,0.4232,39.45,39.34,39.76,38.92,0.0011,0,0
14,DONE_OK,,18,1,0.1847,1.124,0.1536,0.291,6,3.3939,0.1594,30.35,39.93,39.93,39.37,0.0047,0,0
15,DONE_OK,,31,1,0.3838,1.036,0.1597,0.3795,3,2.1567,0.3795,44.91,45.29,46.68,42.82,0.0253,0,0
16,DONE_OK,,53,1,0.6385,1.025,0.1492,0.9129,3,2.1227,0.2677,37.28,35.32,38.8,35.05,0.0025,0,0
17,DONE_OK,,41,1,0.5439,1.041,0.1522,0.833,3,2.531,0.0266,56.37,51.06,56.61,51.15,0.0026,0,0
18,DONE_OK,,38,1,0.4143,0.911,0.1669,0.9639,3,2.556,0.4184,54.45,52.93,55.04,53.04,0.0024,0,0
19,DONE_OK,,44,1,0.5415,0.995,0.155,0.8151,3,2.4191,0.2503,51.06,51.06,51.68,50.86,0.0033,0,0
20,DONE_OK,,22,1,0.2683,1.031,0.168,1.0381,1,2.6325,0.493,43.35,44.12,44.72,44.11,0.0023,0,0
21,DONE_OK,,51,1,0.6113,1.0,0.1516,0.8143,3,2.2013,0.3096,44.76,43.96,45.59,43.64,0.0028,0,0
22,DONE_OK,,56,1,0.6042,0.996,0.152,0.8728,3,1.9798,0.6052,27.67,31.87,31.87,31.75,0.0023,0,0
23,DONE_OK,,52,1,0.6655,1.047,0.1547,-0.0,3,2.1391,-0.0104,57.87,49.53,61.83,46.66,0.0221,0,0
24,DONE_FAIL,RETRACT,33,1,0.578,1.045,0.1496,-0.0001,1,3.5469,-0.0099,72.82,87.59,87.59,85.41,0.1586,0,0
25,DONE_OK,,32,1,0.3568,1.083,0.1642,-0.0001,6,3.4918,-0.0039,44.38,58.6,58.6,57.78,0.0545,0,0
26,DONE_OK,,9,1,0.1127,1.125,0.147,0.2386,5,3.5139,0.0103,54.4,55.34,55.34,55.17,0.0214,0,0
27,DONE_OK,,38,1,0.4559,1.007,0.1521,0.7206,3,2.2084,0.5218,46.94,47.42,47.73,45.97,0.021,0,0
28,DONE_OK,,55,1,0.6565,1.031,0.1466,0.4825,3,2.1441,0.0233,53.84,49.26,54.24,47.2,0.0213,0,0
29,DONE_FAIL,RETRACT,33,1,0.5753,1.093,0.1499,-0.0002,1,3.4482,-0.011,67.66,82.71,82.71,81.73,0.1765,0,0
30,DONE_OK,,54,1,0.546,0.928,0.1497,0.2869,3,2.0275,0.2869,59.11,53.09,59.56,51.15,0.0248,0,0
31,DONE_OK,,54,1,0.568,0.965,0.145,0.1406,6,2.6919,0.0241,42.14,42.07,46.75,41.61,0.025,0,0
32,DONE_OK,,29,1,0.3396,1.009,0.1612,0.8675,3,2.4085,0.5195,48.14,48.42,48.72,48.08,0.0026,0,0
33,DONE_OK,,45,1,0.4813,1.098,0.1655,0.0871,6,3.408,-0.0047,35.98,58.44,58.44,58.19,0.0187,0,0
34,DONE_OK,,36,1,0.4317,0.988,0.1546,0.627,3,2.2151,0.5062,51.02,51.53,52.11,49.33,0.022,0,0
35,DONE_OK,,40,1,0.6117,1.082,0.1601,-0.0001,3,2.1744,-0.0038,67.08,66.94,79.02,64.46,0.0586,0,0
36,DONE_OK,,53,1,0.59,1.003,0.1475,0.3442,6,2.4468,0.0676,46.91,44.68,51.93,44.33,0.0087,0,0
37,DONE_OK,,37,1,0.449,1.013,0.1592,0.9028,3,2.2972,0.5192,36.07,36.91,37.14,36.71,0.0025,0,0
38,DONE_OK,,52,1,0.6191,1.0,0.1551,-0.0001,3,2.114,-0.0034,52.59,48.09,54.93,45.36,0.022,0,0
39,DONE_OK,,62,1,0.5281,0.841,0.1538,0.8912,3,2.2967,0.2253,53.48,53.5,54.67,53.26,0.0021,0,0
40,DONE_OK,,32,1,0.3799,0.972,0.1572,0.7141,3,2.1678,0.6505,45.76,44.53,46.52,42.66,0.0237,0,0
41,DONE_OK,,48,1,0.6022,1.022,0.1451,0.9171,3,2.1906,0.3941,39.88,37.83,40.19,37.6,0.0025,0,0
42,DONE_OK,,36,1,0.4339,0.998,0.1491,0.625,3,2.2235,0.4793,53.86,54.04,54.75,51.93,0.0207,0,0
43,DONE_OK,,43,1,0.6188,1.067,0.167,-0.0003,3,2.4007,-0.009,55.53,44.81,61.55,42.82,0.0232,0,0
44,DONE_OK,,63,1,0.7534,0.989,0.1457,-0.0,3,1.7667,-0.0051,79.08,35.45,79.31,32.57,0.043,0,0
45,DONE_OK,,30,1,0.2586,1.119,0.1604,-0.0002,6,3.4734,-0.0032,26.5,44.36,44.36,43.7,0.005,0,0
46,DONE_OK,,41,1,0.5152,1.029,0.1476,0.7837,3,2.2228,0.4952,40.52,38.01,42.67,38.08,0.0026,0,0
47,DONE_OK,,51,1,0.6306,1.025,0.155,0.7079,3,2.1733,0.1783,41.49,41.15,43.03,39.86,0.0216,0,0
48,DONE_OK,,14,1,0.1696,1.126,0.1396,0.2802,5,3.4723,0.0081,50.84,55.38,55.38,54.62,0.0602,0,0
49,DONE_OK,,41,1,0.5411,1.06,0.1594,0.5723,3,2.3288,0.0392,52.7,51.59,53.4,49.62,0.02,0,0
50,DONE_OK,,98,1,0.0786,1.004,0.1747,0.0005,6,2.53,-0.0016,54.93,53.44,55.45,52.93,0.0263,0,0
51,DONE_OK,,34,1,0.4093,1.01,0.1505,0.3715,3,2.0861,0.3715,54.25,55.16,55.16,53.41,0.0194,0,0
52,DONE_FAIL,RETRACT,29,1,0.5411,1.068,0.1536,-0.0004,3,3.3514,-0.0073,78.45,84.41,84.41,84.08,0.2026,0,0
53,DONE_OK,,31,1,0.3904,1.092,0.1458,0.3759,5,3.3766,0.0075,58.15,66.47,67.6,66.48,0.0166,0,0
54,DONE_OK,,55,1,0.5736,0.929,0.1475,0.4287,3,1.8451,0.3834,48.47,51.08,51.08,50.93,0.0013,0,0
55,DONE_OK,,24,1,0.2911,1.042,0.1729,1.1155,3,2.5497,0.6103,50.04,51.08,52.24,51.21,0.0023,0,0
56,DONE_OK,,44,1,0.5911,1.051,0.1574,-0.0007,3,2.4108,-0.011,45.25,43.23,48.94,41.69,0.0239,0,0
57,DONE_OK,,54,1,0.6006,0.977,0.1481,0.7142,1,2.1087,0.0297,59.77,57.11,62.96,57.11,0.0024,0,0
58,DONE_OK,,44,1,0.5714,1.033,0.1443,0.6076,3,2.1739,0.3485,45.91,40.18,46.92,40.26,0.0029,0,0
59,DONE_FAIL,TRANSPORT,300,1,0.7743,1.03,1.4485,-0.0004,4,2.596,-0.0268,76.05,89.2,89.88,nan,nan,0,0
60,DONE_OK,,23,1,0.2913,1.125,0.1692,0.7065,5,3.046,0.1234,37.06,41.61,42.22,41.7,0.0012,0,0
61,DONE_OK,,47,1,0.5755,1.028,0.1616,0.8967,1,2.2765,0.4081,35.67,32.39,39.25,32.66,0.0022,0,0
62,DONE_OK,,52,1,0.6264,1.035,0.1489,0.2718,3,1.8936,0.0537,51.88,49.66,54.64,48.54,0.0279,0,0
63,DONE_OK,,46,1,0.5881,1.019,0.1515,0.889,3,2.5321,0.065,54.99,53.42,55.26,53.33,0.0023,0,0
64,DONE_OK,,53,1,0.5989,1.017,0.1448,0.3698,6,2.3931,0.0565,43.8,41.27,48.22,41.14,0.0043,0,0
65,DONE_OK,,53,1,0.6149,1.006,0.1503,0.9911,3,1.9773,0.4901,35.29,33.64,35.36,33.05,0.0024,0,0
66,DONE_OK,,36,1,0.4441,1.097,0.1308,0.221,5,3.5315,0.0069,52.47,68.99,69.13,68.9,0.0136,0,0
67,DONE_FAIL,RETRACT,48,1,0.7681,1.044,0.1555,-0.0001,3,2.2308,-0.0116,69.79,89.49,89.49,89.68,0.1883,0,0
68,DONE_OK,,49,1,0.6269,1.033,0.153,0.7209,3,2.1231,0.2591,39.39,38.86,40.24,37.69,0.0216,0,0
69,DONE_OK,,46,1,0.5968,1.05,0.1611,-0.0003,3,2.1743,-0.0106,51.92,45.92,59.61,43.85,0.0228,0,0
70,DONE_OK,,49,1,0.5777,1.05,0.1413,0.7105,6,2.4488,0.0256,37.39,37.21,44.04,37.35,0.0022,0,0
71,DONE_OK,,42,1,0.505,1.014,0.1546,0.8958,3,2.2074,0.4903,40.0,40.15,40.57,39.89,0.0021,0,0
72,DONE_OK,,39,1,0.4949,1.014,0.1514,0.8419,3,2.4692,0.2414,52.95,51.75,53.56,51.7,0.0022,0,0
73,DONE_OK,,50,1,0.6486,1.039,0.1517,0.6111,3,2.1322,0.1647,44.18,42.31,44.97,40.28,0.0229,0,0
74,DONE_OK,,14,1,0.1729,1.105,0.1762,0.8256,5,2.9269,0.4263,35.41,35.33,36.26,35.34,0.002,0,0
75,DONE_FAIL,RETRACT,32,1,0.5603,1.086,0.1503,-0.0004,1,3.3356,-0.0127,66.53,80.93,80.93,79.17,0.207,0,0
76,DONE_OK,,24,1,0.2967,1.071,0.1752,0.9335,1,2.5364,0.5605,40.11,41.82,42.47,41.92,0.0023,0,0
77,DONE_OK,,48,1,0.5146,0.875,0.1632,0.807,3,2.4093,0.272,59.94,63.89,64.58,64.29,0.0019,0,0
