idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,46,1,0.5789,1.032,0.1515,1.0436,3,2.1006,0.4551,29.75,28.02,29.99,27.86,0.0025,0,0
1,DONE_OK,,19,1,0.255,1.122,0.1688,0.5424,5,3.2101,0.0081,50.58,52.23,52.55,52.15,0.0178,0,0
2,DONE_OK,,50,1,0.6563,1.046,0.1556,0.0002,3,2.1333,-0.0061,51.77,44.57,57.42,41.99,0.0238,0,0
3,DONE_OK,,71,1,0.5007,0.877,0.1492,0.5146,3,1.8967,0.4747,54.87,47.99,56.78,48.02,0.0195,0,0
4,DONE_OK,,56,1,0.6201,1.004,0.1521,1.0069,3,2.0658,0.3055,40.37,39.04,41.33,38.19,0.0039,0,0
5,DONE_OK,,61,1,0.6149,0.974,0.1475,0.84,3,2.2191,0.2663,50.14,47.99,50.48,47.77,0.0023,0,0
6,DONE_OK,,43,1,0.4268,0.869,0.1551,0.4789,6,2.5877,0.233,55.72,55.47,59.52,55.38,0.0033,0,0
7,DONE_OK,,16,1,0.2154,1.124,0.1549,0.4762,5,3.2763,0.0104,50.37,51.49,51.6,51.3,0.025,0,0
8,DONE_OK,,33,1,0.3038,1.124,0.1565,0.1763,6,3.3703,0.1763,28.92,48.97,48.97,48.34,0.0015,0,0
9,DONE_OK,,30,1,0.3327,0.942,0.1706,0.8282,3,2.4161,0.5903,57.19,54.21,57.89,54.39,0.0025,0,0
10,DONE_OK,,42,1,0.5349,1.041,0.1574,0.5329,3,2.1768,0.275,42.98,42.51,44.35,40.28,0.0219,0,0
11,DONE_OK,,29,1,0.4003,1.073,0.1772,0.0493,3,2.5796,0.0132,71.37,62.32,77.64,58.87,0.0218,0,0
12,DONE_OK,,38,1,0.4022,0.93,0.1591,0.9371,3,2.4335,0.4615,58.82,59.21,59.21,59.17,0.0023,0,0
13,DONE_OK,,58,1,0.6247,1.006,0.1483,0.6243,3,2.0149,0.3626,39.69,39.42,40.91,38.33,0.0204,0,0
14,DONE_OK,,51,1,0.665,1.046,0.1457,0.5914,3,2.1404,0.0952,44.62,40.86,45.52,39.5,0.0227,0,0
15,DONE_OK,,31,1,0.4762,1.113,0.1739,0.311,3,2.4749,0.0106,67.1,67.58,79.03,67.21,0.0079,0,0
16,DONE_OK,,38,1,0.6259,1.092,0.163,-0.0003,1,3.4325,-0.0155,61.29,81.92,81.92,70.83,0.0741,0,0
17,DONE_OK,,21,1,0.2683,1.124,0.173,0.466,5,3.2865,0.0115,62.32,70.3,70.3,68.86,0.0292,0,0
18,DONE_OK,,50,1,0.5649,0.909,0.1578,0.6024,6,2.3427,0.388,48.23,51.49,53.06,51.47,0.0025,0,0
19,DONE_OK,,49,1,0.6861,1.048,0.1418,-0.0,3,1.9987,-0.0111,64.78,45.63,67.41,43.02,0.0226,0,0
20,DONE_OK,,47,1,0.5239,0.945,0.1566,0.8957,3,2.3462,0.4556,49.08,49.82,49.82,49.57,0.0046,0,0
21,DONE_OK,,53,1,0.6337,1.031,0.1476,0.5204,3,1.9883,0.3423,41.21,40.75,42.29,39.1,0.0214,0,0
22,DONE_OK,,51,1,0.6328,1.027,0.1479,0.3069,3,2.1211,0.1201,50.74,50.91,52.23,48.12,0.0222,0,0
23,DONE_OK,,56,1,0.6131,1.037,0.1462,0.4225,3,1.9874,0.0262,39.53,37.99,45.79,38.05,0.0015,0,0
24,DONE_OK,,10,1,0.1191,1.126,0.1393,0.1903,5,3.5622,0.0093,50.02,52.56,52.56,51.6,0.0126,0,0
25,DONE_OK,,45,1,0.5901,1.032,0.1468,0.8326,3,2.3944,0.1649,49.84,45.81,50.34,45.82,0.0029,0,0
26,DONE_OK,,36,1,0.4021,0.93,0.1698,0.9136,3,2.4304,0.4978,44.49,44.75,45.18,44.86,0.0026,0,0
27,DONE_OK,,18,1,0.2229,1.126,0.1423,0.4016,5,3.3509,0.0064,46.5,52.1,52.1,51.87,0.0123,0,0
28,DONE_OK,,15,1,0.1921,1.125,0.1661,0.339,5,3.4135,0.0128,65.45,70.17,70.17,68.76,0.0551,0,0
29,DONE_OK,,49,1,0.618,1.048,0.1513,-0.0057,3,2.1879,-0.0057,46.72,49.23,50.72,46.55,0.0235,0,0
30,DONE_OK,,16,1,0.1951,1.125,0.1507,0.5184,5,3.2341,0.1516,44.19,48.92,48.92,48.82,0.0021,0,0
31,DONE_OK,,40,1,0.4938,1.125,0.1725,1.1164,6,2.5707,0.0403,32.74,40.89,41.31,40.81,0.0021,0,0
32,DONE_FAIL,RETRACT,30,1,0.5528,1.072,0.1462,-0.0003,3,3.4426,-0.0071,77.69,86.16,86.16,85.26,0.1783,0,0
33,DONE_OK,,51,1,0.6091,1.001,0.1595,0.9099,3,2.2388,0.3549,36.1,30.27,39.03,30.52,0.0022,0,0
34,DONE_OK,,59,1,0.584,0.973,0.147,0.4326,3,1.9931,0.0191,55.17,53.21,61.09,52.21,0.035,0,0
35,DONE_OK,,18,1,0.2362,1.125,0.167,0.7245,5,3.028,0.2483,42.01,43.86,44.59,43.92,0.0022,0,0
36,DONE_OK,,55,1,0.6469,1.023,0.1439,0.6255,3,2.1127,0.1504,45.31,42.79,45.88,41.88,0.021,0,0
37,DONE_OK,,49,1,0.6129,1.022,0.1491,0.726,3,2.1544,0.3019,44.3,43.82,45.36,42.46,0.0208,0,0
38,DONE_OK,,30,1,0.3788,1.021,0.1614,0.9888,3,2.1779,0.6579,38.06,36.36,38.28,36.28,0.0026,0,0
39,DONE_OK,,35,1,0.4453,1.055,0.1611,1.0667,3,2.2813,0.4244,33.27,33.91,34.36,33.83,0.0026,0,0
40,DONE_OK,,13,1,0.1551,1.126,0.1392,0.2265,5,3.526,0.0073,45.82,49.74,49.74,48.97,0.0183,0,0
41,DONE_FAIL,RETRACT,141,1,0.4523,0.898,0.1557,0.4451,3,2.7953,-0.0127,77.56,88.38,89.99,86.54,0.001,0,0
42,DONE_OK,,37,1,0.4073,0.949,0.156,1.0063,3,2.3919,0.4684,56.01,55.73,56.51,55.68,0.0019,0,0
43,DONE_OK,,12,1,0.1137,1.122,0.1509,0.4461,5,3.3064,0.2972,33.69,39.81,39.81,39.3,0.0125,0,0
44,DONE_OK,,19,1,0.2509,1.124,0.1635,0.5295,5,3.223,0.0101,46.33,48.7,48.89,48.65,0.0192,0,0
45,DONE_OK,,31,1,0.5149,1.107,0.1721,0.2624,6,2.5047,0.013,75.43,77.44,84.97,76.66,0.0215,0,0
46,DONE_FAIL,TRANSPORT,300,1,0.6528,1.021,0.9754,-0.001,4,2.5406,-0.0428,71.21,34.91,89.71,nan,nan,0,0
47,DONE_OK,,44,1,0.5466,1.029,0.1513,1.0179,3,2.1566,0.4908,32.36,31.15,33.03,31.0,0.0024,0,0
48,DONE_OK,,40,1,0.4953,1.038,0.1549,0.8214,3,2.213,0.4001,43.41,42.02,44.29,41.92,0.0027,0,0
49,DONE_FAIL,TRANSPORT,300,1,0.7064,1.002,0.2743,0.3881,3,2.9547,-0.0014,70.14,56.51,89.23,nan,nan,0,0
50,DONE_FAIL,RETRACT,33,1,0.5858,1.056,0.1482,-0.001,1,3.4402,-0.0083,73.64,84.64,84.64,83.34,0.1701,0,0
51,DONE_OK,,38,1,0.5725,1.036,0.1463,0.2165,3,2.1832,0.0125,80.4,56.67,82.08,54.91,0.0258,0,0
52,DONE_OK,,33,1,0.3142,1.123,0.1571,0.0594,6,3.4161,0.0594,30.4,50.78,50.78,50.1,0.0023,0,0
53,DONE_OK,,38,1,0.4671,0.993,0.1579,0.8842,3,2.5619,0.2452,54.59,54.94,55.12,54.79,0.0028,0,0
54,DONE_OK,,54,1,0.5669,0.918,0.1534,0.675,3,2.1085,0.3337,43.25,45.59,47.09,45.79,0.002,0,0
55,DONE_OK,,42,1,0.4916,0.959,0.1662,1.0824,1,2.5789,0.3104,50.83,50.91,52.36,50.9,0.0023,0,0
56,DONE_OK,,15,1,0.1881,1.126,0.1423,0.3359,5,3.4166,0.0088,53.76,57.87,57.87,57.14,0.0281,0,0
57,DONE_OK,,9,1,0.1053,1.126,0.1363,0.1543,5,3.5982,0.0092,48.79,50.99,50.99,49.95,0.0173,0,0
58,DONE_OK,,46,1,0.572,1.052,0.1528,0.3886,3,2.2103,0.1379,45.21,49.13,50.07,45.9,0.0222,0,0
59,DONE_OK,,45,1,0.5649,1.038,0.1502,0.6926,3,2.0957,0.3585,43.22,41.69,44.0,40.18,0.0219,0,0
60,DONE_OK,,40,1,0.3602,1.119,0.1602,-0.0002,6,3.4884,-0.0035,23.19,46.26,46.26,45.61,0.004,0,0
61,DONE_OK,,45,1,0.6353,1.07,0.1612,-0.0008,3,2.7828,-0.0051,47.19,54.68,56.6,51.16,0.0257,0,0
