episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,132,carrygain_6.0
1,1,1,DONE_OK,151,carrygain_6.0
2,1,1,DONE_OK,99,carrygain_6.0
3,1,0,DONE_FAIL,300,carrygain_6.0
4,1,1,DONE_OK,89,carrygain_6.0
5,1,1,DONE_OK,89,carrygain_6.0
6,1,1,DONE_OK,110,carrygain_6.0
7,1,1,DONE_OK,110,carrygain_6.0
8,1,1,DONE_OK,103,carrygain_6.0
9,1,1,DONE_OK,86,carrygain_6.0
10,1,1,DONE_OK,137,carrygain_6.0
11,1,1,DONE_OK,108,carrygain_6.0
12,1,1,DONE_OK,138,carrygain_6.0
13,1,1,DONE_OK,103,carrygain_6.0
14,1,1,DONE_OK,106,carrygain_6.0
15,1,0,DONE_FAIL,300,carrygain_6.0
16,1,0,DONE_FAIL,300,carrygain_6.0
17,1,1,DONE_OK,89,carrygain_6.0
18,1,1,DONE_OK,126,carrygain_6.0
19,1,1,DONE_OK,110,carrygain_6.0
20,1,1,DONE_OK,202,carrygain_6.0
21,1,1,DONE_OK,79,carrygain_6.0
22,1,1,DONE_OK,126,carrygain_6.0
23,1,1,DONE_OK,51,carrygain_6.0
24,1,1,DONE_OK,133,carrygain_6.0
25,1,1,DONE_OK,97,carrygain_6.0
26,1,1,DONE_OK,107,carrygain_6.0
27,1,0,DONE_FAIL,300,carrygain_6.0
28,1,1,DONE_OK,210,carrygain_6.0
29,1,1,DONE_OK,130,carrygain_6.0
30,1,1,DONE_OK,162,carrygain_6.0
31,1,1,DONE_OK,98,carrygain_6.0
32,1,1,DONE_OK,147,carrygain_6.0
33,1,1,DONE_OK,95,carrygain_6.0
34,1,0,DONE_FAIL,300,carrygain_6.0
35,2,1,DONE_OK,120,carrygain_6.0
36,1,1,DONE_OK,115,carrygain_6.0
37,1,1,DONE_OK,135,carrygain_6.0
38,1,0,DONE_FAIL,300,carrygain_6.0
39,1,1,DONE_OK,94,carrygain_6.0
40,1,1,DONE_OK,134,carrygain_6.0
41,1,0,DONE_FAIL,300,carrygain_6.0
42,1,1,DONE_OK,83,carrygain_6.0
43,1,1,DONE_OK,90,carrygain_6.0
44,1,0,DONE_FAIL,300,carrygain_6.0
45,1,1,DONE_OK,90,carrygain_6.0
46,1,1,DONE_OK,110,carrygain_6.0
47,1,0,DONE_FAIL,300,carrygain_6.0
48,1,1,DONE_OK,125,carrygain_6.0
49,1,1,DONE_OK,121,carrygain_6.0
50,1,1,DONE_OK,156,carrygain_6.0
51,1,1,DONE_OK,95,carrygain_6.0
52,1,1,DONE_OK,199,carrygain_6.0
53,1,1,DONE_OK,140,carrygain_6.0
54,1,1,DONE_OK,121,carrygain_6.0
55,1,1,DONE_OK,126,carrygain_6.0
56,1,1,DONE_OK,136,carrygain_6.0
57,1,1,DONE_OK,113,carrygain_6.0
58,1,0,DONE_FAIL,300,carrygain_6.0
59,1,1,DONE_OK,111,carrygain_6.0
60,1,1,DONE_OK,137,carrygain_6.0
61,1,1,DONE_OK,88,carrygain_6.0
62,1,0,DONE_FAIL,300,carrygain_6.0
63,1,1,DONE_OK,115,carrygain_6.0
64,1,1,DONE_OK,122,carrygain_6.0
65,1,0,DONE_FAIL,300,carrygain_6.0
66,1,1,DONE_OK,79,carrygain_6.0
67,1,1,DONE_OK,123,carrygain_6.0
68,1,1,DONE_OK,130,carrygain_6.0
69,1,1,DONE_OK,158,carrygain_6.0
70,1,1,DONE_OK,92,carrygain_6.0
71,1,1,DONE_OK,131,carrygain_6.0
72,1,1,DONE_OK,123,carrygain_6.0
73,1,1,DONE_OK,106,carrygain_6.0
74,1,1,DONE_OK,115,carrygain_6.0
75,1,1,DONE_OK,127,carrygain_6.0
76,1,1,DONE_OK,171,carrygain_6.0
77,1,1,DONE_OK,106,carrygain_6.0
78,1,1,DONE_OK,139,carrygain_6.0
79,1,1,DONE_OK,73,carrygain_6.0
80,1,1,DONE_OK,88,carrygain_6.0
81,1,1,DONE_OK,97,carrygain_6.0
82,1,1,DONE_OK,77,carrygain_6.0
83,1,0,DONE_FAIL,300,carrygain_6.0
84,1,1,DONE_OK,119,carrygain_6.0
85,2,1,DONE_OK,91,carrygain_6.0
86,1,1,DONE_OK,97,carrygain_6.0
87,1,0,DONE_FAIL,300,carrygain_6.0
88,1,1,DONE_OK,101,carrygain_6.0
89,1,0,DONE_FAIL,146,carrygain_6.0
90,1,1,DONE_OK,87,carrygain_6.0
91,1,1,DONE_OK,69,carrygain_6.0
92,1,0,DONE_FAIL,300,carrygain_6.0
93,1,1,DONE_OK,81,carrygain_6.0
94,1,1,DONE_OK,128,carrygain_6.0
95,1,1,DONE_OK,101,carrygain_6.0
96,1,1,DONE_OK,97,carrygain_6.0
97,1,1,DONE_OK,104,carrygain_6.0
98,1,1,DONE_OK,100,carrygain_6.0
99,1,1,DONE_OK,109,carrygain_6.0
