label,policy,frac,seed,episode,reason,success,steps,released,handoff_d,R_custom,R_builtin,ctrl_returned_minus_custom,ctrl_builtin_mismatch_steps,ctrl_builtin_max_abs
linger,linger,1.0,0,0,transport_stall,0,127,0,0.4231,-30.4467,65.3167,0.0,0,0.0
linger,linger,1.0,0,1,transport_stall,0,175,0,0.5684,-32.3129,89.6027,0.0,0,0.0
linger,linger,1.0,0,2,transport_stall,0,185,0,0.6331,-33.4201,77.977,0.0,0,0.0
linger,linger,1.0,0,3,transport_stall,0,171,0,0.5976,-32.2513,80.0787,0.0,0,0.0
linger,linger,1.0,0,4,transport_stall,0,134,0,0.3882,-31.4248,68.9757,0.0,0,0.0
linger,linger,1.0,0,5,timeout_dropped,0,200,0,0.7663,-52.0,36.3117,0.0,0,0.0
linger,linger,1.0,0,6,transport_stall,0,128,0,0.3343,-31.3154,66.0924,0.0,0,0.0
linger,linger,1.0,0,7,timeout_held,0,200,0,0.7431,-34.982,89.2313,0.0,0,0.0
linger,linger,1.0,0,8,transport_stall,0,182,0,0.6879,-33.5001,92.8338,0.0,0,0.0
linger,linger,1.0,0,9,transport_stall,0,164,0,0.6069,-32.0676,83.7326,0.0,0,0.0
linger,linger,1.0,0,10,transport_stall,0,171,0,0.649,-32.4709,87.0379,0.0,0,0.0
linger,linger,1.0,0,11,timeout_held,0,200,0,0.7131,-35.0296,91.1571,0.0,0,0.0
linger,linger,1.0,0,12,transport_stall,0,155,0,0.5443,-31.1076,68.9782,0.0,0,0.0
linger,linger,1.0,0,13,transport_stall,0,131,0,0.3912,-31.1282,67.5156,0.0,0,0.0
linger,linger,1.0,0,14,transport_stall,0,191,0,0.6312,-34.351,89.1445,0.0,0,0.0
linger,linger,1.0,0,15,transport_stall,0,184,0,0.5982,-34.3464,94.3011,0.0,0,0.0
linger,linger,1.0,0,16,transport_stall,0,193,0,0.6954,-34.4062,84.6089,0.0,0,0.0
linger,linger,1.0,0,17,transport_stall,0,130,0,0.3357,-31.5157,67.3692,0.0,0,0.0
linger,linger,1.0,0,18,transport_stall,0,194,0,0.6745,-34.3064,98.6728,0.0,0,0.0
linger,linger,1.0,0,19,timeout_dropped,0,200,0,0.6744,-28.2331,22.597,0.0,0,0.0
