label,policy,frac,seed,episode,reason,success,steps,released,handoff_d,R_custom,R_builtin,ctrl_returned_minus_custom,ctrl_builtin_mismatch_steps,ctrl_builtin_max_abs
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,0,transport_stall,0,59,0,0.1521,-26.4248,30.6864,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,1,transport_stall,0,54,0,0.1441,-25.5352,26.8052,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,2,transport_stall,0,56,0,0.1482,-26.149,29.0682,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,3,success,1,18,1,0.1768,148.7469,10.0727,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,4,timeout_dropped,0,200,0,0.233,-43.1717,17.7371,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,5,transport_stall,0,63,0,0.2094,-26.0985,32.0651,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,6,success,1,5,1,0.1035,149.6573,2.91,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,7,timeout_dropped,0,200,0,0.2348,-35.1161,15.1836,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,8,transport_stall,0,56,0,0.1388,-26.0227,29.4954,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,9,transport_stall,0,58,0,0.1575,-26.2384,30.2829,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,10,transport_stall,0,56,0,0.1897,-25.5907,28.4443,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,11,transport_stall,0,61,0,0.2037,-25.8955,31.326,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,12,success,1,11,1,0.1362,149.1806,6.4237,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,13,transport_stall,0,56,0,0.1714,-25.714,28.6399,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,14,timeout_dropped,0,200,0,0.3291,-57.9063,12.5368,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,15,transport_stall,0,63,0,0.1811,-26.2986,32.5284,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,16,transport_stall,0,64,0,0.1949,-26.3475,30.9111,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,17,transport_stall,0,66,0,0.213,-26.5552,33.7628,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,18,transport_stall,0,66,0,0.2026,-26.6806,33.9464,0.0,0,0.0
collapsed,actor:../checkpoints/td3_place_cerealscratch_s2,0.3,1,19,transport_stall,0,86,0,0.2756,-35.5267,34.9002,0.0,0,0.0
