label,policy,frac,seed,episode,reason,success,steps,released,handoff_d,R_custom,R_builtin,ctrl_returned_minus_custom,ctrl_builtin_mismatch_steps,ctrl_builtin_max_abs
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,0,success,1,63,1,0.4231,146.4928,32.6776,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,1,success,1,103,1,0.5684,145.1617,52.6096,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,2,success,1,135,1,0.6331,142.1276,68.1352,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,3,success,1,111,1,0.5976,144.0325,56.3564,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,4,success,1,64,1,0.3882,145.9724,32.861,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,5,success,1,118,1,0.7663,145.0444,56.3331,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,6,success,1,53,1,0.3343,146.7301,27.6021,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,7,success,1,121,1,0.7431,143.6749,61.4506,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,8,success,1,143,1,0.6879,141.672,72.4787,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,9,success,1,130,1,0.6069,142.2004,66.5379,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,10,success,1,106,1,0.649,144.7411,54.0857,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,11,success,1,113,1,0.7131,144.2407,57.4619,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,12,success,1,107,1,0.5443,143.8175,54.8567,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,13,success,1,55,1,0.3912,147.0198,28.1371,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,14,success,1,94,1,0.6312,145.5264,47.9783,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,15,success,1,97,1,0.5982,145.0942,49.3429,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,16,success,1,108,1,0.6954,144.7496,54.243,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,17,transport_stall,0,117,0,0.3357,-31.7734,59.9527,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,18,success,1,103,1,0.6745,144.911,52.5867,0.0,0,0.0
good,actor:../checkpoints/td3_place_cerealscratch_s2/best,1.0,0,19,success,1,138,1,0.6744,142.7739,69.5027,0.0,0,0.0
