episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z
0,success,1,1,25,-60.81386805817755,-42.66732976554986,-103.4811978237274,0.001295770676122941,-0.0015870264728355815,0.021423458291177394,0.0020488227523583025,0.9681506772005865
1,success,1,1,86,-30.02435738959639,-74.18924221339137,-104.21359960298776,0.015467586942191325,0.00500634706925356,0.007868538231362951,0.016257606121199742,1.0054501531658655
2,success,1,1,13,11.128784972021322,11.995430231547656,-156.87578479643102,-0.013004799108901566,0.0007318265699879387,-0.005670912597683179,0.013025374082590767,1.0405758202953819
3,success,1,3,81,72.36896333658419,-50.04134660531132,-157.67238326872715,-0.0036434185157995453,0.00998566609924605,0.003726500698575783,0.010629582584791502,1.0050225441351495
4,success,1,1,49,21.07428611175234,-16.430976721760768,-175.35669061000843,-0.005591924480669022,0.008121221050033284,0.005510812991841893,0.009860215552461783,0.8729148849820444
5,success,1,4,58,-80.93406332730673,-27.358082301538772,-108.2921456288455,0.0017551515710291896,0.0010587059562210109,0.007423221103970435,0.002049735431470139,1.0224342665027506
6,transport_stall,0,1,58,9.719246726662425,-27.183608362893292,162.53563836376915,-0.00998715424150878,-0.00029630027760270384,0.0005381425029344791,0.00999154861361312,0.8733221354126739
7,success,1,2,76,-2.1762510245848756,-58.54851892430028,-60.72476994888516,0.0022249357434658158,-0.0018624646681771025,0.009919339626762015,0.0029015709025904963,0.9995206124266431
8,transport_stall,0,1,118,82.78880286117736,6.372149278709519,-90.83904786011311,0.009019075940492031,0.001195824754488404,0.00554260453204288,0.00909800679620594,1.0017476474284586
9,success,1,1,22,-26.92105767519709,11.847128949982588,164.92607127478553,0.009712369032370344,0.0013157783497664965,0.011919429023680258,0.009801091004916785,0.9258244520032458
10,timeout_dropped,0,1,300,15.783349244921776,-8.204799586447566,7.578549658474209,0.025720284244331947,-0.005836665381385725,0.017678812686342135,0.026374223863148975,1.0023283322126115
11,success,1,1,85,-18.957287478987656,-24.86103702816924,-43.818324507156895,-0.013949647362012792,-0.012927001615823335,-0.003233660086363101,0.019018412980583044,1.0861404146514428
12,success,1,1,75,22.763629278217604,-47.04884444512149,155.7147848330961,0.004373995594393153,0.003350409591601812,0.001571273340706472,0.005509726117627639,1.0236255032118713
13,success,1,2,89,-60.30847148831273,-60.72376317389548,-121.03223466220821,0.013245841475525794,-0.006632291742029299,0.007323063222186808,0.014813494190978351,0.9957359734081075
14,success,1,1,90,13.57091249360434,-49.928691805693155,143.64222068791116,0.008906309578388921,0.004038007874845167,0.000864111712934362,0.009778949734169505,1.0051038736912172
15,success,1,1,73,-76.96579297739756,-49.76400086697508,-126.72979384437264,8.193579393253082e-05,0.0033954577195391125,0.006548719261356144,0.0033964461720311576,0.9817992419296275
16,success,1,1,78,15.982439261040716,-40.92731033174599,155.05512892929474,0.0022052319863719687,0.0007483874128407873,0.00779836284835656,0.002328761867047935,0.9977516168498997
17,success,1,1,14,-1.0416631960656466,36.130178189944964,-144.9114850061207,0.010788484329969462,0.0019037622660840322,0.0011211545943502809,0.010955167954155794,0.9327051526310802
18,success,1,1,82,67.09205900848868,-24.329243376219893,42.762815632268776,-0.011417468967719667,-0.01073742557345577,0.0008446144393125729,0.01567325446658554,1.0051238034667977
19,timeout_dropped,0,2,300,78.57856335064999,-13.702730062952595,64.87583328769738,-0.01650553173467061,0.0022601603559257626,0.01672417358146177,0.01665955889808362,0.9330161587495148
20,success,1,2,76,55.59488442653539,-34.779513805629385,-159.18462937909402,-0.020568656176391194,0.003005806181083802,-0.00549147288778708,0.020787123122280225,0.9773692582769534
21,success,1,1,57,17.751468501507336,-38.99108387921003,158.76038462229732,0.009625902444847415,0.0011580183200347548,0.0004984027026257833,0.009695308365764111,1.00217479233204
22,success,1,1,53,3.277023225061631,10.83884087242098,-165.8841359025174,0.005509909566840151,-0.0016902738785224119,-0.0019010488532016504,0.005763343579830359,1.0661245887981692
23,success,1,1,66,-51.18653148493558,-49.89943703995682,78.91403147510759,-0.01709778911298743,0.001652451275329263,0.007901938635499772,0.017177455800249604,1.0027758241533344
24,success,1,1,54,37.5142008698915,-35.663759927064305,-178.1495590571728,-0.014842088530562838,0.008256871324790246,0.003825928353266214,0.016984213729908382,0.9335387719383283
25,transport_stall,0,1,59,-1.6738848857183863,-16.75407775326391,-18.42796263898229,0.012111349998596624,-0.007678617822119859,0.013222086130926018,0.014340361587027126,0.9315009220239954
26,success,1,1,56,12.962465323558295,-35.033839620845306,157.928625702713,-0.00205905685601653,0.0007860235099293037,0.0025589581341317284,0.0022039845948804314,0.9998048071650575
27,timeout_dropped,0,1,300,54.5963983026071,-40.22002823369252,-165.62362993108542,-0.008717355669824668,0.0028884026467203873,0.0265976399001536,0.009183417649426907,0.9888101417632269
28,success,1,1,42,21.369249541614852,-12.719339486373379,-171.35008994475854,0.009757772298216514,0.001834347719212884,0.00252230735360989,0.009928693357074893,0.9489040311759149
29,success,1,1,87,-68.48844883111752,-57.45520562002154,-125.94365445113905,0.009535968776079559,0.0009102067261225488,0.001429515976464988,0.00957930982809529,1.0021613740892124
30,success,1,1,58,-1.0687223524407448,-30.66307149613155,148.26820615142768,-0.003214114549164674,0.003747077789062959,-0.002869165284627319,0.004936711890767071,0.9951956777074807
31,success,1,4,35,-34.89981839393069,-25.936572776842286,119.16360882922703,-0.023834013604847937,-0.0013457121585697441,0.0016379097092225287,0.023871974064366756,0.9358449249637955
32,success,1,1,59,87.97998447580193,-6.7358752447584465,81.24410923104348,-0.010772648646403607,0.002622280275259209,0.007180475851670495,0.011087213928705217,0.9872680678916781
