episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z
0,success,1,1,88,-31.659979222978304,-56.843482778997945,-88.50346200197625,0.013454049296672542,-0.0025414582481752147,0.013241512027888858,0.01369198497313347,0.9817815090607966
1,success,1,1,66,2.25946131026585,-29.727801921693572,152.53165938857228,0.005184195891138251,0.001966970087011781,0.0016756098609286602,0.005544804627838014,0.94538808503805
2,success,1,1,54,29.72399562396252,-26.3718960275665,3.3520995963960107,0.020319694524970323,-0.005686527921872536,0.015904660053588746,0.02110039301516313,1.00040140322237
3,success,1,1,24,-0.069048357739526,42.51153724690995,42.44248888917043,0.0021838786574947472,2.4097342576469887e-05,-0.0004910242428296796,0.0021840116008346446,1.0506391674310611
4,success,1,1,45,-5.634182448895208,14.346419382905411,8.712236934010203,0.003108599766025629,0.0024385380065072263,0.0033833516467536686,0.003950931550218863,0.9768981442806822
5,success,1,1,40,-79.72337503834349,-27.511354090994697,72.76527087066182,0.0003474404856600704,0.0035268973820086445,0.014498455272842572,0.0035439695306668673,0.960744461456851
6,success,1,1,70,0.6086726961761985,-40.661357423153795,139.94731527302238,-0.015740844046833232,0.0015156787741352745,0.007388655195211072,0.01581364769599631,0.9945082064037474
7,success,1,2,66,10.152454882175759,-28.69933593155163,161.45311895062412,0.012427919057451716,-0.0004114812862016209,0.00199283705213476,0.012434729146526099,0.9374751867653579
8,timeout_dropped,0,2,300,-89.99782861879353,-30.54240501212817,-120.5402336309217,-0.014303190390461157,-0.002204021249712958,0.023323720812878992,0.014472006253970686,0.8853738898998781
9,timeout_dropped,0,1,300,45.756698401809444,-21.74385359166028,-155.98715518985082,-0.025744819945396322,0.002899843833000416,-0.010551223595695665,0.025907621432247827,0.9965999768492991
10,success,1,1,80,-79.17455614906152,-50.01773546294696,-129.19229161200846,-0.0048575086081769775,0.006255100693365371,-0.0012221992493775253,0.0079197016713165,0.981485817055072
11,success,1,2,74,23.313864641516595,-50.81791318144728,152.49595146006934,-0.0010503908094810052,0.0029612172795525664,0.007705093882506394,0.0031419943713130462,0.9826270410551021
12,success,1,3,39,-4.841970146391169,-27.918895788715542,-32.76086593510671,0.018546713977232652,-0.0008329863204259065,0.005661408715628667,0.018565410460404417,0.9361848749035351
13,transport_stall,0,1,60,49.96710098152928,-17.24940513133043,-147.28230414980115,0.0036374270578767376,-0.005177382970687688,0.002549018915857416,0.0063274141658769805,1.041707329522291
14,transport_stall,0,1,75,66.76470273348282,4.046664692358188,70.81136742584101,-0.0010649289257170665,-0.001267017156949261,0.010586440891894698,0.001655115129781821,1.0193530551102965
15,transport_stall,0,1,83,87.96479793751006,-20.50984001476161,67.45495792274842,-0.002126263816126126,-0.00685647676115209,0.009317676281303408,0.007178598149498681,1.0039845535241019
16,success,1,1,51,-78.47944778880482,9.180290087681605,110.70084229887678,-0.0025833088173393024,0.000971711916968679,0.007175375470157471,0.002760019654879641,0.952188688491247
17,timeout_dropped,0,2,300,88.69975356682298,-29.743058205661452,-121.04330463883846,-0.019436404080995107,-0.0029504472661828016,0.013303840624193737,0.019659067695855997,0.894296849760508
18,timeout_dropped,0,1,300,0.4345539255942979,-14.836374516095049,-14.401820590500746,0.02062384712487468,-0.008131816881146357,0.018521467670508843,0.022169111755293635,1.0582072799804862
19,success,1,2,71,-31.6089624726442,16.34456666889601,164.73560419625178,-0.010464572842438591,0.0008392508463690549,0.016048537958081702,0.01049817254372562,0.9526967519724757
20,success,1,1,74,48.78898121379654,-44.3973352139936,-175.60835400019707,-0.0009570983680656186,-0.0005807703383864105,0.006488022352241285,0.0011195228769897184,0.9728331226952545
21,success,1,3,65,-4.2241952707704185,24.999873649974464,20.775678379204045,-0.013446119239395642,9.807878366723346e-06,0.004100673111951906,0.013446122816430157,1.0811086390487792
22,success,1,2,69,2.6416183978841588,-20.74526303327341,161.89635536461074,0.0028367626558075945,0.0017331340628648228,0.002281609190195251,0.003324300835551272,0.95902442574875
23,success,1,1,84,16.182851386088792,-49.14669324015974,-32.96384185407096,-0.0005465398350206507,0.0007907132349412405,0.005717882220784357,0.0009612144459878043,0.954647601747731
24,success,1,2,15,18.45265658631955,3.06362831457665,-158.4837150991038,0.003959046012277303,0.003436542013766814,0.007219796197714231,0.0052425057310138716,0.9122778694410759
