episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z,eef_x,eef_y,eef_z,grip_w,j0,j1,j2,j3,j4,j5,j6
0,success,1,1,43,-56.3501486584634,-32.76393930661819,-89.1140879650816,-0.021198158227964524,0.001112272101151818,-0.0027383371965549455,0.021227318754021212,1.0285535383378983,0.0966863338257645,-0.2618788786185386,1.0382183971230685,0.04886121058459157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,transport_stall,0,1,91,-31.441219761887155,-21.430285631021764,127.12849460709107,-0.006467481941666945,-0.004983543801880458,0.00929606596994259,0.00816480443679144,1.0376974142537334,0.05999775706656043,-0.5707157995178495,1.0487172519742975,0.04172312690330618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,1,1,47,0.16933306787183935,-4.9369529844316835,-4.767619916559843,-0.005885519856174042,-0.0010249181983538822,0.0022099331074888215,0.005974094181609115,0.9563676185079524,0.11436786427105919,-0.1929682320078266,0.9614035943817805,0.039979917114106575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,success,1,1,32,9.404683000865498,-4.130663740536734,5.274019260328768,-0.021341446015656067,0.0017274764324982613,0.013351208198114976,0.021411246877844344,0.9535226325131251,-0.022282989818831176,-0.10076988839141918,0.972939784934044,0.039430799892308424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,transport_stall,0,2,82,33.89349336353157,-0.9921498234535036,32.90134354007808,-0.0037680645177470265,-0.004894450008739658,0.003704185541407974,0.006176888464101952,1.0289917595605527,0.11063818209352891,-0.3490432752196803,1.035925007513072,0.045948933810312294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,success,1,1,75,-29.897995143608515,-24.03639340665655,126.0656114497349,-0.024141993351284162,-0.000698333289639311,-0.011272022727394835,0.024152091262598093,0.9776361728100368,0.18751277612264072,-0.315612198376737,0.98764079699142,0.034697469417575906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,timeout_dropped,0,1,300,42.43444321720763,15.469326601863349,57.90376981907097,-0.03312915461142792,0.003438611242213494,0.003454712278855271,0.033307130355870844,0.981542706922162,-0.03405373322688066,-0.10361142316792318,0.9945580732135894,0.018466922092705465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,transport_stall,0,1,274,-19.86876093618779,-26.25029845501338,133.88094060879885,-0.0029276260240356155,-0.002409517005734211,0.0025745998092195025,0.003791670652566352,1.1019253039487875,0.13492584775473287,-0.43749383948197207,1.1062288614461566,0.04119235202222566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,success,1,1,45,13.97380136227542,7.755092415277254,21.728893777552678,0.002618074419274671,-0.00099872375994587,0.0004682943545191229,0.0028020997151316407,1.0393064506099228,0.18646778473058256,-0.2428200755425769,1.0387931558410977,0.059287175179482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,success,1,1,84,-23.233369080461742,-85.8512196706189,-109.08458875108064,-0.01180291507792354,-0.00416950065571344,0.002210449996652597,0.01251772902944738,1.0170455585680631,0.274105698506082,-0.2698348842419748,1.0237059809734468,0.052429413261731304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
