act_all,act_tail,attempts,d_end,d_min,d_progress,d_start,episode,frac_grasped,grasped_end,max_run_near,n_near,net_tail,path_tail,phase,steps,success,tag,tr_steps,z_end,z_min
1.069143045693636,1.0532863783836364,1,0.1657620221376419,0.1657620221376419,0.3495418280363083,0.5153038501739502,0,1.0,1,3,3,0.3127683699131012,0.35702750086784363,DONE_OK,136,1,fp32_rand,64,1.1404578685760498,1.1396996974945068
1.1153639921775231,1.1153639921775231,1,0.1645159125328064,0.1645159125328064,0.3061877489089966,0.470703661441803,1,1.0,1,3,3,0.4844329357147217,0.4994354546070099,DONE_OK,71,1,fp32_rand,39,1.321016550064087,1.0026419162750244
0.9842345515886942,0.9527048313617706,1,0.15985138714313507,0.15985138714313507,0.4724986404180527,0.6323500275611877,2,1.0,1,3,3,0.47522756457328796,0.5789191722869873,DONE_OK,127,1,fp32_rand,63,1.232650876045227,0.9723097681999207
1.124666659037272,1.124666659037272,1,0.1632501184940338,0.1632501184940338,0.14018836617469788,0.3034384846687317,3,1.0,1,3,3,0.1564490646123886,0.15807542204856873,DONE_OK,84,1,fp32_rand,15,1.1648119688034058,1.0973715782165527
1.125718567106459,1.125718567106459,1,0.15049561858177185,0.15049561858177185,0.08175420761108398,0.23224982619285583,4,1.0,1,3,3,0.1046188622713089,0.10507489740848541,DONE_OK,83,1,fp32_rand,9,1.1214399337768555,1.0640422105789185
0.8597856457271273,0.7915537619590759,1,0.16004730761051178,0.16004730761051178,0.5275615304708481,0.6876088380813599,5,1.0,1,3,3,0.4701557159423828,0.5279265642166138,DONE_OK,131,1,fp32_rand,63,1.472024917602539,1.182631492614746
1.10358577867349,1.1199490022659302,1,0.8768057227134705,0.616719663143158,0.0605204701423645,0.6772401332855225,6,0.9933333333333333,1,0,0,0.05835593491792679,0.05895174667239189,DONE_FAIL,300,0,fp32_rand,300,1.4849355220794678,0.8987271785736084
1.1202251269267156,1.1202251269267156,1,0.16350911557674408,0.16350911557674408,0.09509746730327606,0.25860658288002014,7,1.0,1,3,3,0.12368293851613998,0.12501119077205658,DONE_FAIL,93,0,fp32_rand,13,1.049330234527588,1.0059680938720703
1.1257757107416788,1.1257757107416788,1,0.14975744485855103,0.14975744485855103,0.1556733250617981,0.3054307699203491,8,1.0,1,3,3,0.17760220170021057,0.17940813302993774,DONE_OK,88,1,fp32_rand,15,1.1493788957595825,1.0664399862289429
0.9546095033486685,0.9546095033486685,1,0.16275179386138916,0.16275179386138916,0.2717408239841461,0.4344926178455353,9,1.0,1,3,3,0.44525933265686035,0.47251611948013306,DONE_OK,108,1,fp32_rand,42,1.4026745557785034,1.1119076013565063
1.0151844872878149,1.011360032558441,1,0.15965470671653748,0.15965470671653748,0.46537503600120544,0.6250297427177429,10,1.0,1,3,3,0.46342313289642334,0.6179769039154053,DONE_OK,120,1,fp32_rand,52,1.081160545349121,1.0062347650527954
1.0048718531926473,1.0048718531926473,1,0.15479202568531036,0.15479202568531036,0.16545020043849945,0.3202422261238098,11,1.0,1,3,3,0.271902859210968,0.3302142024040222,DONE_OK,90,1,fp32_rand,30,1.0976738929748535,0.9773672223091125
0.956755659159492,0.956755659159492,1,0.15483780205249786,0.15483780205249786,0.24209676682949066,0.3969345688819885,12,1.0,1,3,3,0.30623263120651245,0.36823415756225586,DONE_OK,93,1,fp32_rand,34,1.1982656717300415,1.0753062963485718
1.1258241136868794,1.1258241136868794,1,0.15284371376037598,0.15284371376037598,0.12067055702209473,0.2735142707824707,13,1.0,1,3,3,0.15022245049476624,0.15068984031677246,DONE_OK,91,1,fp32_rand,12,1.2567898035049438,1.1724005937576294
0.902784322608601,0.8810754239559173,1,0.16347281634807587,0.16347281634807587,0.41667498648166656,0.5801478028297424,14,1.0,1,3,3,0.5171040296554565,0.5580170154571533,DONE_OK,119,1,fp32_rand,55,1.373238205909729,1.049176812171936
