act_all,act_tail,attempts,d_end,d_min,d_progress,d_start,episode,frac_grasped,grasped_end,max_run_near,n_near,net_tail,path_tail,phase,steps,success,tag,tr_steps,z_end,z_min
1.1170374155044556,1.1170374155044556,1,0.1619706153869629,0.1619706153869629,0.13744929432868958,0.29941990971565247,0,1.0,1,3,3,0.14270541071891785,0.1470956802368164,DONE_OK,86,1,int8_rand,16,1.128974199295044,1.1008249521255493
1.1170374155044556,1.1170374155044556,1,0.16774429380893707,0.16774429380893707,0.18453975021839142,0.3522840440273285,1,1.0,1,3,3,0.22939860820770264,0.2330004870891571,DONE_OK,91,1,int8_rand,22,1.0832189321517944,0.984933078289032
1.0401524037122727,1.0401524037122727,1,0.16654278337955475,0.16654278337955475,0.29581139981746674,0.4623541831970215,2,1.0,1,3,3,0.38965684175491333,0.42983242869377136,DONE_OK,95,1,int8_rand,40,1.1740367412567139,1.1130316257476807
0.7070060594876607,0.6675561666488647,1,0.22582213580608368,0.1910586953163147,0.2952048182487488,0.4862635135650635,3,0.07666666666666666,0,0,0,4.3858715798705816e-05,0.001994140911847353,DONE_FAIL,300,0,int8_rand,300,0.8433325886726379,0.8432475924491882
0.7490155278808541,0.5870858973264694,1,0.1784754991531372,0.1784754991531372,0.09449806809425354,0.27297356724739075,4,1.0,1,3,3,0.257728636264801,0.38520872592926025,DONE_FAIL,124,0,int8_rand,72,1.3611526489257812,1.1533757448196411
0.8583526577268328,0.7554579472541809,1,0.16279052197933197,0.16279052197933197,0.5317417532205582,0.6945322751998901,5,1.0,1,3,3,0.44062569737434387,0.501982569694519,DONE_OK,136,1,int8_rand,70,1.3589229583740234,1.113515853881836
0.8785083801658066,0.8613004899024963,1,0.15802618861198425,0.15802618861198425,0.45751550793647766,0.6155416965484619,6,1.0,1,3,3,0.48086386919021606,0.5282207131385803,DONE_OK,118,1,int8_rand,54,1.2276103496551514,0.9872169494628906
0.8564435705332689,0.7897100663185119,1,0.16189295053482056,0.16189295053482056,0.3975653648376465,0.559458315372467,7,1.0,1,3,3,0.46525827050209045,0.4907042384147644,DONE_OK,139,1,int8_rand,71,1.5320658683776855,1.101293683052063
0.8967509686946868,0.8086363899707795,1,0.16442231833934784,0.16442231833934784,0.4209669381380081,0.585389256477356,8,1.0,1,3,3,0.44480037689208984,0.493181437253952,DONE_OK,106,1,int8_rand,70,1.583914875984192,1.151392936706543
0.9947645014791346,0.9531917107105256,1,0.17769843339920044,0.17769843339920044,0.3519511818885803,0.5296496152877808,9,1.0,1,3,3,0.4168151021003723,0.5320399403572083,DONE_OK,115,1,int8_rand,67,1.323809027671814,1.155003547668457
1.1170374155044556,1.1170374155044556,1,0.14655259251594543,0.14655259251594543,0.05130736529827118,0.1978599578142166,10,1.0,1,3,3,0.0638427883386612,0.06443621218204498,DONE_OK,36,1,int8_rand,6,1.1373127698898315,1.1009271144866943
1.1170374155044556,1.1170374155044556,1,0.15773677825927734,0.15773677825927734,0.15875154733657837,0.3164883255958557,11,1.0,1,3,3,0.17170634865760803,0.1734197586774826,DONE_OK,83,1,int8_rand,14,1.3335068225860596,1.2795653343200684
1.1170374155044556,1.1170374155044556,1,0.1530686914920807,0.1530686914920807,0.04810112714767456,0.20116981863975525,12,1.0,1,3,3,0.06428927183151245,0.06456469744443893,DONE_OK,84,1,int8_rand,6,1.2246088981628418,1.185263752937317
1.0671544432640077,1.0671544432640077,1,0.1581057608127594,0.1581057608127594,0.07511207461357117,0.23321783542633057,13,1.0,1,3,3,0.12467673420906067,0.12809893488883972,DONE_OK,88,1,int8_rand,10,1.1781394481658936,1.1173855066299438
0.9242258565766471,0.9242258565766471,1,0.1701347380876541,0.1701347380876541,0.0505659282207489,0.22070066630840302,14,1.0,1,3,3,0.3785296082496643,0.40006223320961,DONE_OK,103,1,int8_rand,35,1.396909236907959,1.100139856338501
0.8614528839077268,0.8394195687770843,1,0.1674201935529709,0.1674201935529709,0.3411376029253006,0.5085577964782715,15,1.0,1,3,3,0.46935299038887024,0.5227426886558533,DONE_OK,122,1,int8_rand,56,1.2253960371017456,0.9637725949287415
1.1170374155044556,1.1170374155044556,1,0.15757881104946136,0.15757881104946136,0.14480625092983246,0.3023850619792938,16,1.0,1,3,3,0.20517493784427643,0.2055293768644333,DONE_OK,87,1,int8_rand,16,1.2658933401107788,1.1618144512176514
1.1170374155044556,1.1170374155044556,1,0.16401560604572296,0.16401560604572296,0.0732635110616684,0.23727911710739136,17,1.0,1,3,3,0.12313587963581085,0.12342438846826553,DONE_OK,86,1,int8_rand,10,1.13521146774292,1.069569706916809
0.5478657717506091,0.18263304352760315,2,0.09923259913921356,0.09790734201669693,0.3883451446890831,0.48625248670578003,18,0.14666666666666667,0,254,254,9.979632159229368e-05,9.980485629057512e-05,DONE_FAIL,300,0,int8_rand,300,0.8561761975288391,0.8561761975288391
1.02392914030287,1.02392914030287,2,0.15501350164413452,0.15501350164413452,0.42719197273254395,0.5822054743766785,19,1.0,1,3,3,0.5355559587478638,0.5523080825805664,DONE_OK,95,1,int8_rand,45,1.1729965209960938,0.8908133506774902
1.1157285571098328,1.1157285571098328,1,0.16772091388702393,0.16772091388702393,0.08625072240829468,0.2539716362953186,20,1.0,1,3,3,0.22527046501636505,0.22737225890159607,DONE_OK,83,1,int8_rand,20,1.183030605316162,1.0324416160583496
1.1170374155044556,1.1170374155044556,1,0.14435184001922607,0.14435184001922607,0.06614348292350769,0.21049532294273376,21,1.0,1,3,3,0.07492757588624954,0.07595133036375046,DONE_OK,53,1,int8_rand,7,1.2832611799240112,1.2480885982513428
1.1170374155044556,1.1170374155044556,1,0.15539607405662537,0.15539607405662537,0.12507948279380798,0.28047555685043335,22,1.0,1,3,3,0.15169453620910645,0.15427538752555847,DONE_OK,53,1,int8_rand,13,1.2053321599960327,1.1356167793273926
1.1091964811575217,1.1074714756011963,1,0.1753256469964981,0.1753256469964981,0.2637133449316025,0.4390389919281006,23,1.0,1,3,3,0.1669839769601822,0.18964505195617676,DONE_OK,107,1,int8_rand,61,1.031092882156372,0.9997183680534363
1.1170374155044556,1.1170374155044556,1,0.15954841673374176,0.15954841673374176,0.23543144762516022,0.394979864358902,24,1.0,1,3,3,0.2611891031265259,0.264706015586853,DONE_OK,92,1,int8_rand,23,1.1931599378585815,1.102479338645935
1.005806660877084,0.9991328155994416,1,0.173593670129776,0.173593670129776,0.24436277151107788,0.4179564416408539,25,1.0,1,3,3,0.5037100911140442,0.5967265367507935,DONE_OK,100,1,int8_rand,53,1.3940507173538208,1.0911756753921509
0.8012957096099853,0.7906847560405731,1,0.15847285091876984,0.15847285091876984,0.45265667140483856,0.6111295223236084,26,1.0,1,3,3,0.4357621967792511,0.4921017289161682,DONE_OK,120,1,int8_rand,55,1.1222676038742065,0.9683388471603394
1.1167125039630466,1.1167125039630466,1,0.15713098645210266,0.15713098645210266,0.08116394281387329,0.23829492926597595,27,1.0,1,3,3,0.10699759423732758,0.10728022456169128,DONE_OK,34,1,int8_rand,9,1.193915605545044,1.125694751739502
