episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.8848,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
1,1,0,0,1.1216,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,0,0.05,DONE_FAIL,456,,1,0,0,,0.0,0.0,0.0
3,1,0,0,0.9813,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.8862,DONE_OK,87,,0,0,0,,0.0,0.0,0.0
5,1,1,1,0.8707,DONE_OK,227,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8899,DONE_OK,218,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.876,DONE_OK,67,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8714,DONE_OK,228,,0,0,0,,0.0,0.0,0.0
9,1,0,0,1.0285,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.8959,DONE_OK,152,,0,0,0,,0.0,0.0,0.0
11,1,0,0,1.1194,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,1.0413,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,0,0,1.2907,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
14,1,0,0,1.4181,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,0,0,0.8935,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.8972,DONE_OK,131,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8978,DONE_OK,147,,0,0,0,,0.0,0.0,0.0
18,1,0,0,1.276,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.8922,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
20,1,1,1,0.8907,DONE_OK,193,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.8798,DONE_OK,51,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.8902,DONE_OK,217,,0,0,0,,0.0,0.0,0.0
23,1,0,0,0.9709,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8959,DONE_OK,184,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.8843,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
26,1,0,0,0.9468,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
27,1,0,0,0.9123,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,0,0,1.0315,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
29,1,0,0,0.9496,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.8961,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
31,1,0,0,1.1926,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.8966,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
33,1,0,0,1.5373,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8304,DONE_OK,191,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8969,DONE_OK,180,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.896,DONE_OK,121,,0,0,0,,0.0,0.0,0.0
37,1,0,1,0.91,DONE_FAIL,128,,0,0,0,,0.0,0.0,0.0
38,1,0,0,0.8962,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,0,0,1.1583,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
40,1,0,0,0.8693,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.8837,DONE_OK,204,,0,0,0,,0.0,0.0,0.0
42,1,0,0,0.9086,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,0,0.9195,DONE_FAIL,426,,1,0,0,,0.0,0.0,0.0
44,1,0,0,0.9798,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,1,1,0.8908,DONE_OK,136,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8701,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.8867,DONE_OK,171,,0,0,0,,0.0,0.0,0.0
48,1,0,0,0.8919,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,1,1,0.8788,DONE_OK,203,,0,0,0,,0.0,0.0,0.0
