episode,align_deg,lifted,dropped
0,38.52,1,1
1,-17.85,1,1
2,-17.26,1,0
3,9.03,1,1
4,18.42,1,0
5,-3.19,1,1
6,29.21,1,0
7,9.19,1,1
8,-34.02,1,1
9,42.75,1,1
10,-2.44,1,1
11,-32.11,1,1
12,18.98,1,1
13,-28.33,1,1
14,2.8,1,0
15,4.7,1,1
16,6.13,1,1
17,-6.76,1,1
18,-1.1,1,1
19,-42.89,1,1
20,44.47,1,1
21,9.31,1,0
22,-2.61,1,1
23,43.05,1,0
24,-14.24,1,1
25,23.15,1,0
26,0.05,1,1
27,-2.73,1,1
28,30.86,1,1
29,-14.48,1,1
30,39.22,1,1
31,36.87,1,1
32,34.03,1,0
33,21.32,1,1
34,36.08,1,1
35,-18.74,1,1
36,-22.95,1,0
37,16.87,1,1
38,15.36,1,1
39,7.67,1,1
40,-10.6,1,1
41,-7.14,1,1
42,-1.79,1,0
43,-42.36,1,1
44,19.42,1,1
45,20.47,1,1
46,27.41,1,1
47,4.76,1,1
48,24.38,1,1
49,-20.1,1,1
