episode,align_deg,lifted,dropped
0,33.43,1,1
1,-22.59,1,1
2,-0.05,1,0
3,-28.18,1,1
4,-11.31,1,1
5,-15.18,1,1
6,18.91,1,1
7,-17.64,1,0
8,40.23,1,0
9,10.77,1,0
10,-16.2,1,0
11,-4.49,1,1
12,-35.4,1,1
13,-38.34,1,1
14,-20.83,1,1
15,28.92,1,1
16,17.07,1,1
17,-16.69,1,1
18,-36.35,1,1
19,36.75,1,1
20,29.61,1,1
21,-20.71,1,1
22,42.2,1,0
23,-32.7,1,1
24,-6.44,1,1
25,2.75,1,1
26,-15.62,1,1
27,-42.27,1,1
28,25.27,1,1
29,7.56,1,0
30,13.26,1,0
31,-16.66,1,0
32,-17.23,1,1
33,-31.54,1,1
34,-37.13,1,1
35,-41.16,1,1
36,35.03,1,0
37,17.23,1,1
38,-30.18,1,1
39,8.41,1,1
40,43.43,1,1
41,-16.06,1,1
42,9.5,1,1
43,-40.49,1,1
44,7.35,1,0
45,-34.31,1,1
46,17.23,1,1
47,-36.25,1,1
48,42.95,1,0
49,5.51,1,1
