episode,align_deg,lifted,dropped
0,-13.13,1,1
1,-0.61,1,1
2,34.71,1,1
3,-44.12,1,1
4,2.42,1,1
5,27.71,1,1
6,-12.86,1,1
7,15.45,1,1
8,-23.13,1,1
9,-13.21,1,0
10,-1.82,1,1
11,20.94,1,1
12,18.01,1,1
13,14.52,1,1
14,-21.73,1,1
15,-13.72,1,1
16,-30.74,1,1
17,21.63,1,0
18,-34.8,1,1
19,0.39,1,1
20,0.48,1,1
21,40.33,1,1
22,13.77,1,1
23,-27.05,1,1
24,-21.24,1,1
25,-18.25,1,1
26,-19.23,1,0
27,31.51,1,1
28,3.22,1,0
29,-35.15,1,1
30,-22.36,1,1
31,-43.15,1,1
32,19.12,1,0
33,-33.31,1,1
34,3.5,1,1
35,-23.32,1,1
36,2.79,1,1
37,31.05,1,1
38,-9.12,1,0
39,-31.74,1,1
40,-7.83,1,1
41,33.28,1,1
42,44.12,1,1
43,42.67,1,1
44,9.76,1,1
45,-26.27,1,1
46,22.98,1,1
47,33.92,1,1
48,14.63,1,1
49,12.53,1,1
