episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
38,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,28.526173908322193,0.011461614536822281,0.0031434158598387554,0.15323951222067145,0.6688521892306007,5,26
39,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,16.574489683622772,0.008651276369442306,0.002348304839834282,0.28139801301332157,0.016749343683398976,6,31
40,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,2.116154633023527,0.0014330835474825234,0.0010806159686720298,0.1646041794560652,0.008684661147841055,5,26
41,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,30.423766226543904,0.003110711382230068,0.002105439267062701,0.1016905966211602,-0.00011889709081103206,5,26
42,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,7.020232067248209,0.011780309010235478,0.004329160434773578,0.14886946766429032,0.6862016444754206,5,32
43,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,24.292511216259896,0.005055877959494015,0.0022495618977563235,0.10878173402723534,0.07342198954340873,5,28
44,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,5.267964109555614,0.009456573362315856,0.0022108054987579817,0.13195212245451882,0.47611252324258624,6,30
45,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,42.512234663887455,0.010280839032663152,0.005673649534063544,0.14855542139644673,0.7822976133818798,5,23
46,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,4.638367000777862,0.001851422188236329,0.00534198312949658,0.12483025342080989,0.6667325137944053,5,27
47,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,21.182271082621526,0.01580370011445144,0.002878407583521751,0.1579434301637973,0.2760666015859905,5,30
48,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,0.7308648395080155,0.0188544593659238,0.003117488995015791,0.17807107471461792,0.8007819837763965,5,27
49,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,13.487211345384196,0.003919170464458834,0.003854854313964083,0.10485671893588866,0.09432299482572803,5,28
50,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,30.403854447880036,0.0029772853527909445,0.008312112338849811,0.14620419453676237,-0.0002075111098762683,5,24
51,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,40.85118700226303,0.005793440780513311,0.002344309352039413,0.0973451903612399,0.33600686621830267,5,25
52,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,40.86790118203939,0.0023869603511065696,0.006681678006297808,0.10738516095572648,0.7231758195248563,1,34
53,555,jerk,dfp32_jerkhard,0,-1.0,1,1,0,35,35.714404538427885,0.02076208501725884,,0.11480621055629281,0.16089158994390074,5,28
54,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,29.21442679580619,0.0035531800356333474,0.002328560671601869,0.06528795609724758,0.37283827031720307,5,25
55,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,21.1293945849266,0.005031890776817197,0.0015803393674246604,0.1564919519256105,0.6266469915010804,5,32
56,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,34.76377811490221,0.0068212160290404365,0.012343312334210354,0.12628126312606924,0.057614156057578914,5,25
57,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,29.25715210155974,0.008986005315980062,0.010076408492028177,0.14071537007676038,0.5054168973177955,5,25
58,555,jerk,dfp32_jerkhard,1,1.0,1,0,0,-1,41.78959823910597,0.006710562999363023,,0.004283887604209391,,,47
59,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,41.097978583529795,0.003111741574803093,0.00397328827282486,0.08640739210534143,0.41448669611170974,5,25
60,555,jerk,dfp32_jerkhard,0,1.0,0,0,0,-1,,,,,,,-1
61,555,jerk,dfp32_jerkhard,0,-1.0,1,1,0,2,44.310224064118586,0.007866260775255693,,0.1298141206980724,0.3706798179374369,5,23
62,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,37.49029208111713,0.005978800879123697,0.010553480636655527,0.17558443197376072,0.021061245409399465,5,25
63,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,0.7651425719571421,0.001616409941151146,0.0018964511160903792,0.1843587906987154,0.00027611148558603915,5,30
64,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,20.108367113947807,0.004868960187571684,0.0072457155945903715,0.1313393576105596,0.09052149654778452,5,25
65,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,36.991260350000914,0.00846314102141882,0.008059210562529095,0.14962434709181316,0.5187294505353353,5,26
66,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,8.900777351750435,0.004679524203999903,0.002093881604142777,0.1345322100330627,0.7162589876175383,6,28
67,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,26.354326533546327,0.0001781609518593125,0.0005546500102025939,0.1400405928207712,0.6264366388685616,5,28
68,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,12.2690575510468,0.008023996960796847,0.003849564508650757,0.1420026989558537,0.3810538255816964,5,24
69,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,16.41183900036762,0.0030882475886254046,0.0029626354720338533,0.11559669721076471,0.5962067716068478,5,30
70,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,8.902401334943534,0.010635990573651225,0.0004482680318774248,0.11899484647852676,0.07738937477317931,5,47
71,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,10.357493856667446,0.007705341476388127,0.00876748748319322,0.1267249584767367,0.002083269136833543,5,28
72,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,29.101275548856183,0.007380092185143636,0.0025168111867382463,0.2023717741410882,-0.0002966093004483916,5,26
73,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,42.23617736958447,0.005617434435002154,0.01240883919967703,0.1301554815327045,0.3120077214527255,5,35
74,555,jerk,dfp32_jerkhard,1,1.0,1,0,0,-1,2.3843084684275837,0.004543332632196755,,0.07424716511250806,,,30
75,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,21.14497513297785,0.00514018197146186,0.0024112196674058034,0.20285917088720606,-0.00032917912434271557,5,28
76,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,43.018501438560406,0.0018011131550686073,0.005040335192923439,0.13581713602987777,0.07236293768444568,5,25
77,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,8.781988893103545,0.005750312354735619,0.004896949518022818,0.1313512909500768,0.7035783134819775,6,27
78,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,28.144390640096162,0.008064348073294857,0.004459809387816133,0.1033905425099304,0.0011052523496877242,5,25
79,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,32.48619555406637,0.011123534225036825,0.002059605238462955,0.13682797372679645,0.6600749555929699,5,27
80,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,37.334700023871136,0.004035445267840233,0.0029179693546130293,0.08929512985298893,0.32754464046892373,5,28
81,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,44.03195060470793,0.005564900128230336,0.009009702565617785,0.22230125482907614,0.23647232048852107,5,24
82,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,6.35311956358089,0.011212818926369926,0.004551975914045993,0.13484220277765435,0.8962351384205345,6,28
83,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,35.97034518617696,0.0039206698266163525,0.010618892399182794,0.10477617388648053,0.42690645847807707,5,25
84,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,36.243060365820014,0.014548954262906588,0.01328478874290696,0.14071629011353626,0.06299021765490798,5,30
85,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,42.9111342547979,0.0030107177938990307,0.00243879171359579,0.11023825144175026,0.2034418854195459,5,24
86,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,9.362429121712523,0.005946633155404647,0.004193815277992655,0.13272987028706196,0.42016923564145525,5,27
87,555,jerk,dfp32_jerkhard,1,-1.0,1,1,0,17,27.196030220629623,0.01840740578796376,,0.12963968846112528,0.44607042047333145,5,36
88,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,20.612720197631532,0.003999349469259958,0.0031073312126496688,0.12428363232780382,0.27499078205685956,5,26
89,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,31.788669910113388,0.004638237675665876,0.01010614015741506,0.1244387452048874,0.4056760550145091,5,22
90,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,28.248569590199594,0.0018690200947339575,0.002318746437361765,0.1417839763424128,0.6551875191503802,5,54
91,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,15.56073643967376,0.010123222932165069,0.005247135817923839,0.1510164242356662,0.10281063460199036,5,27
92,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,42.87070433305678,0.002502943217578619,0.0003788553856639862,0.12542831207219796,0.36246256691286405,5,25
93,555,jerk,dfp32_jerkhard,0,-1.0,0,0,0,-1,,,,,,,-1
94,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,30.140683798153276,0.007160956224271603,0.009418206649213627,0.1003770026292975,-0.00011307333132304365,5,25
95,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,42.84344683358515,0.009257204415317393,0.009347527780783575,0.13681408770603753,0.12251836307311681,5,23
96,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,26.936360865873265,0.006905071191469254,0.011302279304653893,0.16374160201822519,0.025979326708729378,5,24
97,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,38.698540087887665,0.006209709802739464,0.004990940184313776,0.13576069419304782,0.4147909225314508,5,25
98,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,22.54307527799486,0.004127629184408771,0.002862839283887899,0.14501419953775774,0.08649501406021765,5,23
99,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,4.871444013086659,0.002150877069731117,0.00032457453562686464,0.13964480230469867,0.4976897833713263,5,28
