episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,eef_path,eef_net,eef_vmax,eef_amax,margin_hand,joint_hand,grasp_step
0,7,jerk,,0,1.0,1,1,1,-1,12.079756952976837,0.001142058470978016,0.0016222210894221126,0.14938391074963708,0.32538978119684436,0.02940545039760408,0.20014099873830002,3.8442337416192167,0.7116099598527925,3,27
1,7,jerk,,0,-1.0,1,1,1,-1,0.6436508990222904,0.013110392792290605,0.00256687203650455,0.15234864020856487,0.348663223597801,0.05454511771398007,0.21432683672155706,4.208796578261374,0.03275837469392551,5,30
2,7,jerk,,1,1.0,1,1,1,-1,4.379330185076029,0.009400321416269786,0.001984257164821714,0.14281614705982193,0.30831008126551146,0.0446987235650567,0.20799712199652104,4.114869213576356,0.5341186799343327,5,25
3,7,jerk,,1,-1.0,1,0,0,-1,4.034777280543409,0.001683689257815934,,0.0,,,,,,,34
4,7,jerk,,0,1.0,1,1,1,-1,17.397055768360474,0.0037689943642957046,0.0026525772909128087,0.12581199903175255,0.33619282971295444,0.02709252971158016,0.22952515587085923,4.203905513619798,0.04979773905362661,5,24
5,7,jerk,,0,-1.0,1,1,1,-1,20.024219130033217,0.0049234648251746515,0.00429152210515611,0.15982415791558968,0.3419632548263122,0.019955135855804943,0.2311580293737278,4.493654528220947,0.07734727784283102,5,26
6,7,jerk,,1,1.0,1,1,1,-1,9.805001775809643,0.015830745458050473,0.0031953701284284292,0.15962629446374432,0.3115220182177157,0.016107249493891137,0.23070633470666277,4.509056271733402,0.08215966389802665,5,25
7,7,jerk,,1,-1.0,1,1,1,-1,13.005521782951433,0.0018455590429471654,0.005455458657703495,0.12754006100932358,0.2940041683371877,0.03669796766628291,0.1838016505845774,3.9756154945465405,0.4578434107075444,5,29
8,7,jerk,,0,1.0,1,1,1,-1,32.138765096817565,0.006192405722654418,0.01270939058770304,0.12244202467689203,0.33684384837259634,0.051717535333444364,0.18159732339175744,3.886736420837995,0.7109317267158661,5,27
9,7,jerk,,0,-1.0,1,1,1,-1,42.068015821320344,0.00838582132924168,0.015077453383294047,0.1287453446891914,0.33462587080072537,0.02620401929731974,0.21952899295308986,4.48780640410434,0.0743114472467612,5,25
10,7,jerk,,1,1.0,1,1,1,-1,7.1296684150171075,0.009413487040014382,0.008506066218523524,0.13871230860266526,0.33608832610068606,0.0747595834595143,0.2330526175186166,4.299641972857474,-0.00012020478617813524,5,29
11,7,jerk,,1,-1.0,1,1,1,-1,38.22786087955788,0.00570114372976522,0.008622187171765994,0.1255353729430504,0.292988077166065,0.017174634799429173,0.15543053028893286,3.91476656411908,0.2450290754092337,5,28
12,7,jerk,,0,1.0,1,1,1,-1,4.485511345491389,0.006478058791683924,0.000907199633097076,0.14411392793183064,0.40260932945912464,0.12354935353800683,0.28544646077810576,4.3824397862154045,0.4504580134030287,6,29
13,7,jerk,,0,-1.0,1,1,1,-1,29.835244235747496,0.006335342856759032,0.008448137009512233,0.12542429547810574,0.33220265428692486,0.01844265599472049,0.21803131791346675,4.413098565428918,0.11636204526522276,5,24
14,7,jerk,,1,1.0,1,1,1,-1,34.2979003803992,0.00587044082147119,0.01212754609168862,0.1250966600150093,0.29436771424283664,0.03174893049693372,0.18872518996440593,3.8799096731927047,0.24423806263796077,5,24
15,7,jerk,,1,-1.0,1,1,1,-1,23.50860369895871,0.017309246367382354,0.007735500168643086,0.13458046195695972,0.31858024369130356,0.010929661377470255,0.20607027252342272,3.961106387573745,0.9766782454440435,3,32
16,7,jerk,,0,1.0,1,1,1,-1,5.801997853818705,0.005592091167733926,0.0011029739520257826,0.13583162968829532,0.3363807580407289,0.07041114765071071,0.21140357594702974,4.071846468277241,0.08465378673125112,5,24
17,7,jerk,,0,-1.0,1,1,1,-1,18.079736668352098,0.012700675328325455,0.004372339315015061,0.20920925496203258,0.3752392250360949,0.1232018053197442,0.2634883580535997,4.132076687165869,-0.0003125008366899884,5,25
18,7,jerk,,1,1.0,1,1,1,-1,2.6747076865833606,0.010319378674416532,0.0064606161792937124,0.16521250952817956,0.30360171524104024,0.035215728153725645,0.17242214760384436,3.786660534088367,0.7080267359678962,5,25
19,7,jerk,,1,-1.0,1,1,1,-1,1.1123434816372466,0.0022182178381113505,0.0003268926425055708,0.14201322875890066,0.2956824272966399,0.010475508883174693,0.1503791642313093,3.8953868558571414,0.5704016260638101,5,22
20,7,jerk,,0,1.0,1,1,1,-1,10.26761120480873,0.008393737423801754,0.0014230416697622562,0.1123597744751047,0.3198092079361784,0.037271573388747106,0.19143030550491985,3.953921163550406,-0.000323753924618142,5,26
21,7,jerk,,0,-1.0,1,1,1,-1,23.41911592056755,0.004357847156120546,0.00481655984459535,0.14056993861531375,0.34804604688199414,0.027277729674371375,0.219617727076761,4.2494288166858345,0.26318415114784166,5,33
22,7,jerk,,1,1.0,1,1,1,-1,17.486159689654812,0.0052442845685113405,0.006597491817637027,0.13185414652774785,0.29440132512182426,0.012882873740396743,0.15998219586271062,3.894083743551117,0.637337492333967,5,29
23,7,jerk,,1,-1.0,1,1,1,-1,40.69905237773608,0.006136380289046658,0.006547726916251124,0.048237503175214025,0.2904018210387134,0.01907585196374507,0.17206266193117933,4.00902232358867,0.12606860091593752,5,28
24,7,jerk,,0,1.0,1,1,1,-1,5.074245652981347,0.017985593824960098,0.013496961614971619,0.13220779052180864,0.3006970172005185,0.024278909668342858,0.1866829321379257,3.8763319846036124,0.8770837955718065,5,27
