episode,align_deg,lifted,dropped
0,-38.9,1,1
1,3.87,1,1
2,-38.18,1,0
3,-33.72,1,0
4,-0.94,1,1
5,-23.77,1,0
6,28.07,1,1
7,34.84,1,1
8,-14.57,1,1
9,26.8,1,1
10,-5.81,1,1
11,37.48,1,1
12,3.59,1,1
13,19.72,1,0
14,-22.56,1,1
15,-34.7,1,1
16,4.4,1,1
17,-8.64,1,1
18,-6.68,1,1
19,0.01,1,0
20,-24.84,1,0
21,43.06,1,1
22,-0.39,1,0
23,-4.56,1,1
24,-28.8,1,0
25,33.86,1,1
26,12.11,1,1
27,42.78,1,1
28,43.97,1,1
29,42.79,1,1
30,-22.85,1,0
31,-26.39,1,1
32,-4.06,1,1
33,6.57,1,1
34,29.34,1,1
35,27.38,1,1
36,-7.41,1,1
37,30.93,1,1
38,37.79,1,1
39,-40.83,1,1
40,23.03,1,1
41,12.9,1,1
42,-18.58,1,1
43,28.96,1,1
44,24.4,1,1
45,-32.89,1,1
46,5.44,1,1
47,18.48,1,1
48,4.46,1,1
49,6.09,1,1
