episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,47,hold,dfp32_hold,0,1.0,1,1,1,-1,39.36536143871507,0.007929649819585136,0.003865844755362601,0.12661555758680954,0.12393537191824278,5,22
1,47,hold,dfp32_hold,0,-1.0,1,1,1,-1,1.9821141642772417,0.00476795071408708,0.00015202481909579437,0.14192559687075634,0.5190788488827418,5,26
2,47,hold,dfp32_hold,1,1.0,1,1,1,-1,39.797526036274945,0.009785838868393215,0.007063782624772309,0.12608645536039764,0.2535808911138706,5,24
3,47,hold,dfp32_hold,1,-1.0,1,1,1,-1,3.1876432873396254,0.000764799521934637,0.0009017269129505138,0.13040926039536394,0.58579941564442,5,28
4,47,hold,dfp32_hold,0,1.0,1,1,1,-1,8.770467062985645,0.002545784958603782,0.001696093855986195,0.18829461788649626,0.37087621848484753,5,27
5,47,hold,dfp32_hold,0,-1.0,1,0,0,-1,1.193010566407466,0.007821698862603234,,0.14609720921385538,,,36
6,47,hold,dfp32_hold,1,1.0,1,1,1,-1,6.811143183717135,0.012305574754200299,0.0020971808957820463,0.14348615187002445,0.8736419766782468,5,31
7,47,hold,dfp32_hold,1,-1.0,1,1,1,-1,1.221868167329859,0.006089333068010362,0.002581436750605864,0.14707800839960983,0.29200296011622173,5,28
8,47,hold,dfp32_hold,0,1.0,1,1,1,-1,25.170227681780148,0.007593569527554646,0.003340718785522535,0.07227629186324613,0.7735665222218033,3,25
9,47,hold,dfp32_hold,0,-1.0,1,1,1,-1,18.924173434049465,0.004456813781474557,0.0020308042880661857,0.17480823657918654,0.026102357082945726,5,25
10,47,hold,dfp32_hold,1,1.0,1,1,1,-1,40.05707083842961,0.008881897769966816,0.00909447631849939,0.12017911232464462,0.10156622215300981,5,23
11,47,hold,dfp32_hold,1,-1.0,1,1,1,-1,32.880248413328104,0.005798209264835066,0.01203758920075118,0.11529814921105697,0.23480248714774232,5,23
