res_x,res_y,res_z,res_norm,reproj,area_px,obliq_deg,cam_range,gripper_perp,gripper_dz,cx,cy,obj_yaw,det_x,det_y,det_z
-0.021922764062222322,0.002390977349737977,-0.00416842785958027,0.022443265084103773,0.023624489083886147,433.0,45.01024252442018,0.3636769421011545,0.09766794264536285,0.15580134529379697,276.0,26.5,-2.762712408193426,0.16113029140325485,-0.27968039256858607,0.8491684278595804
-0.01977206616475463,0.0005714569448322382,-0.0075087590459222975,0.021157566634018948,0.0622367188334465,382.0,50.193396889848465,0.38638203579747754,0.09809644790275937,0.15335267712747624,291.5,28.5,-1.3281136647386125,0.1768501666721177,-0.32302493956357853,0.8525087590459224
-0.01841273357824752,-0.005016687198992162,-0.009461364461883948,0.021300547545935435,0.09189855307340622,406.0,35.42244329771978,0.2939148135188782,0.0847685036724805,0.14818588370079355,183.0,56.5,0.8669884776081319,0.1383203928937059,-0.11186068075600629,0.854461364461884
-0.01848469925004933,-0.002267345414700278,-0.001131753015511272,0.018657594338029097,0.20652101933956146,471.0,19.960042047843473,0.2707765407878579,0.0670937309189734,0.15441762888283883,202.75,103.75,2.47132571729712,0.05706878223348402,-0.14638794003110261,0.8461317530155114
-0.021020968794601053,0.001257737616921939,0.0018394190851687142,0.021138743944413882,0.07510330528020859,319.0,31.34193491819681,0.3348071904098875,0.07330151684404461,0.1870252049787583,227.5,97.5,-1.10136555633506,0.11958800307640895,-0.21167235055106662,0.8431605809148314
-0.020901584920414745,-0.0049274667564693925,-0.006841521851799537,0.022538025691485726,0.21515387296676636,430.0,39.89750448630882,0.31791160214938624,0.09561158934195617,0.1479478661513861,163.0,17.25,-0.4173971404299027,0.18350253171536152,-0.11049330191736768,0.8518415218517996
-0.025030048630524104,-0.003937544997140663,-0.0022253262910247873,0.025435401945957826,0.2301776111125946,336.0,43.341191644428754,0.34510471796442105,0.09492337645297515,0.1610074470471422,175.25,20.0,-0.5801171757912844,0.21216140504524825,-0.1323000880234261,0.8472253262910249
-0.021324894913206854,-0.0037497344264462718,-0.006042663329352882,0.022479444642608457,0.10898726433515549,318.5,41.82143789884093,0.3457672830490161,0.09174476460632597,0.16705184224633596,197.75,34.5,-1.8752826419029183,0.20373707729188661,-0.16207314337921927,0.851042663329353
-0.020012991138919106,-0.0015414797792526191,-0.007688885606801588,0.0214945327027777,0.19515299797058105,439.0,45.66101316031671,0.3393791408052726,0.09736707960108779,0.14221600453010774,250.0,20.25,-1.4819887332305035,0.17363577195504667,-0.24218468315760897,0.8526888856068017
-0.019762123433900658,0.0004886215416860518,-0.007282702225774762,0.021066988995512147,0.04944213107228279,440.0,49.48018029314712,0.3661763759383251,0.09760011062132279,0.14639951149719865,299.0,35.5,0.6129105584002492,0.14659968887960498,-0.33837879559273354,0.8522827022257748
-0.018452807388792597,-0.00337594883772685,-0.002598765526855562,0.018938234166532023,0.07510145753622055,391.0,21.49250667782862,0.2865671773783969,0.06464695647037877,0.1679845954209157,188.0,103.5,2.8192308258705654,0.08287122355474136,-0.14874978741986825,0.8475987655268556
-0.023289178865188664,-0.0025550634784816395,-0.0023535739667388533,0.02354683656058138,0.04840020090341568,416.0,37.00031115656354,0.3202481976224512,0.09238873947650086,0.15302039600076,207.5,34.5,2.133129420095212,0.16855329297282973,-0.15959518076651408,0.8473535739667389
-0.016246044438829488,-0.006192253666007855,-0.0053494252332842995,0.018190500699516467,0.28268963098526,448.5,9.75163806756268,0.2763012696285143,0.04552876021939339,0.1679617233128774,131.0,142.25,-0.5722093546653784,0.0019401744613366401,-0.09491379712222466,0.8503494252332844
-0.01757296172002487,-0.005134935679175931,-0.0027380092343337603,0.018511435455145837,0.144956573843956,438.0,16.4314578904704,0.2735305846356346,0.06959790247521741,0.1578657249770088,169.25,91.75,2.1915692070395654,0.07490037429277029,-0.10931003003345773,0.8477380092343338
-0.01826261506006288,-0.004041367963455694,-0.0054566031014007255,0.019484103296130866,0.08895663172006607,312.0,25.681605562083952,0.31707880626333534,0.06745278659341337,0.18917818964999678,184.5,96.5,0.09645968093908687,0.12265154916882047,-0.14366235751794693,0.8504566031014008
-0.02380302201177764,-0.0014049441524411344,-0.0030883817637334943,0.024043623414186373,0.04300719499588013,396.0,39.07189223109683,0.33548783832136125,0.0951279267187861,0.1571546269988605,201.5,21.5,-2.54907432024283,0.18105654831832005,-0.20298288134284884,0.8480883817637336
-0.015250945601774075,-0.002889411080681664,0.0009580349348088379,0.015551780254290895,0.13049738109111786,416.0,7.723070575110216,0.2838909742299451,0.045559003441992006,0.17700600962407498,187.75,139.0,1.1920894270473628,0.010565372557264334,-0.15236221333289307,0.8440419650651912
-0.02529872308662995,-0.004160226476262657,-0.0005451861576419859,0.025644299602333935,0.03621220216155052,421.0,36.38277783233543,0.32021384905399125,0.09397570111062577,0.15252990754225582,177.0,24.5,1.499499547864839,0.18852495183328746,-0.11502229471297787,0.8455451861576421
-0.0210586453920871,0.00010197016908938816,-0.0006620317148189336,0.021069295898450937,0.07970596849918365,420.0,32.865473104080785,0.30253867199048834,0.0810627768563001,0.15464784436529178,229.0,78.0,0.8427284582773756,0.1111607565212437,-0.19854629070243604,0.845662031714819
