ep,step,phase,res_x,res_y,res_z,res_norm,reproj,area_px,obliq_deg,cam_range,gripper_perp,gripper_dz,det_x,det_y,det_z,obj_yaw,cx,cy
0,0,0,-0.010974560343851839,-0.003337106825791303,-0.01142831538981004,0.016192086010040747,0.08079148083925247,567.0,50.851877559325246,1.3629879817845443,0.21955596942997302,0.1401492422746744,0.009700476564052549,-0.2803082889151663,0.8564283153898101,-1.6325366056242834,392.25,405.0
0,3,0,0.001891277327962303,0.00031115555107114057,1.5540039262518235e-05,0.00191676529628614,0.3203412890434265,547.0,51.14377493431608,1.3817453637167358,0.1421044355503845,0.1420248900041995,-0.0031653611080727975,-0.28395655129614694,0.8432209831488142,-1.6507832833208267,392.5,406.25
0,6,0,0.0018912773276270106,0.0003111555466344118,1.5864437471702075e-05,0.0019167679527197913,0.3203412890434265,547.0,51.14377493431608,1.3817453637167358,0.10219435981982136,0.12884024514425585,-0.0031653611080727975,-0.28395655129614694,0.8432209831488142,-1.6507832833208267,392.5,406.25
0,9,0,0.0018912773272900492,0.0003111555421755341,1.5864468233983686e-05,0.0019167679519180953,0.3203412890434265,547.0,51.14377493431608,1.3817453637167358,0.05608115130926368,0.08105502350240501,-0.0031653611080727975,-0.28395655129614694,0.8432209831488142,-1.6507832833208267,392.5,406.25
0,12,0,0.0018912773269514128,0.0003111555376943964,1.5864472495463744e-05,0.0019167679508917946,0.3203412890434265,547.0,51.14377493431608,1.3817453637167358,0.026879877961804896,0.0363279355310403,-0.0031653611080727975,-0.28395655129614694,0.8432209831488142,-1.6507832833208267,392.5,406.25
0,147,5,0.0206485743026521,-0.012082803288196053,0.0036095020673976297,0.024194756894995534,0.2298353612422943,594.0,71.48105836314953,0.9647298930211284,0.02668818806455756,0.03725783081829337,0.17795811969455427,0.1665748817474202,1.2733410839150512,-1.8422779740050748,844.0,149.0
0,150,6,-0.003999246673795864,-0.007302184300959608,-0.008737508602969513,0.01206896541174986,0.3538602292537689,681.0,61.949440017414936,1.0519908529485502,0.18893136295786953,0.2334052836765066,0.20267638836023544,0.15686195762118357,1.081902597475196,-1.8346340949343947,810.0,357.5
1,0,0,0.008330306450011524,0.0013365377352678176,0.007836671497067238,0.011514936335987467,0.07798322290182114,654.0,46.67216948101057,1.304549402842555,0.24157040956325518,0.16966932856243278,0.09209212900338588,-0.21043206364387113,0.8371633285029328,0.6988317294555765,446.5,467.0
1,3,0,-0.01704274768765858,-0.004901565335570013,-0.01678265171308224,0.024415937213358732,0.11014151573181152,648.0,49.772754505478915,1.2698932024149887,0.18284120766885115,0.13317457190468207,0.11746518314414318,-0.20419396057029013,0.860019174901159,0.6894850765231504,447.0,468.25
1,6,0,-0.01704274768433245,-0.004901565332614599,-0.016782327314873058,0.024415714231724672,0.11014151573181152,648.0,49.772754505478915,1.2698932024149887,0.1289165888428456,0.1174307618605841,0.11746518314414318,-0.20419396057029013,0.860019174901159,0.6894850765231504,447.0,468.25
1,9,0,-0.017042747680989748,-0.004901565329644447,-0.016782327284110776,0.024415714207650426,0.11014151573181152,648.0,49.772754505478915,1.2698932024149887,0.07651621091586595,0.07768699802665668,0.11746518314414318,-0.20419396057029013,0.860019174901159,0.6894850765231504,447.0,468.25
1,12,0,-0.017042747677630435,-0.004901565326659557,-0.016782327279849296,0.024415714201777152,0.11014151573181152,648.0,49.772754505478915,1.2698932024149887,0.030995551401316164,0.02748519395925786,0.11746518314414318,-0.20419396057029013,0.860019174901159,0.6894850765231504,447.0,468.25
2,0,0,0.004196300938559189,0.00043070104728773484,0.005361151928244712,0.006821758934234591,0.07514183968305588,762.5,44.190555312730964,1.239903351701238,0.2968791692100798,0.17517543755751253,0.18442886910472295,-0.20843854027036907,0.8396388480717554,-1.7376799978775075,437.75,526.5
2,3,0,-0.013862199991531154,-0.003927048926885501,-0.0136429235016442,0.01984216882175622,0.06252527236938477,773.0,45.71053381496747,1.2146356188873784,0.23983867624183874,0.1477346088299094,0.2024873700341268,-0.20408079030026816,0.8568794466897209,-1.6971522365386,437.75,528.0
2,6,0,-0.01386219999227098,-0.0039270489312730195,-0.013642599103435016,0.019841945777351978,0.06252527236938477,773.0,45.71053381496747,1.2146356188873784,0.18901278774901584,0.15054819271007647,0.2024873700341268,-0.20408079030026816,0.8568794466897209,-1.6971522365386,437.75,528.0
2,9,0,-0.01386219999301444,-0.003927048935682381,-0.013642599072672734,0.019841945757593044,0.06252527236938477,773.0,45.71053381496747,1.2146356188873784,0.13475524890533014,0.12509102672148975,0.2024873700341268,-0.20408079030026816,0.8568794466897209,-1.6971522365386,437.75,528.0
2,12,0,-0.013862199993761537,-0.003927048940113725,-0.013642599068411254,0.019841945756061987,0.06252527236938477,773.0,45.71053381496747,1.2146356188873784,0.08045401390821735,0.08714270446168149,0.2024873700341268,-0.20408079030026816,0.8568794466897209,-1.6971522365386,437.75,528.0
2,15,0,-0.01386219999451227,-0.003927048944567024,-0.013642599064131788,0.01984194575452545,0.06252527236938477,773.0,45.71053381496747,1.2146356188873784,0.03126775930730083,0.033145623926711276,0.2024873700341268,-0.20408079030026816,0.8568794466897209,-1.6971522365386,437.75,528.0
3,0,0,0.011931765898139704,0.004287377361338496,0.00938675825087043,0.015775293104941395,0.23854109644889832,556.5,50.562540117826735,1.3884362493748372,0.2612584751631812,0.15700555731998478,0.0031740727545988643,-0.31303377722679687,0.8356132417491297,-2.1147563179586943,367.75,414.75
3,3,0,0.012280972855522427,0.004361385601801937,0.009496813837645557,0.016125552756807437,0.12797239422798157,560.0,50.21014656723874,1.3899380035887665,0.1720463619983698,0.15495987898028107,0.0028248657950376652,-0.3131077854707687,0.8337397093504312,-2.0922701252501494,368.0,415.75
3,6,0,0.012280972853175321,0.00436138559802185,0.00949713823585474,0.016125743803806252,0.12797239422798157,560.0,50.21014656723874,1.3899380035887665,0.11242010335830226,0.14960934018581662,0.0028248657950376652,-0.3131077854707687,0.8337397093504312,-2.0922701252501494,368.0,415.75
3,9,0,0.012280972850816531,0.0043613855942229995,0.009497138266617022,0.016125743819099633,0.12797239422798157,560.0,50.21014656723874,1.3899380035887665,0.06536328763523831,0.10485772875758137,0.0028248657950376652,-0.3131077854707687,0.8337397093504312,-2.0922701252501494,368.0,415.75
3,12,0,0.01228097284844602,0.00436138559040522,0.009497138270878502,0.016125743818771514,0.12797239422798157,560.0,50.21014656723874,1.3899380035887665,0.0276093423474049,0.05597649141213723,0.0028248657950376652,-0.3131077854707687,0.8337397093504312,-2.0922701252501494,368.0,415.75
4,0,0,-0.009452684575463915,-0.0036699768426192297,-0.00914077491395926,0.013651950107447717,0.1044674813747406,754.0,45.65366059265241,1.2084580849052526,0.29032105681689163,0.14195886057281037,0.1936015099852148,-0.08676789212020743,0.8541407749139593,0.49437186412478457,552.0,523.5
4,3,0,-0.01018215499291747,-0.0036694989048360466,-0.010163428020726784,0.01484711324281193,0.10454495251178741,754.0,45.65487510734983,1.2085209831308827,0.26271623103050623,0.14690320543748725,0.1943309804062951,-0.08676837005601547,0.8533999512088035,0.494440166175518,552.0,524.5
4,6,0,-0.01018215498900979,-0.0036694989027080543,-0.0101631036225176,0.014846891178264321,0.10454495251178741,754.0,45.65487510734983,1.2085209831308827,0.2120271838510048,0.14363404516219092,0.1943309804062951,-0.08676837005601547,0.8533999512088035,0.494440166175518,552.0,524.5
4,9,0,-0.010182154985082764,-0.0036694989005694734,-0.010163103591755318,0.014846891153984939,0.10454495251178741,754.0,45.65487510734983,1.2085209831308827,0.14734000660634644,0.11490522795007563,0.1943309804062951,-0.08676837005601547,0.8533999512088035,0.494440166175518,552.0,524.5
4,12,0,-0.010182154981136227,-0.003669498898420262,-0.010163103587493838,0.01484689114783007,0.10454495251178741,754.0,45.65487510734983,1.2085209831308827,0.09344556140794646,0.09654250335313064,0.1943309804062951,-0.08676837005601547,0.8533999512088035,0.494440166175518,552.0,524.5
4,15,0,-0.010182154977169983,-0.0036694988962603647,-0.010163103583214483,0.014846891141646812,0.10454495251178741,754.0,45.65487510734983,1.2085209831308827,0.043269253022938894,0.049726420161187335,0.1943309804062951,-0.08676837005601547,0.8533999512088035,0.494440166175518,552.0,524.5
4,18,0,0.004855513179086335,-0.0016666029136721827,0.0066074090917249695,0.008367283215569525,0.2725817859172821,760.0,43.09192970123476,1.231140749779437,0.014882956883392851,0.03341683159933628,0.1815043883886564,-0.08768047782540864,0.8345303864416059,0.4829487396656782,552.75,527.75
4,144,5,-0.012178435154394956,-0.011440745433245025,-0.011925431579639212,0.020528537630303236,0.16622641682624817,739.0,53.63650912998935,1.1351196972464719,0.19604097833810583,0.2991364056989151,0.2023460962624291,0.16739381749117938,0.959921341387539,0.6876059475384776,807.75,455.75
5,0,0,-0.011833720383143308,-0.003371069571710017,-0.011942073348206739,0.017146841225650872,0.0943097397685051,557.0,51.59939559484113,1.3465549087392783,0.19173488782870737,0.16018795821611376,0.01636167791726135,-0.21934747143402644,0.8569420733482068,-1.1753421362716048,444.5,408.5
5,3,0,0.009629652283001042,0.0012921889091077332,0.006381899515092382,0.011624482641780861,0.16711150109767914,555.0,49.78147207309081,1.3763156259411844,0.13455622114595872,0.15233181228027015,-0.005101694747246579,-0.224010729918636,0.8368546236729844,-1.1911796105511012,444.75,409.25
5,6,0,0.009629652284764128,0.0012921889050224455,0.006382223913301566,0.01162466074219994,0.16711150109767914,555.0,49.78147207309081,1.3763156259411844,0.0954524266574742,0.12909858086185788,-0.005101694747246579,-0.224010729918636,0.8368546236729844,-1.1911796105511012,444.75,409.25
5,9,0,0.009629652286535992,0.0012921889009168408,0.006382223944063847,0.01162466076010059,0.16711150109767914,555.0,49.78147207309081,1.3763156259411844,0.04980275364136973,0.0783543056027447,-0.005101694747246579,-0.224010729918636,0.8368546236729844,-1.1911796105511012,444.75,409.25
5,12,0,0.009629652288316663,0.0012921888967908357,0.006382223948325327,0.011624660763456678,0.16711150109767914,555.0,49.78147207309081,1.3763156259411844,0.02308125685068773,0.03558429519884565,-0.005101694747246579,-0.224010729918636,0.8368546236729844,-1.1911796105511012,444.75,409.25
5,135,6,-0.005383690564727789,-0.005451711229656694,-0.007434982305356441,0.01067634025821898,0.09318875521421432,733.0,48.93325021043477,1.1926570512184067,0.5488714012230116,0.8039496032673611,0.23264211172751864,0.10336679983357426,0.8428572230243195,-1.0084406799561385,736.5,559.0
6,0,0,-0.005496372916206138,-0.0009861000641595563,-0.005370312812683742,0.007747436238951245,0.1637001633644104,721.5,46.745188589872605,1.2672288476551135,0.3161549360509621,0.15553053765559555,0.1555806122405044,-0.2889485695351976,0.8503703128126838,-2.0328348300535386,364.25,499.75
6,3,0,0.008137601227679508,0.003470654249214944,0.008882275307611653,0.012536379433414277,0.1461867392063141,705.0,46.17248663577322,1.2887006631939468,0.2340432290307603,0.16683917739752752,0.14194663809459246,-0.2934053238521707,0.8343542478804651,-2.0529770846048208,364.75,501.0
6,6,0,0.008137601225496477,0.0034706542453378786,0.008882599705820837,0.012536609275626805,0.1461867392063141,705.0,46.17248663577322,1.2887006631939468,0.1743851706593196,0.17170669540492067,0.14194663809459246,-0.2934053238521707,0.8343542478804651,-2.0529770846048208,364.75,501.0
6,9,0,0.00813760122330262,0.003470654241441329,0.008882599736583119,0.012536609294920118,0.1461867392063141,705.0,46.17248663577322,1.2887006631939468,0.12140525401983308,0.14248568565715847,0.14194663809459246,-0.2934053238521707,0.8343542478804651,-2.0529770846048208,364.75,501.0
6,12,0,0.008137601221097773,0.0034706542375255722,0.008882599740844599,0.01253660929542429,0.1461867392063141,705.0,46.17248663577322,1.2887006631939468,0.0677434517709366,0.0972568729963591,0.14194663809459246,-0.2934053238521707,0.8343542478804651,-2.0529770846048208,364.75,501.0
6,15,0,0.008137601218882018,0.0034706542335903867,0.008882599745124065,0.012536609295928746,0.1461867392063141,705.0,46.17248663577322,1.2887006631939468,0.020818318681294926,0.043207520556501566,0.14194663809459246,-0.2934053238521707,0.8343542478804651,-2.0529770846048208,364.75,501.0
6,144,6,-0.013987286340120142,0.0010308531304536739,-0.018266265147981686,0.02302961744783113,0.15863148868083954,623.0,67.07406286881643,0.9990758093923063,0.3789162155769931,0.47082454484967684,0.2389697722246325,0.1641699384335935,1.1238740568864964,-1.5133032642450608,828.25,345.75
7,0,0,-0.009014926642104931,-0.0032856109316547477,-0.00877343508719386,0.013001434720289402,0.14807094633579254,769.0,45.37976774519974,1.2030091858849756,0.2944164064057416,0.1581240761087892,0.2048863632180356,-0.10864322469248636,0.8537734350871939,0.5560068874455186,530.25,531.75
7,3,0,-0.010155014306825222,-0.0032920206242500194,-0.009490432409830607,0.01428390782271699,0.2789873480796814,769.0,45.34734879326552,1.2030356896101453,0.2725043503912415,0.15336564424923016,0.20602645088622468,-0.1086368149976499,0.8527269555979073,0.5559732570249809,530.25,533.25
7,6,0,-0.010155014303087961,-0.0032920206218353815,-0.009490108011621423,0.014283692286756657,0.2789873480796814,769.0,45.34734879326552,1.2030356896101453,0.22671634326439266,0.15640543175958044,0.20602645088622468,-0.1086368149976499,0.8527269555979073,0.5559732570249809,530.25,533.25
7,9,0,-0.010155014299332105,-0.0032920206194087115,-0.009490107980859142,0.01428369226308863,0.2789873480796814,769.0,45.34734879326552,1.2030356896101453,0.15946083905678066,0.12981608915966358,0.20602645088622468,-0.1086368149976499,0.8527269555979073,0.5559732570249809,530.25,533.25
7,12,0,-0.01015501429555754,-0.003292020616969968,-0.009490107976597661,0.014283692257011697,0.2789873480796814,769.0,45.34734879326552,1.2030356896101453,0.10445619151130883,0.10868188424386882,0.20602645088622468,-0.1086368149976499,0.8527269555979073,0.5559732570249809,530.25,533.25
7,15,0,-0.010155014291764242,-0.003292020614519109,-0.009490107972318307,0.014283692250906775,0.2789873480796814,769.0,45.34734879326552,1.2030356896101453,0.053330265496150844,0.06065909162283423,0.20602645088622468,-0.1086368149976499,0.8527269555979073,0.5559732570249809,530.25,533.25
7,96,6,0.05433224689390509,-0.005761167167836603,0.037418395562164086,0.06622175191070226,0.24040843546390533,472.0,68.24240944847584,1.1065170555364072,0.08984797284826969,0.17012906800052008,0.1622813911359457,0.1290696465321515,1.0386993934348854,0.38022479554531136,771.5,366.25
8,0,0,0.00232651557660013,0.0024534003610220956,0.001402836146262687,0.0036605733584901055,0.3399781882762909,628.0,49.424868026936956,1.341244827399243,0.3152914836191872,0.16424524072516178,0.07709303506860328,-0.35442110508878316,0.8435971638537374,-0.19263136453709095,318.5,453.5
8,3,0,0.0024924308297547965,0.0029704845572225413,0.002114631641249032,0.0044167473239909655,0.09406939893960953,628.0,49.29019188504713,1.3431694146174007,0.2077448787032261,0.16776594678983203,0.07692711981949259,-0.3549381892858212,0.8411218915468277,-0.19187379949762634,318.5,455.0
