episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z,eef_x,eef_y,eef_z,grip_w,j0,j1,j2,j3,j4,j5,j6
0,success,1,1,96,-84.09495942828059,-43.37159154262653,-127.46655097090712,0.003937529632440626,-0.001675278167162757,0.004106061034215963,0.004279099968886006,1.1012291080802683,0.19101918777040253,-0.4565633629213365,1.1001425400793041,0.045168884289169736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,1,54,-1.612917171226468,-29.910689663654107,148.4763931651194,-0.015315610847757816,-0.001582924572505768,0.01935090637735029,0.015397194089904805,1.069228468643108,0.15101864268546014,-0.21582324894713734,1.0934421669100436,0.03823693684509149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,1,1,43,81.1422206210479,-13.191741039915208,67.95047958113268,-0.0011303586860585847,-0.004787796121147446,0.011851822229961386,0.004919420947309004,0.9837949760536695,0.041370744647435426,-0.239443220260862,0.9965914040310623,0.04725867174780865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,success,1,1,32,18.16296669856413,-49.64028042255166,-31.477313723987532,-0.013033380906745122,-9.165830353918955e-05,-0.0030827491173686995,0.013033703199970298,1.0529144485449409,0.22901279198425514,-0.21045305088657718,1.056591704609749,0.03824908262116532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,success,1,2,31,-59.92618682028181,-28.934117829074395,91.13969535064379,-0.004391073172505514,0.004550114235920607,-0.00040859705326953604,0.006323374349682692,1.0921397850330887,0.03461432747327206,-0.19433637164453324,1.096437724052654,0.048406209023686794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,transport_stall,0,1,78,14.22419594112425,-35.84050545964041,158.38369048148385,0.022017128380502904,0.006131274978257501,0.0023660232560853032,0.02285490045881961,1.282840559586513,0.28403287655733295,-0.1640060664713048,1.2653490587164395,0.0411604280102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,success,1,1,82,50.60166007691098,51.886861352318206,-77.5114785707708,0.006217243050771603,-0.005753786261140966,0.00046277064027895566,0.008471137319820894,1.1155194539471949,0.18392283530564968,-0.1110218222192551,1.1163042269000465,0.0474737403278637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,success,1,1,31,30.52762744119969,-34.22464970927936,-3.6970222680796714,0.014106645358253046,0.0010893229555965249,-0.0006360633625901663,0.014148641905324756,1.0393969837672548,0.2565998984557975,-0.1422247909107585,1.0303916012276269,0.03972959663774646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,release_miss,0,1,69,36.82125895229953,-48.65313077756099,168.16812817473854,0.008316209424082111,0.0008098487638359079,0.002888767442075749,0.008355548707624094,1.2249611857348133,0.2400286945711273,-0.1850187119304712,1.2208929236643653,0.040921610497862165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,success,1,1,61,-20.91055370295413,53.53652061724836,-147.37403308570578,-0.01584800653310387,-0.0009553488075734178,-0.003933137675144328,0.01587677556739513,1.113025481850571,0.2093430794649207,-0.21082033775639702,1.1232384953710657,0.03955352323563979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
