episode,success,reached_hold,lift_rise,spawn_x,spawn_y,spawn_yaw,steps
0,1,1,0.15718101158857412,-0.0258784593972875,-0.3326232162698825,-0.5680406183060625,20
1,1,1,0.14020639691867154,0.035054224015901594,-0.26839125630690386,2.21782848265408,19
2,0,1,0.014940997198601758,0.2290639848999102,-0.11412365647330142,2.9676991937076345,28
3,1,1,0.06672720604551052,0.20894480021232414,-0.3371404017440577,2.989316512460062,27
4,1,1,0.10211387076339717,0.18184674388389568,-0.11077950581641355,0.21158126696325644,27
5,0,1,0.022725005401627696,0.22779180408495253,-0.0579024895226703,1.5180358960912033,41
6,1,1,0.13977301350681426,0.05780819523322575,-0.2974333079617465,1.2961322626438676,22
7,0,1,0.011373037810233577,0.12715482552857293,-0.4295448561919112,-0.07141258208674663,51
8,0,1,0.0015260318239864734,0.07716357549378929,-0.09698839167045947,-1.033781519166926,28
9,1,1,0.16686644747322432,-0.02773553022038458,-0.34940735247018234,-0.19846571001512928,22
10,0,1,0.02835045336427111,0.06793989216885564,-0.234767886734162,-0.6802588744181712,23
11,0,1,0.0,0.10704789537083018,-0.4297770709246621,-1.3007344518769473,49
12,1,1,0.07565332508772538,0.16787179649443223,-0.12991394866571315,-1.8918598704169558,26
13,0,0,,0.059600421237920115,-0.058933487719240174,-2.3507328911948866,200
14,0,1,0.023685263435910597,0.22219993339671806,-0.08807158354647887,-0.35327838147923646,121
15,1,1,0.1517765851847589,0.015002391527424053,-0.2840277955170402,-2.223446010950651,19
16,0,1,0.02572369513465711,-0.0387405982194485,-0.40696933450508865,0.6359764922266545,24
17,1,1,0.0901417243151259,0.20697669610323172,-0.3946613736927762,2.382385434346618,27
18,0,1,0.010366565347946888,-0.03622669222528235,-0.3013208958022746,-1.5711409963501215,23
19,1,1,0.16133550499442684,0.1035345977756151,-0.347514982521151,2.3869344508710046,23
20,0,1,0.01522007467165487,0.20343808330210617,-0.26953313053176053,-3.0222224187502333,28
21,1,1,0.11928155583805611,0.21880845786780984,-0.4449278815783236,-1.2091983923055207,31
22,1,1,0.11289866630078227,0.2254248657943218,-0.1305641074470718,1.5939250260493412,26
23,1,1,0.1510015176169931,-0.011258402384967975,-0.3154274037516501,2.622448975197822,21
24,0,0,,0.20641147172746893,-0.38485514072127125,-2.819142648831377,200
25,1,1,0.12222735439022059,0.11464763225197311,-0.21490586617982346,0.9689774827558052,22
26,1,1,0.1022712071067664,0.1435564498500337,-0.38343742523467117,0.28171691273643107,25
27,1,1,0.14525024501643047,0.13953390634035756,-0.15532503554778043,2.8791019462154885,25
28,1,1,0.09548832168355292,0.06227044144505907,-0.31025185396237553,0.20510430832144003,23
29,1,1,0.13085715462709524,0.09843764851163414,-0.19720797631728348,0.41207081374386134,22
30,1,1,0.12952719117045164,0.09436865199508934,-0.39912107672927455,-3.028116746204981,25
31,0,1,0.008192215796724578,0.1794502174113327,-0.08467409933590625,2.0065931446680887,31
32,0,0,,0.14684421863558433,-0.13485900966115305,2.568765560755771,200
33,0,1,0.013504817280910908,0.07570155032378259,-0.07196753191267186,-1.2495043010810654,21
34,0,1,0.000817933041721064,0.2442411861782089,-0.40531518243330217,-1.3870000121790682,28
35,0,1,0.01297255552856047,0.03211009326535039,-0.1365756638169564,1.0301666471559798,23
36,0,1,0.007015411237017211,-0.008045290867487329,-0.40946141208498876,-2.34389749359949,23
37,1,1,0.1440632232582314,0.15610236380170636,-0.1487534094349986,-3.107687699171343,35
38,1,1,0.16724490643315792,0.015737218893875943,-0.10421778959561717,-2.6783227970245695,20
39,0,1,0.009454337787904388,0.05929961253556383,-0.4426075024142968,-2.1980592407810513,34
40,1,1,0.15393761023871966,0.17777040981795428,-0.33095437731242416,-0.5946694429565931,28
41,0,0,,0.22615350777687876,-0.12854460758055397,-0.7463883341108979,200
42,0,0,,0.032667772512995574,-0.05778918821989559,1.7562812856388264,200
43,1,1,0.10627508951712172,0.17962570864858532,-0.3846728339470289,3.0365334218405433,27
44,0,0,,-0.02960234132715381,-0.3195649085764723,-0.09728865794856592,200
45,1,1,0.09133283782195023,-0.02500366885357705,-0.3806418618003916,-2.876069551979692,21
46,0,1,0.02088876793329153,0.1312956908112454,-0.37866804613974414,-2.3365396279658106,27
47,0,1,0.01777999595436419,0.11167630138709703,-0.2888678228560896,1.0138439442050633,25
48,1,1,0.17526156293052164,0.039588997734179315,-0.26540534041703623,0.2929605340934089,28
49,0,1,0.010848935685400796,0.15110443665095658,-0.27738476718120125,-1.1797383851911365,25
50,1,1,0.1421431183063795,0.02999027690812174,-0.16984856094671968,0.5418869119937796,32
51,0,0,,-0.004011669769630133,-0.07033353885849924,-0.3029329656016533,200
52,1,1,0.16114117384009297,0.22924998683718895,-0.34361181941373253,-2.4747697118304735,27
53,0,1,0.03130834042216413,0.01683204343870555,-0.4318882825252017,1.280182539081246,25
54,0,1,0.02490784642066113,0.10400937407021274,-0.24759692903027142,0.6535174049578275,38
55,0,1,0.02406078522074384,0.20221822555350277,-0.3543245809885007,-0.64702764122384,30
56,0,1,0.015146807970129128,0.0009735085889987921,-0.33283979622343074,-2.403763345939134,22
57,0,1,0.0022653300678071586,0.03154637373828045,-0.2980693363474598,0.9044506733642387,24
58,0,1,0.05965054611707432,0.21036939076287792,-0.44443573109276313,-2.0132923809160106,32
59,1,1,0.15188116868612267,0.0051144639595325225,-0.19526987282925665,-2.364311487079413,18
60,1,1,0.16130719794836368,0.16050908420916848,-0.3573334257207631,1.5619435643041066,26
61,1,1,0.14380037000063361,0.01716672923485106,-0.4166869662004059,0.6991715879430203,23
62,0,1,0.024617741701164042,0.027612001945836143,-0.16748751139922735,-0.6152129694387248,19
63,1,1,0.144953464869228,0.05895720529479577,-0.275115885803672,2.237511284099546,28
64,1,1,0.07106151984156528,0.23312365576410987,-0.3578713612498374,0.9432543314307846,29
65,0,1,0.01895219325350861,0.22052264493253376,-0.28078360718394324,-0.8184561072313044,30
66,0,0,,0.09995100242299329,-0.1461694190518098,-1.2265826187307936,200
67,1,1,0.10070762537914457,0.048630973197308566,-0.2825802513357233,0.889527749115528,21
68,0,1,0.011614963611386475,0.045574536270300114,-0.33536546694385894,-0.15735210122571466,24
69,1,1,0.1389471181098728,0.06789126014644649,-0.24344492868732698,2.3578090988984433,29
70,0,1,0.028955572798049944,0.14702045774780004,-0.42555292916085546,-1.0651576776921987,27
71,1,1,0.1441145232811064,0.11855371401456072,-0.3729208146602066,-0.14348487629933196,27
72,1,1,0.14673044926634227,-0.012507624778239676,-0.32120947915799664,2.5154437120161135,21
73,0,1,0.024869814089751197,0.17360229813543415,-0.29604035179583876,1.7637408223294926,29
74,1,1,0.15347494041185605,0.16559484154507131,-0.21995988036176226,1.2487506070377725,25
75,1,1,0.14698812582708076,0.013526131982603162,-0.1049075761206783,2.627611529079439,28
76,1,1,0.10150769261157744,0.04836728565645995,-0.34425000442716525,0.9104719962646789,24
77,1,1,0.13553862815256312,-0.03539747781529015,-0.24240283198744178,-0.3547008793995554,18
78,0,1,0.006164239916467529,-0.03166281634817952,-0.3946389956606202,-2.976711981497569,21
79,0,1,0.0016980955900468553,0.08971660336023876,-0.3520506748550936,-2.7751844432532846,32
80,1,1,0.12498362174150068,0.04781909642954145,-0.10993077648451416,-2.378384110527167,20
81,1,1,0.18861581153617935,0.1702956763007183,-0.2251883746968145,1.7153460767440716,25
82,1,1,0.12406194619413946,0.16900628276051177,-0.3902370307368579,0.6728446479881173,28
83,0,1,0.008499086227557129,-0.005111802405912913,-0.3339045047934308,-2.780187932935996,21
84,0,1,0.04898399188661695,-0.012610056015775445,-0.09566494285673594,1.6096898204157895,19
85,1,1,0.06583933076383153,0.08478302547558911,-0.39146887205956704,1.663953166548856,27
86,1,1,0.1495272725190382,0.07952247090348381,-0.43762767870029673,-0.6310246298364703,28
87,1,1,0.13091855624795068,0.13746878167093296,-0.1527837563557603,-1.8092341378067793,23
88,1,1,0.14776428306550315,0.08792535514022054,-0.2375259770705754,-2.017476452490359,21
89,0,0,,0.06124044110934038,-0.18115669373619614,-2.7682091119923835,200
90,1,1,0.1163622831478971,0.01912339885516387,-0.14238566698684357,1.8388994992518652,21
91,0,1,0.0527572156091598,0.04347123346295542,-0.09795680035055404,2.2930828059708954,19
92,1,1,0.10177340561215231,0.13660471097445406,-0.21590687304804126,1.1085496479758958,25
93,1,1,0.09502924566375304,0.18074113105748718,-0.2100696663138382,3.032867110801573,27
94,0,1,0.04162459959269438,0.19393532753382428,-0.23271755544793982,1.3900564758949177,28
95,1,1,0.17054600872951686,0.03882214881845647,-0.342172221177001,1.9855836099200794,21
96,1,1,0.030188110885181474,0.24388107690131844,-0.22551281286424,-0.8688569310271064,36
97,1,1,0.2756349675809112,0.09662501372232773,-0.25057784621813856,1.0846996645408722,23
98,1,1,0.08147759163401103,0.20865325120247236,-0.4281600774595533,0.605779271891758,31
99,1,1,0.11292709487977859,0.19513530066877127,-0.16089916309950758,0.62924471096693,28
100,0,0,,-0.0363624177803408,-0.06576065367095574,0.6440392571628412,200
101,1,1,0.08505655920171629,0.170069335844918,-0.3908967204202106,2.0105483409865146,29
102,1,1,0.1292641182385642,0.24480553907032515,-0.34107097421692656,1.0768069506404898,37
103,0,1,0.04256418018541264,0.13267324628289126,-0.27360699072226524,0.9783951126495002,27
104,1,1,0.1719476306584249,0.054023207817542385,-0.23160090497354033,1.342071433125468,21
105,0,1,0.035914402360953224,-0.017338870657718622,-0.1736367105293395,-1.1533898293706895,19
106,1,1,0.14672719292944203,0.17431597215075784,-0.1772049149865771,1.326232539515941,25
107,1,1,0.13240531135957823,0.09676990698333451,-0.2957673195991276,1.2778822340506892,22
108,1,1,0.13753146443387387,0.15386266750646657,-0.3475213786800174,-0.22457237604981842,26
109,1,1,0.14693515843262106,0.07149791884483658,-0.31489889979012964,-2.6830297377374124,21
110,1,1,0.09146213652117519,0.22854561540429447,-0.11211954522828194,1.888533865321286,27
111,1,1,0.038077883943052115,0.18738560211836056,-0.30407025632192897,-1.5627904204852838,27
112,1,1,0.12435822591577417,0.1246449690162568,-0.09687229688131421,-2.5292542194139664,23
113,0,1,0.0038349478031466377,0.10093650264447665,-0.06198625299641086,-2.7174222509251935,26
114,0,0,,-0.014622782900044873,-0.3565698066011189,0.41393727136585606,200
115,1,1,0.14368385981398768,0.03245029809382602,-0.3666697541409293,2.2459699580836956,22
116,1,1,0.17246032369842434,0.11012697640890681,-0.1918062811672715,2.738438794907559,24
117,0,1,0.010303475664515727,0.16973059489288642,-0.26864427247110634,-2.1818681140023037,27
118,1,1,0.1762574668757283,0.2183108028212093,-0.2786722731619501,1.1562007322534755,26
119,1,1,0.11899204101378102,0.13492889939326305,-0.3462518729818484,-0.02797526160276156,27
120,1,1,0.07891844460106023,0.216706249339581,-0.3464866653966062,-2.3150083957317764,28
121,1,1,0.1360699387984481,0.06191860365622902,-0.14869793743946824,-2.2367334594696646,20
122,1,1,0.11824856261267236,0.17190914043810954,-0.38892444596138037,-2.147163545795155,27
123,1,1,0.17487404023392017,0.008180223446618118,-0.13586932535739038,1.5981782691542163,19
124,0,1,0.0,0.22715868673904038,-0.07375574361295184,-1.7137895286209741,37
125,1,1,0.06945495037929916,0.2327760157924108,-0.3024025052383804,-1.4040035196929257,28
126,1,1,0.13390667332654782,0.025715276027052925,-0.41571604416235863,-0.9776509176993857,25
127,1,1,0.1448504526049954,0.2053975592652621,-0.1846740847680181,0.7042286397613873,26
128,0,1,0.08160154575896006,-0.03268914429506281,-0.22852893998466833,0.47923433557333067,26
129,1,1,0.13791632647455432,0.12681577783407483,-0.2711149038279766,-2.2097162296220034,23
130,1,1,0.14224804152867976,0.11270070462312173,-0.11828606520328144,-2.462955540825701,23
131,0,1,0.01041766653258891,-0.005942374876962642,-0.22291573998144765,-2.893650196475476,21
132,1,1,0.09000121689453722,0.03196348305327265,-0.38255421212915264,2.684334961868808,25
133,0,1,0.0031547868550694247,-0.04330410174126542,-0.3290771703431038,-0.026904128372789125,23
134,1,1,0.13929068013936985,0.14422392643604376,-0.28363481155916204,-0.3491930609542149,25
135,0,1,0.00047718326571233316,0.21628809644981511,-0.2571987896864819,-0.1880570741585557,36
136,0,1,0.01510232135105094,-0.02725562929420028,-0.4220045588954444,3.022312086564391,23
137,0,1,0.015365338811963558,0.15417140612736088,-0.28554608840408774,-2.1085930541106053,26
138,0,1,0.0003900461245261999,0.2190261303908495,-0.06816234968028484,1.151350891186786,62
139,1,1,0.09684407579116683,0.13917079551363737,-0.13489777321444785,-3.1271726038655094,25
140,1,1,0.14538425208514816,0.09258477892495787,-0.14269766979021126,1.0379918299718347,21
141,0,1,0.002593142800153103,0.1279898775080871,-0.08183933981399583,0.5539615465709966,38
142,1,1,0.20992224629879797,-0.0372819611896299,-0.37548691956008423,-2.087523763257494,21
143,0,1,0.0036736716849292694,0.23899163097917836,-0.2602801010142093,2.844525399292972,36
144,1,1,0.13767434754821672,2.0266969634863408e-05,-0.27746665157188793,-0.9794980997963292,20
145,1,1,0.14900252686916027,0.07721637257022675,-0.16697877068091027,-1.9417132790219829,21
146,0,0,,0.08418796496242317,-0.09210330633316027,-1.1222847497728587,200
147,1,1,0.14694887188527872,0.148208838087673,-0.41712365006324614,1.8109914187709266,27
148,0,0,,0.07271769412593007,-0.17871134288555784,0.9363677062497069,200
149,1,1,0.186000223663204,0.1013104885826265,-0.13263493278962313,1.3474250393280565,22
150,0,0,,0.20285321676741921,-0.14334775294394825,-1.797489407693054,200
151,0,1,0.021034601132113973,0.027717288358324085,-0.3474540115268159,-3.0591028847254735,23
152,1,1,0.03157486439545376,0.041604592567556234,-0.3665377108407415,-2.38123857799596,22
153,1,1,0.14352052180608244,-0.014457483702266571,-0.3210436866851803,-2.1488823215965116,20
154,1,1,0.13681706490660783,0.037349635962047364,-0.26904512026824257,1.1061055127819022,20
155,0,0,,0.04447433165309653,-0.3427597369816319,-0.10793728844855478,200
156,0,1,0.02453668414729593,0.0601592345330966,-0.21973251637099384,-0.5868648107082611,24
157,1,1,0.15301749461175662,0.1571960255376159,-0.10555661280217138,-1.6200206004210307,25
158,1,1,0.1412735731978615,0.12084951953264511,-0.14075807781634908,0.5730788976468062,22
159,1,1,0.08440975739471979,0.2441419539148887,-0.24462935332642802,0.729138885487503,82
160,1,1,0.12597254301867655,-0.014246293414677952,-0.29526542105403386,-0.895215370421686,20
