episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,151,7,2,1,1,1
1,latch,1,134,7,3,1,2,1
2,latch,1,159,7,1,1,0,1
3,latch,1,168,7,3,1,2,1
4,latch,1,114,7,1,1,0,1
5,latch,1,84,7,1,1,0,1
6,latch,1,113,7,1,1,0,1
7,latch,1,129,7,1,1,0,1
8,latch,0,175,8,1,1,0,1
9,latch,1,162,7,1,1,0,1
10,latch,1,134,7,2,1,1,1
11,latch,1,152,7,1,1,0,1
12,latch,1,174,7,1,1,0,1
13,latch,1,144,7,1,1,0,1
14,latch,1,148,7,1,1,0,1
15,latch,1,156,7,3,1,2,1
16,latch,1,152,7,1,1,0,1
17,latch,1,124,7,1,1,0,1
18,latch,1,129,7,1,1,0,1
19,latch,1,115,7,1,1,0,1
20,latch,1,136,7,1,1,0,1
21,latch,0,172,8,1,1,0,1
22,latch,1,143,7,1,1,0,1
23,latch,1,138,7,3,1,2,1
24,latch,1,167,7,2,1,1,1
25,latch,1,130,7,2,1,1,1
26,latch,0,250,8,1,1,0,0
27,latch,0,268,8,3,1,2,1
28,latch,0,178,8,3,1,2,1
29,latch,0,250,8,2,1,1,1
30,latch,1,123,7,1,1,0,1
31,latch,0,250,8,1,1,0,0
32,latch,1,127,7,1,1,0,1
33,latch,1,125,7,1,1,0,1
34,latch,1,158,7,2,1,1,1
35,latch,1,137,7,1,1,0,1
36,latch,1,143,7,1,1,0,1
37,latch,1,162,7,1,1,0,1
38,latch,1,137,7,1,1,0,1
39,latch,1,139,7,1,1,0,1
40,latch,1,130,7,1,1,0,1
41,latch,1,149,7,3,1,2,1
42,latch,1,128,7,1,1,0,1
43,latch,1,148,7,1,1,0,1
44,latch,1,81,7,1,1,0,1
45,latch,1,159,7,1,1,0,1
46,latch,1,152,7,1,1,0,1
47,latch,1,153,7,1,1,0,1
48,latch,1,126,7,1,1,0,1
49,latch,1,134,7,2,1,1,1
