episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,0,136,8,28,5,0,1
1,latch,1,159,7,32,4,0,1
2,latch,1,134,7,27,4,0,1
3,latch,0,250,8,50,5,0,1
4,latch,1,162,7,33,3,0,1
5,latch,0,328,8,66,3,0,1
6,latch,1,159,7,32,4,0,1
7,latch,1,135,7,27,4,0,1
8,latch,1,136,7,28,6,0,1
9,latch,1,134,7,27,4,0,1
10,latch,0,250,8,50,50,0,0
11,latch,1,153,7,31,3,0,1
12,latch,1,157,7,32,5,0,1
13,latch,1,143,7,29,4,0,1
14,latch,1,144,7,29,3,0,1
15,latch,1,125,7,25,4,0,1
16,latch,1,130,7,26,3,0,1
17,latch,1,126,7,26,3,0,1
18,latch,1,157,7,32,4,0,1
19,latch,1,113,7,23,4,0,1
20,latch,0,250,8,50,48,0,0
21,latch,1,100,7,20,4,0,1
22,latch,1,134,7,27,4,0,1
23,latch,1,136,7,28,5,0,1
24,latch,0,251,8,51,48,0,1
25,latch,1,139,7,28,6,0,1
26,latch,0,256,8,52,49,0,1
27,latch,1,133,7,27,5,0,1
28,latch,0,334,8,67,3,0,1
29,latch,0,259,8,52,4,0,1
30,latch,1,127,7,26,5,0,1
31,latch,1,167,7,34,25,0,1
32,latch,1,158,7,32,6,0,1
33,latch,1,142,7,29,5,0,1
34,latch,0,143,8,29,5,0,1
35,latch,1,162,7,33,4,0,1
36,latch,1,155,7,31,4,0,1
37,latch,0,344,8,69,3,0,1
38,latch,1,101,7,21,4,0,1
39,latch,1,132,7,27,4,0,1
40,latch,1,105,7,21,3,0,1
41,latch,1,122,7,25,4,0,1
42,latch,1,132,7,27,3,0,1
43,latch,1,129,7,26,19,0,1
44,latch,1,163,7,33,19,0,1
45,latch,1,121,7,25,4,0,1
46,latch,1,160,7,32,6,0,1
47,latch,1,175,7,35,28,0,1
48,latch,1,130,7,26,4,0,1
49,latch,1,153,7,31,3,0,1
