episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,148,7,30,4,0,1
1,latch,0,250,8,50,48,0,1
2,latch,1,158,7,32,4,0,1
3,latch,1,132,7,27,3,0,1
4,latch,0,122,8,25,7,0,1
5,latch,1,146,7,30,3,0,1
6,latch,1,133,7,27,4,0,1
7,latch,1,103,7,21,5,0,1
8,latch,1,159,7,32,4,0,1
9,latch,0,250,8,50,48,0,1
10,latch,1,118,7,24,4,0,1
11,latch,1,135,7,27,3,0,1
12,latch,1,150,7,30,3,0,1
13,latch,1,121,7,25,3,0,1
14,latch,0,250,8,50,3,0,1
15,latch,0,357,8,72,8,0,1
16,latch,1,101,7,21,5,0,1
17,latch,1,169,7,34,4,0,1
18,latch,0,254,8,51,5,0,1
19,latch,0,250,8,50,48,0,1
20,latch,0,335,8,67,4,0,1
21,latch,1,167,7,34,3,0,1
22,latch,1,156,7,32,17,0,1
23,latch,1,129,7,26,4,0,1
24,latch,1,119,7,24,4,0,1
25,latch,1,141,7,29,5,0,1
26,latch,1,148,7,30,5,0,1
27,latch,1,143,7,29,3,0,1
28,latch,1,126,7,26,4,0,1
29,latch,0,254,8,51,45,0,1
30,latch,1,159,7,32,15,0,1
31,latch,1,158,7,32,3,0,1
32,latch,1,141,7,29,4,0,1
33,latch,0,250,8,50,45,0,1
34,latch,1,157,7,32,13,0,1
35,latch,1,134,7,27,4,0,1
36,latch,1,163,7,33,4,0,1
37,latch,1,147,7,30,3,0,1
38,latch,1,134,7,27,5,0,1
39,latch,1,154,7,31,4,0,1
40,latch,1,82,7,17,4,0,1
41,latch,1,155,7,31,25,0,1
42,latch,1,151,7,31,5,0,1
43,latch,0,250,8,50,48,0,1
44,latch,1,142,7,29,3,0,1
45,latch,1,124,7,25,3,0,1
46,latch,1,84,7,17,3,0,1
47,latch,0,250,8,50,47,0,1
48,latch,1,146,7,30,3,0,1
49,latch,0,250,8,50,46,0,1
