episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,153,7,31,5,0,1
1,latch,1,118,7,24,5,0,1
2,latch,1,186,7,38,24,0,1
3,latch,1,140,7,28,8,0,1
4,latch,1,119,7,24,7,0,1
5,latch,1,120,7,24,4,0,1
6,latch,1,143,7,29,5,0,1
7,latch,0,321,8,65,4,0,1
8,latch,1,117,7,24,4,0,1
9,latch,0,250,8,50,48,0,1
10,latch,1,136,7,28,5,0,1
11,latch,0,250,8,50,49,0,1
12,latch,1,128,7,26,4,0,1
13,latch,1,144,7,29,5,0,1
14,latch,1,152,7,31,3,0,1
15,latch,1,156,7,32,10,0,1
16,latch,1,151,7,31,8,0,1
17,latch,0,119,8,24,6,0,1
18,latch,1,150,7,30,5,0,1
19,latch,1,153,7,31,7,0,1
20,latch,1,169,7,34,4,0,1
21,latch,0,137,8,28,5,0,1
22,latch,0,311,8,63,12,0,1
23,latch,0,151,8,31,4,0,1
24,latch,1,143,7,29,3,0,1
25,latch,0,143,8,29,4,0,1
26,latch,1,135,7,27,4,0,1
27,latch,0,351,8,71,5,0,1
28,latch,1,171,7,35,4,0,1
29,latch,0,313,8,63,12,0,1
30,latch,0,259,8,52,48,0,1
31,latch,0,250,8,50,11,0,0
32,latch,1,128,7,26,4,0,1
33,latch,1,92,7,19,3,0,1
34,latch,0,154,8,31,5,0,1
35,latch,1,134,7,27,5,0,1
36,latch,1,117,7,24,5,0,1
37,latch,1,109,7,22,5,0,1
38,latch,1,132,7,27,4,0,1
39,latch,0,256,8,52,48,0,1
40,latch,1,152,7,31,6,0,1
41,latch,1,150,7,30,19,0,1
42,latch,1,126,7,26,5,0,1
43,latch,1,135,7,27,3,0,1
44,latch,1,129,7,26,4,0,1
45,latch,1,160,7,32,3,0,1
46,latch,1,154,7,31,4,0,1
47,latch,0,278,8,56,4,0,1
48,latch,1,129,7,26,5,0,1
49,latch,1,131,7,27,5,0,1
