episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,134,7,27,21,0,1
1,latch,1,152,7,31,4,0,1
2,latch,1,159,7,32,4,0,1
3,latch,1,148,7,30,7,0,1
4,latch,1,128,7,26,4,0,1
5,latch,1,150,7,30,3,0,1
6,latch,1,160,7,32,32,0,1
7,latch,1,131,7,27,3,0,1
8,latch,1,149,7,30,3,0,1
9,latch,1,157,7,32,4,0,1
10,latch,1,143,7,29,3,0,1
11,latch,1,151,7,31,14,5,1
12,latch,1,156,7,32,3,0,1
13,latch,1,146,7,30,3,0,1
14,latch,1,138,7,28,17,0,1
15,latch,1,152,7,31,4,0,1
16,latch,1,165,7,33,4,0,1
17,latch,1,156,7,32,3,0,1
18,latch,0,343,8,69,63,0,1
19,latch,1,157,7,32,23,0,1
20,latch,1,110,7,22,4,0,1
21,latch,1,165,7,33,9,0,1
22,latch,0,314,8,63,7,0,1
23,latch,1,138,7,28,4,0,1
24,latch,1,129,7,26,4,0,1
25,latch,1,131,7,27,4,0,1
26,latch,1,145,7,29,4,0,1
27,latch,1,128,7,26,4,0,1
28,latch,0,346,8,70,36,0,1
29,latch,1,126,7,26,4,0,1
30,latch,1,137,7,28,3,0,1
31,latch,1,131,7,27,4,0,1
32,latch,1,119,7,24,4,0,1
33,latch,1,155,7,31,4,0,1
34,latch,1,115,7,23,3,0,1
35,latch,1,152,7,31,4,0,1
36,latch,0,105,8,21,6,0,1
37,latch,1,170,7,34,4,0,1
38,latch,1,142,7,29,16,0,1
39,latch,1,91,7,19,3,0,1
40,latch,1,120,7,24,4,0,1
41,latch,1,100,7,20,4,0,1
42,latch,1,98,7,20,4,0,1
43,latch,1,133,7,27,3,0,1
44,latch,1,158,7,32,26,0,1
45,latch,0,127,8,26,6,0,1
46,latch,1,127,7,26,3,0,1
47,latch,1,119,7,24,3,0,1
48,latch,1,131,7,27,4,0,1
49,latch,1,122,7,25,4,0,1
