episode,mode,success,steps,phase,ticks,detections,truth_fallback_steps,latched
0,latch,1,102,7,21,4,0,1
1,latch,0,330,8,66,3,0,1
2,latch,1,163,7,33,4,0,1
3,latch,1,139,7,28,3,0,1
4,latch,1,150,7,30,5,0,1
5,latch,1,154,7,31,4,0,1
6,latch,1,174,7,35,9,0,1
7,latch,0,261,8,53,48,0,1
8,latch,0,144,8,29,4,0,1
9,latch,1,138,7,28,3,0,1
10,latch,1,118,7,24,6,0,1
11,latch,1,133,7,27,5,0,1
12,latch,1,137,7,28,5,0,1
13,latch,1,136,7,28,4,0,1
14,latch,0,303,8,61,4,0,1
15,latch,1,173,7,35,4,0,1
16,latch,0,146,8,30,6,0,1
17,latch,1,150,7,30,3,0,1
18,latch,1,148,7,30,4,0,1
19,latch,1,128,7,26,5,0,1
20,latch,1,133,7,27,4,0,1
21,latch,1,142,7,29,3,0,1
22,latch,1,142,7,29,6,0,1
23,latch,0,352,8,71,38,0,1
24,latch,0,264,8,53,5,0,1
25,latch,1,136,7,28,5,0,1
26,latch,1,129,7,26,9,0,1
27,latch,1,150,7,30,4,0,1
28,latch,1,104,7,21,20,0,1
29,latch,1,143,7,29,3,0,1
30,latch,1,140,7,28,4,0,1
31,latch,1,151,7,31,4,0,1
32,latch,1,131,7,27,4,0,1
33,latch,0,140,8,28,8,0,1
34,latch,1,107,7,22,4,0,1
35,latch,0,135,8,27,5,0,1
36,latch,0,127,8,26,8,0,1
37,latch,0,320,8,64,55,0,1
38,latch,0,311,8,63,9,0,1
39,latch,1,150,7,30,3,0,1
40,latch,1,135,7,27,4,0,1
41,latch,1,151,7,31,4,0,1
42,latch,1,156,7,32,7,0,1
43,latch,1,165,7,33,20,0,1
44,latch,1,132,7,27,4,0,1
45,latch,1,156,7,32,3,0,1
46,latch,1,163,7,33,4,0,1
47,latch,0,315,8,63,4,0,1
48,latch,0,250,8,50,47,0,1
49,latch,1,123,7,25,3,0,1
