episode,step,phase,detected,err_mm,dist_eef_obj,grasped
3,27,0,0,,0.007557924407806947,1
3,30,0,0,,0.005879940108568524,1
3,33,1,0,,0.004975672363131236,1
3,36,1,0,,0.004572350467838126,1
3,39,1,0,,0.004280531070919541,1
3,42,1,0,,0.004015675712684916,1
3,45,1,0,,0.0037841983733679606,1
3,48,1,0,,0.0035525616622605603,1
3,51,1,0,,0.003326386581804335,1
3,54,2,0,,0.0032164457498871563,1
3,57,2,0,,0.0031090750626774177,1
3,60,2,0,,0.0030662497015174297,1
3,63,2,0,,0.0030149451021407253,1
3,66,2,0,,0.002939619551617513,1
3,69,2,0,,0.0028854362192896293,1
3,72,2,0,,0.002860208159545837,1
3,75,2,0,,0.0028606103520248086,1
3,78,2,0,,0.0030287400119573473,1
3,81,2,0,,0.0028814693467153936,1
3,84,2,0,,0.0028754978358833546,1
3,87,2,0,,0.002869859521216423,1
3,90,2,0,,0.0028726074622824962,1
3,93,2,0,,0.0028725358799655755,1
3,96,2,0,,0.002870281867044572,1
3,99,2,0,,0.0028676576631943515,1
3,102,2,0,,0.0028664305766565295,1
3,105,3,0,,0.0028642951526187724,1
3,108,3,0,,0.002845871503645721,1
3,111,3,0,,0.0028418408893073122,1
3,114,3,0,,0.0028416877842808584,1
3,117,3,0,,0.0028421153672555256,1
3,120,3,0,,0.002841131586962135,1
3,123,3,0,,0.002839270061201826,1
3,126,4,0,,0.0028369800804621593,1
3,129,5,0,,0.0027865617911589508,1
3,132,5,0,,0.0023104003915717566,0
3,135,6,0,,0.0143581289083657,0
3,138,6,0,,0.08711493844020068,0
3,141,6,0,,0.3383687407214913,0
3,144,6,0,,0.7801433792061635,0
4,0,0,1,25.922052816178184,0.20529664264830016,0
4,3,0,1,32.14807131875501,0.15426356755012757,0
4,6,0,1,32.14838815838106,0.121011842733324,0
4,9,0,1,32.14838818929962,0.07835477579801094,0
4,12,0,1,32.148388194339255,0.03589536049669286,0
4,15,0,0,,0.011061400718671758,1
4,18,0,0,,0.011732093057235833,1
4,21,0,0,,0.012555145430841583,1
4,24,1,1,17.763038813552754,0.012228399077627853,1
4,27,1,1,49.847456107172256,0.012308951110054624,1
4,30,1,1,23.374158104273874,0.01241279131280647,1
4,33,1,1,26.020110179872177,0.012521915758991873,1
4,36,1,1,26.348173462047836,0.012612412407460027,1
4,39,1,1,31.490660351453702,0.012605574525925615,1
4,42,1,0,,0.012618758644605786,1
4,45,2,1,16.706047362064915,0.012637631866278714,1
4,48,2,1,43.889443921742824,0.012662557363157658,1
4,51,2,1,16.04145417488144,0.012691419868897554,1
4,54,2,1,28.129932890952585,0.0127229176994576,1
4,57,2,1,16.21354458105848,0.012745958616629974,1
4,60,2,1,21.367325583587327,0.01278683668869506,1
4,63,2,0,,0.01283476346234888,1
4,66,2,0,,0.012887047251238747,1
4,69,2,1,16.7647656335729,0.012936509628269222,1
4,72,2,1,16.705902611617297,0.012980556473994197,1
4,75,2,1,21.65654858114406,0.013017746483354093,1
4,78,2,0,,0.013047482649249929,1
4,81,3,0,,0.013070197383337355,1
4,84,3,0,,0.013085117454211906,1
4,87,3,0,,0.013094473866434829,1
4,90,3,0,,0.013100656956448534,1
4,93,3,0,,0.013105262080978727,1
4,96,3,0,,0.013108929843477418,1
4,99,3,0,,0.013111849771091262,1
4,102,4,0,,0.013114168173288648,1
4,105,4,0,,0.013116630545711477,1
4,108,4,0,,0.013118772227133499,1
4,111,4,0,,0.013120544092930208,1
4,114,4,0,,0.013122000945691915,1
4,117,4,0,,0.013123226094747255,1
4,120,4,0,,0.013124297464336231,1
4,123,4,0,,0.01312527564234099,1
4,126,4,0,,0.013126203255119604,1
4,129,4,0,,0.013127107908057685,1
4,132,5,0,,0.013127980028463708,1
4,135,5,0,,0.013128844910128052,1
4,138,5,0,,0.08261223541617348,0
4,141,6,1,18.81120331164306,0.3667686430146039,0
5,0,0,1,27.598556974327042,0.18036577805826248,0
5,3,0,1,19.04260608752884,0.1437893320698173,0
5,6,0,1,19.042793402859445,0.10896816476355725,0
5,9,0,1,19.042793416984445,0.06836522955716726,0
5,12,0,1,19.04279341578871,0.03379628153064919,0
5,15,0,0,,0.004745208364946828,0
5,18,0,0,,0.0067132427612242055,1
5,21,0,0,,0.007338141986245684,1
5,24,1,0,,0.007270093439282385,1
5,27,1,0,,0.00716541490417363,1
5,30,1,0,,0.007172409142652263,1
5,33,1,0,,0.007203142761253326,1
5,36,1,0,,0.007246268778935158,1
5,39,1,0,,0.007290120726367088,1
5,42,1,0,,0.007324295108304234,1
5,45,2,0,,0.00733011383535182,1
5,48,2,0,,0.007296576147948256,1
5,51,2,0,,0.0072560854859152115,1
5,54,2,0,,0.007219003223467979,1
5,57,2,0,,0.007201271026482858,1
5,60,2,0,,0.007228465951614732,1
5,63,3,0,,0.007295744842999068,1
5,66,3,0,,0.007340190221762058,1
5,69,3,0,,0.007353891119991536,1
5,72,3,0,,0.007353704945721712,1
5,75,3,0,,0.007350023810594384,1
5,78,3,0,,0.007348947310996674,1
5,81,3,0,,0.007352237393569273,1
5,84,3,0,,0.0073585184795316085,1
5,87,3,0,,0.007365045166417364,1
5,90,3,0,,0.0073702835728487,1
5,93,4,0,,0.007373931378299635,1
5,96,4,0,,0.007376604500202319,1
5,99,4,0,,0.0073783471474945005,1
5,102,4,0,,0.007379458927350273,1
5,105,4,0,,0.0073801681119711575,1
5,108,4,0,,0.007380631941801606,1
5,111,4,0,,0.007380949435485554,1
5,114,4,0,,0.007381193848660984,1
5,117,4,0,,0.007381393162970771,1
5,120,4,0,,0.007381557040375066,1
5,123,5,0,,0.007381536084231013,1
5,126,5,0,,0.0073810717442537605,1
5,129,5,0,,0.062099094445673984,0
5,132,6,0,,0.3123683728171657,0
