episode,step,phase,detected,err_mm,dist_eef_obj,grasped
0,0,0,1,33.897821675091414,0.2953960057413273,0
0,3,0,1,18.676585056809678,0.21248421037366302,0
0,6,0,1,18.676803001258353,0.16758648288054304,0
0,9,0,1,18.67680301972585,0.11533379547107539,0
0,12,0,1,18.67680302037771,0.0517309336381659,0
0,15,0,0,,0.004519236099355131,0
0,18,0,0,,0.009136520217114065,0
0,21,0,1,19.044983103395385,0.01313511103601725,1
0,24,0,1,31.773106530746936,0.013277878325114234,1
0,27,0,1,41.3388510143035,0.013501172171017884,1
0,30,1,0,,0.013709823499350097,1
0,33,1,0,,0.013807595117487416,1
0,36,1,0,,0.013853947477083685,1
0,39,1,0,,0.013875553954687559,1
0,42,1,0,,0.013885472062920106,1
0,45,1,0,,0.013890036214489478,1
0,48,2,0,,0.013892254232221322,1
0,51,2,0,,0.01390689384052271,1
0,54,2,0,,0.013935566112095064,1
0,57,2,0,,0.013973735411830933,1
0,60,2,0,,0.014017714270154464,1
0,63,2,0,,0.014071076292107578,1
0,66,2,0,,0.014141053432768128,1
0,69,2,0,,0.014230537516420862,1
0,72,2,0,,0.014339225167922692,1
0,75,2,0,,0.014460916712496321,1
0,78,2,0,,0.01456238158095672,1
0,81,2,0,,0.014627805501112794,1
0,84,2,0,,0.01467508086057304,1
0,87,2,0,,0.014713210544958034,1
0,90,2,0,,0.014758191591141437,1
0,93,2,0,,0.014792242010003655,1
0,96,3,0,,0.014829347590942062,1
0,99,3,0,,0.014855187383901581,1
0,102,3,0,,0.014892931797771094,1
0,105,3,0,,0.014953744631561164,1
0,108,3,0,,0.015034393306912579,1
0,111,3,0,,0.015114083401449967,1
0,114,3,0,,0.015168324798563282,1
0,117,3,0,,0.015195141180865101,1
0,120,4,0,,0.015206232849637716,1
0,123,4,0,,0.015211063832638877,1
0,126,4,0,,0.015213474251395251,1
0,129,4,0,,0.015214720156557683,1
0,132,4,0,,0.015215629784435764,1
0,135,4,0,,0.015216314822969989,1
0,138,4,0,,0.015217187875990574,1
0,141,4,0,,0.015217852917881493,1
0,144,4,0,,0.015218417529955121,1
0,147,4,0,,0.015218903140036719,1
0,150,5,0,,0.015219270185109617,1
0,153,5,0,,0.015266541844554556,0
0,156,6,0,,0.13493132814383696,0
0,159,6,0,,0.47897292938138686,0
1,0,0,1,33.060213137260604,0.39268851037964314,0
1,3,0,1,19.011882833406677,0.2988517642062361,0
1,6,0,1,19.012131270581953,0.2293501859836479,0
1,9,0,1,19.012131294967872,0.1887000915696577,0
1,12,0,1,19.012131299062112,0.13376601023248044,0
1,15,0,0,,0.08013051588783335,0
1,18,0,0,,0.02239985904747166,0
1,21,0,0,,0.008562831241671726,1
1,24,0,0,,0.013142788455047202,1
1,27,0,0,,0.014091654335735684,1
1,30,1,0,,0.013392985499467363,1
1,33,1,0,,0.011812657548308602,1
1,36,1,0,,0.011302970970609685,1
1,39,1,0,,0.01094893418426649,1
1,42,1,0,,0.010776862361286854,1
1,45,1,0,,0.010677326899363036,1
1,48,1,0,,0.010598146989365714,1
1,51,2,0,,0.0105853412856904,1
1,54,2,0,,0.01059552916122484,1
1,57,2,0,,0.010618010408687931,1
1,60,2,0,,0.010690096543840354,1
1,63,3,0,,0.010739220838167828,1
1,66,3,0,,0.01078165036308402,1
1,69,3,0,,0.010826444116648444,1
1,72,3,0,,0.010859949979354357,1
1,75,3,1,19.26229507488559,0.01085452536977607,1
1,78,3,1,19.01396498917872,0.010841700301735981,1
1,81,3,1,29.15011282212104,0.0107911638031357,1
