episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z,eef_x,eef_y,eef_z,grip_w,j0,j1,j2,j3,j4,j5,j6
0,transport_stall,0,1,77,-62.4965784696629,-13.990833570731017,-76.48741204039392,-0.011833229984226964,0.0014758540503835716,-0.00727641482184694,0.011924909938345097,0.8866488293887959,-0.042974317752630664,-0.14254898967899343,0.8811769414590801,0.05226290763418767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,1,88,-11.794642552483227,-9.86669800914268,158.33865943837412,0.001530947517642439,-0.0023336751686242403,0.0027221212070116935,0.0027910285011853468,0.9884499130789057,0.19284127124723183,-0.4642523359167753,0.9902626749481571,0.0393177467297451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,1,2,35,-7.105101375222639,23.96161090305613,16.85650952783349,-0.003014552972319874,-0.00017215110196313482,0.00012711020710962935,0.003019464459938171,0.9564994653679871,-0.012276294095998497,-0.1911074945876689,0.9568021431080014,0.039704924580623385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,success,1,2,41,86.4573853689771,-21.531327157188674,64.92605821178843,0.0018054210158701628,-2.7747995676111374e-05,0.0010473693912944361,0.0018056342364415037,0.9879908235808177,0.16757409304582585,-0.2264351441072981,0.9882505046425099,0.04680203146652484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,success,1,1,66,4.295448071670317,-35.59906261831131,148.696385453359,0.001103859593587874,0.0015617069167114226,-0.000738402481065918,0.0019124420242350576,0.9693096565117785,0.09348489318092115,-0.24387679277846008,0.9687762430739555,0.04427049239889365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,success,1,1,45,-12.935574399325118,49.14804140871347,36.212467009388355,0.012011233763961463,-0.0014845670190700468,0.0043386184400493275,0.012102630943998846,0.9931799652069723,0.05401878151706002,-0.19903576812659446,0.9920233896615287,0.03961402240875388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,success,1,1,78,5.9039065087292775,-18.584510032727728,167.31939647600157,-0.0045610192181800135,-0.008354099044066365,0.004019626768786297,0.00951808106430482,0.9884123836334612,0.169033827936215,-0.4659003516187386,0.9943511723743288,0.04630929214676835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,release_miss,0,1,46,23.9081115293131,0.7634307085062356,24.67154223781934,0.01016691337704694,-0.004900735521763887,0.004190531435693321,0.011286422651604643,0.9997734269294285,0.2090025560393235,-0.2631965133175401,1.002516345021799,0.05295554487362068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,success,1,1,80,87.44461725370722,2.40921443894675,-90.14616830734604,-0.008709227450062976,0.0034826310529019445,0.002501410288482727,0.009379731436857207,1.0078124950147387,0.2624211550468643,-0.43242744437939934,1.0106661624001747,0.05033256714500869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,success,1,1,67,42.540353813449734,-25.650785367309815,-163.11043155386008,-0.004579623817725349,-0.007694243659629204,-0.0028244254155615498,0.00895401249751314,0.9656424901414637,0.014295241946050849,-0.27224429135126166,0.9671195926867696,0.06111553711513721,0.0,0.0,0.0,0.0,0.0,0.0,0.0
