episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,0.8971,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,0,0,0.8927,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,0,0.9151,DONE_FAIL,348,,1,0,0,,0.0,0.0,0.0
3,1,0,0,0.9706,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,0.8644,DONE_FAIL,370,,1,0,0,,0.0,0.0,0.0
5,1,0,0,0.9301,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,0,0,0.8546,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.886,DONE_OK,247,,0,0,0,,0.0,0.0,0.0
8,1,0,0,0.8944,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,0,0,0.8042,DONE_FAIL,383,,1,0,0,,0.0,0.0,0.0
10,1,0,0,0.8708,DONE_FAIL,385,,1,0,0,,0.0,0.0,0.0
11,1,0,0,0.8182,DONE_FAIL,570,,2,0,0,,0.0,0.0,0.0
12,1,0,0,0.8486,DONE_FAIL,526,,1,0,0,,0.0,0.0,0.0
13,1,0,0,0.05,DONE_FAIL,499,,2,0,0,,0.0,0.0,0.0
14,1,1,1,0.8878,DONE_OK,241,,1,0,0,,0.0,0.0,0.0
15,1,0,0,0.8576,DONE_FAIL,455,,1,0,0,,0.0,0.0,0.0
16,1,0,0,0.8933,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,0,0,0.015,DONE_FAIL,440,,2,0,0,,0.0,0.0,0.0
18,1,0,0,0.915,DONE_FAIL,483,,1,0,0,,0.0,0.0,0.0
19,1,0,0,0.015,DONE_FAIL,522,,1,0,0,,0.0,0.0,0.0
20,1,0,0,0.8965,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,0,0.8701,DONE_FAIL,431,,1,0,0,,0.0,0.0,0.0
22,1,0,0,0.9551,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,0,0,0.05,DONE_FAIL,556,,2,0,0,,0.0,0.0,0.0
24,1,0,0,0.015,DONE_FAIL,559,,2,0,0,,0.0,0.0,0.0
25,1,0,0,0.015,DONE_FAIL,411,,1,0,0,,0.0,0.0,0.0
26,1,1,1,0.8772,DONE_OK,239,,0,0,0,,0.0,0.0,0.0
27,1,0,0,0.015,DONE_FAIL,499,,2,0,0,,0.0,0.0,0.0
28,1,0,0,0.9007,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
29,1,0,0,0.8391,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
30,1,0,0,0.015,DONE_FAIL,366,,1,0,0,,0.0,0.0,0.0
31,1,1,1,0.8669,DONE_OK,239,,1,0,0,,0.0,0.0,0.0
32,1,0,0,0.015,DONE_FAIL,516,,1,0,0,,0.0,0.0,0.0
33,1,0,0,0.8448,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
34,1,0,0,0.9749,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
35,1,0,0,0.05,DONE_FAIL,526,,2,0,0,,0.0,0.0,0.0
36,1,0,0,0.015,DONE_FAIL,380,,1,0,0,,0.0,0.0,0.0
37,1,0,0,0.015,DONE_FAIL,416,,1,0,0,,0.0,0.0,0.0
38,1,0,0,0.8851,DONE_FAIL,541,,1,0,0,,0.0,0.0,0.0
39,1,1,1,0.8729,DONE_OK,187,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.8963,DONE_OK,247,,1,0,0,,0.0,0.0,0.0
41,1,0,0,0.9132,DONE_FAIL,605,,2,0,0,,0.0,0.0,0.0
42,1,0,0,0.9047,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,0,0.8934,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
44,1,0,0,0.05,DONE_FAIL,463,,2,0,0,,0.0,0.0,0.0
45,1,0,0,0.015,DONE_FAIL,500,,1,0,0,,0.0,0.0,0.0
46,1,0,0,0.9568,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
47,1,0,0,0.8642,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
48,1,0,0,0.9795,TRANSPORT,652,,2,0,0,,0.0,0.0,0.0
49,1,0,0,0.9039,DONE_FAIL,549,,1,0,0,,0.0,0.0,0.0
