drop_step,drop_x,drop_y,drop_z,end_grasped,episode,in_spawn_box,joint_end,margin_10_before,margin_20_before,margin_40_before,margin_5_before,margin_end,margin_min,n_transport_entries,pinned_run_0.02,pinned_run_0.05,regrabbed,regrasps,steps,steps_left,success,tag,tr_len,warn_steps_0.02,warn_steps_0.05
133,0.05826111137866974,-0.31398436427116394,1.5896261930465698,0,0,1,4,-0.000387070800647038,-0.0003864473986929795,-0.0003841889889719674,-0.00038720642253142756,-0.0011873151272059346,-0.0003873446836406558,1,138,138,0,1,388,312,0,int8,138,-1,-1
,,,,0,1,,6,0.9174868886318794,1.0761589940391785,0.5168743794083173,0.8430261483491842,0.5762454362427021,7.029932502788938e-06,1,0,0,,0,127,,1,int8,63,0,0
,,,,0,2,,6,0.7621124569574889,0.796931810401242,0.8412792164838714,0.719605186738447,0.45767886747226516,0.5082628116471999,1,0,0,,0,120,,1,int8,57,0,0
,,,,0,3,,5,0.27024744797289424,nan,nan,0.4525721611415423,0.7951285971075075,0.17729792871402994,1,0,0,,0,41,,1,int8,14,0,0
,,,,0,4,,5,nan,nan,nan,0.027101022145380238,0.5481490508689593,-0.0003023751783977069,1,0,2,,0,54,,0,int8,9,0,2
,,,,0,5,,5,nan,nan,nan,0.039703216623730775,0.48109609996325187,0.004859792371413985,1,0,0,,0,51,,1,int8,7,0,0
,,,,1,6,,5,-0.00038092312300008757,-0.0003807907697730428,-0.000380711855202609,-0.0003806964538211055,-0.0003807912081983389,-0.0003809638649832081,1,300,300,,0,300,,0,int8,300,-1,-1
,,,,0,7,,6,0.2298250588324171,0.48871935692169455,0.46369050528094213,0.11247993482153662,0.0710529341302002,-0.0003148471929619312,1,1,2,,0,132,,0,int8,86,1,2
,,,,0,8,,6,0.6894564290130627,nan,nan,0.8467679815883571,0.6626014679459318,0.5384519219216779,1,0,0,,0,75,,1,int8,18,0,0
,,,,0,9,,5,0.8411541023762017,0.7494777683913885,0.6357726883968675,0.878571915420104,0.7970668476240972,0.6246497658509864,1,0,0,,0,108,,1,int8,41,0,0
,,,,0,10,,6,1.1403370627986242,1.1172004336780335,0.9132481700736501,1.1510940451763778,0.9197256071252748,0.7957755526548187,1,0,0,,0,111,,1,int8,49,0,0
,,,,0,11,,6,0.8489112350329004,1.0046961063411048,1.1147183599802943,0.783340848192192,0.5286709299971188,0.7421287250508599,1,0,0,,0,116,,1,int8,53,0,0
82,0.38988426327705383,0.2181885838508606,1.344504475593567,0,12,0,4,0.5783738176511226,0.5029503796523052,0.00022358414382861458,0.379845787099371,-0.0010404367225826938,-0.00360189182024738,1,0,0,0,1,337,363,0,int8,87,0,0
,,,,0,13,,3,0.34020784303206253,0.8803506387067372,0.502019518263106,0.1572744338561797,0.016912523822745912,0.005085508313757536,1,0,1,,0,104,,1,int8,57,0,1
,,,,0,14,,6,0.7323668796601107,0.9595709142299529,0.6833074503535261,0.6242253091920545,0.70178690372639,0.09406391126487668,1,0,0,,0,111,,1,int8,66,0,0
,,,,0,15,,6,0.44030165846260383,0.7340271887374401,0.5256651387452789,0.3269301115748915,0.00792610373993119,0.2643385544105823,1,0,0,,0,118,,1,int8,55,0,0
,,,,0,16,,6,1.2015289632970123,1.1978500411819408,0.4955036546865732,1.1274627982896825,0.8695691906912728,0.1341934777059839,1,0,0,,0,125,,1,int8,62,0,0
