drop_step,drop_x,drop_y,drop_z,end_grasped,episode,in_spawn_box,joint_end,margin_10_before,margin_20_before,margin_40_before,margin_5_before,margin_end,margin_min,n_transport_entries,pinned_run_0.02,pinned_run_0.05,regrabbed,regrasps,steps,steps_left,success,tag,tr_len,warn_steps_0.02,warn_steps_0.05
,,,,0,0,,6,0.22119869560372418,0.06362599585321504,nan,0.14764199636909403,-9.483771138540931e-05,-0.00776699673802117,1,2,3,,0,91,,1,int8,22,2,3
,,,,0,1,,5,0.006520699027167343,-0.00020445919683176328,-0.00033615525551766723,0.29143588936364573,0.2787081411789347,-0.006351789962216081,1,0,0,,0,95,,1,int8,40,0,0
23,0.14303214848041534,-0.09378477931022644,1.17985999584198,0,2,1,5,1.0553333014984347,0.7823397235130503,nan,1.2371180013173881,0.3950475439806014,0.7110565914197209,1,0,0,0,1,279,421,0,int8,28,0,0
,,,,0,3,,3,0.046868107021920125,0.09808822955163757,0.2842114563503232,0.034193312284371724,0.11865546613408501,-1.3295237373256441e-06,1,0,11,,0,124,,0,int8,72,0,11
,,,,0,4,,6,1.0294605762764457,1.213189856792963,1.2741387145352765,0.9515381005049715,0.7162774944484602,0.5736900360906478,1,0,0,,0,136,,1,int8,70,0,0
,,,,0,5,,6,0.9911306327637097,1.1467077174208569,1.1957687501631886,0.9211195292105556,0.6793891512409234,0.8782809337832425,1,0,0,,0,118,,1,int8,54,0,0
,,,,0,6,,6,0.8675089684812041,0.9149575879927734,0.5660283077546917,0.6777768416749101,0.537708070541628,-0.00027215413838188596,1,0,0,,0,139,,1,int8,71,0,0
,,,,0,7,,3,0.4403201905976758,0.4184468224377109,0.940362342279105,0.44537252244431313,0.5299775246798778,0.01122521660832998,1,0,0,,0,106,,1,int8,70,0,0
,,,,0,8,,3,0.2972289039388394,0.830912206188442,-1.2481373601769263e-05,0.1439240462647159,0.027054185421629143,-0.004318069074104702,1,0,0,,0,115,,1,int8,67,0,0
,,,,0,9,,6,nan,nan,nan,0.006969129634322613,-2.5443048897066944e-05,-3.07448432463886e-05,1,0,0,,0,36,,1,int8,6,0,0
,,,,0,10,,6,-0.00013497540235674066,nan,nan,0.009229234299302558,0.012902014703500164,-0.0003241385622732018,1,0,0,,0,83,,1,int8,14,0,0
,,,,0,11,,5,nan,nan,nan,0.0119896094825922,0.3548548083690801,0.0009565181643198528,1,0,0,,0,84,,1,int8,6,0,0
,,,,0,12,,5,-0.00032014892228815484,nan,nan,-0.0001589426148833617,0.08078067722826887,-0.0016691557434986848,1,10,10,,0,88,,1,int8,10,-1,-1
,,,,0,13,,5,0.8164452637250657,0.5054883775530077,nan,0.9378866006276656,0.8847923756846034,0.02984315617470301,1,0,0,,0,103,,1,int8,35,0,0
,,,,0,14,,6,0.9378815716036875,0.9673364767233158,0.6976508545327249,0.9289245995613012,0.40340417796823846,0.3909556700078829,1,0,0,,0,122,,1,int8,56,0,0
,,,,0,15,,5,0.18379934750701477,nan,nan,0.3543806480154972,0.5083225450793543,0.028689118419408466,1,0,0,,0,87,,1,int8,16,0,0
,,,,0,16,,5,0.004555487889731591,nan,nan,0.12155148968802454,0.2268598474311001,0.004555487889731591,1,0,0,,0,86,,1,int8,10,0,0
44,0.3083798587322235,-0.014721385203301907,1.3285002708435059,0,17,0,5,1.04404832824767,0.6473176735117923,0.14304970313921883,1.0246659228957502,0.5042589934405828,8.135555710264697e-05,1,0,0,0,1,299,401,0,int8,49,0,0
,,,,0,18,,6,0.9989077129390378,0.6940301248763832,0.1837247521931138,0.9318674172070598,0.5359472123375659,0.14104283519663996,1,0,0,,0,95,,1,int8,45,0,0
,,,,0,19,,6,0.5857942191187986,0.2932292309042306,nan,0.7309420764914574,0.5005877355718078,0.2932292309042306,1,0,0,,0,83,,1,int8,20,0,0
