drop_step,drop_x,drop_y,drop_z,end_grasped,episode,in_spawn_box,joint_end,margin_10_before,margin_20_before,margin_40_before,margin_5_before,margin_end,margin_min,n_transport_entries,pinned_run_0.02,pinned_run_0.05,regrabbed,regrasps,steps,steps_left,success,tag,tr_len,warn_steps_0.02,warn_steps_0.05
,,,,0,0,,5,0.07843817106374829,nan,nan,0.231589068304217,0.44287799327488475,0.02052042824776823,1,0,0,,0,87,,1,int8,13,0,0
,,,,0,1,,6,0.029885202245446774,nan,nan,0.15183501365179364,0.10774122867087765,0.029885202245446774,1,0,0,,0,47,,1,int8,10,0,0
,,,,0,2,,6,1.041876614622545,0.707923707748221,0.11522332197253204,1.0983747427054555,0.3798480965218012,0.003530202441409891,1,0,0,,0,109,,1,int8,46,0,0
,,,,0,3,,3,0.7486791327240744,0.9370383503071236,0.24629228302160122,0.44758991759570066,0.010562586304305593,0.15320534718140477,1,0,0,,0,90,,1,int8,44,0,0
,,,,1,4,,5,-0.0003735636510446838,-0.0003724930804693827,-0.00037313601181399036,-0.0003732813239079036,-0.000372463421832947,-0.0023281668077284046,1,264,265,,0,300,,0,int8,300,264,265
,,,,0,5,,1,0.23595809339077123,0.275402036131148,0.5817594523559544,0.23267993832036682,0.24841093284490445,0.18148701230856945,1,0,0,,0,132,,1,int8,63,0,0
,,,,0,6,,5,0.43602476566304826,0.5519343388817579,-5.313552005770106e-05,0.3758383745888074,0.22648878313461873,-0.00030699109121767876,1,0,0,,0,89,,1,int8,47,0,0
,,,,0,7,,6,0.8133910452463335,0.9392961509013922,0.9881841003401997,0.7917864818206071,0.5568268093744102,0.528807449535126,1,0,0,,0,120,,1,int8,58,0,0
,,,,0,8,,5,0.17668564425519007,nan,nan,0.36098630917001495,0.42592710597711614,0.031199885264144633,1,0,0,,0,88,,1,int8,15,0,0
,,,,0,9,,6,0.8473960287846647,0.9124162153598621,0.4437675522527518,0.8280997591546173,0.6508435500679846,0.02570189066577999,1,0,0,,0,105,,1,int8,63,0,0
