episode,score,avg_100,best,buffer,is_best,steps,noise
20050,238.558,204.805,434.866,4000000,False,,
20100,243.055,204.182,434.866,4000000,False,,
20150,186.149,218.771,434.866,4000000,False,,
20200,233.489,219.355,434.866,4000000,False,,
20250,219.392,211.149,434.866,4000000,False,,
20300,221.713,213.802,434.866,4000000,False,,
20350,231.957,220.352,434.866,4000000,False,,
20400,226.965,219.584,434.866,4000000,False,,
20450,27.538,215.801,434.866,4000000,False,,
20500,221.481,207.933,434.866,4000000,False,,
20550,234.352,210.218,434.866,4000000,False,,
20600,216.049,213.287,434.866,4000000,False,,
20650,236.799,217.504,434.866,4000000,False,,
20700,234.138,223.995,434.866,4000000,False,,
20750,235.169,218.726,434.866,4000000,False,,
20800,239.295,216.422,434.866,4000000,False,,
20850,238.577,223.667,434.866,4000000,False,,
20900,236.063,224.998,434.866,4000000,False,,
20950,238.945,223.941,434.866,4000000,False,,
21000,240.421,227.138,434.866,4000000,False,,
21050,240.84,220.504,434.866,4000000,False,,
21100,239.514,212.312,434.866,4000000,False,,
21150,241.632,208.414,434.866,4000000,False,,
21200,224.835,205.285,434.866,4000000,False,,
21250,227.942,212.61,434.866,4000000,False,,
21300,244.238,224.486,434.866,4000000,False,,
21350,220.711,224.733,434.866,4000000,False,,
21400,237.517,225.199,434.866,4000000,False,,
21450,241.621,226.142,434.866,4000000,False,,
21500,237.613,228.225,434.866,4000000,False,,
21550,239.53,232.278,434.866,4000000,False,,
21600,245.018,230.387,434.866,4000000,False,,
21650,185.845,223.66,434.866,4000000,False,,
21700,236.553,217.458,434.866,4000000,False,,
21750,245.439,211.986,434.866,4000000,False,,
21800,244.614,211.595,434.866,4000000,False,,
21850,225.057,214.139,434.866,4000000,False,,
21900,226.337,212.863,434.866,4000000,False,,
21950,243.436,222.101,434.866,4000000,False,,
22000,244.079,224.101,434.866,4000000,False,,
22050,241.542,221.622,434.866,4000000,False,,
22100,237.764,224.233,434.866,4000000,False,,
22150,18.572,221.72,434.866,4000000,False,,
22200,4.389,217.247,434.866,4000000,False,,
22250,244.813,211.73,434.866,4000000,False,,
22300,244.816,214.478,434.866,4000000,False,,
22350,216.572,221.15,434.866,4000000,False,,
22400,243.698,223.284,434.866,4000000,False,,
22450,199.115,220.564,434.866,4000000,False,,
22500,239.604,216.636,434.866,4000000,False,,
22550,189.628,220.562,434.866,4000000,False,,
22600,235.07,226.497,434.866,4000000,False,,
22650,244.152,226.416,434.866,4000000,False,,
22700,217.213,226.166,434.866,4000000,False,,
22750,240.245,221.421,434.866,4000000,False,,
22800,212.046,221.089,434.866,4000000,False,,
22850,228.638,221.802,434.866,4000000,False,,
22900,219.608,213.393,434.866,4000000,False,,
22950,234.407,214.509,434.866,4000000,False,,
23000,234.58,218.497,434.866,4000000,False,,
23050,240.499,219.367,434.866,4000000,False,,
23100,243.35,223.313,434.866,4000000,False,,
23150,242.33,226.333,434.866,4000000,False,,
23200,241.277,227.217,434.866,4000000,False,,
23250,241.825,225.742,434.866,4000000,False,,
23300,237.701,225.982,434.866,4000000,False,,
23350,32.344,224.938,434.866,4000000,False,,
23400,203.023,222.754,434.866,4000000,False,,
23450,28.2,220.99,434.866,4000000,False,,
23500,242.822,224.821,434.866,4000000,False,,
23550,229.226,232.758,434.866,4000000,False,,
23600,239.481,227.226,434.866,4000000,False,,
23650,241.848,223.345,434.866,4000000,False,,
23700,235.402,225.689,434.866,4000000,False,,
23750,210.744,224.771,434.866,4000000,False,,
23800,236.987,219.995,434.866,4000000,False,,
23850,241.13,219.813,434.866,4000000,False,,
23900,231.6,222.323,434.866,4000000,False,,
23950,239.551,215.098,434.866,4000000,False,,
24000,236.836,211.45,434.866,4000000,False,,
24050,242.957,218.535,434.866,4000000,False,,
24100,41.952,218.713,434.866,4000000,False,,
24150,212.709,208.554,434.866,4000000,False,,
24200,215.269,206.083,434.866,4000000,False,,
24250,241.52,218.54,434.866,4000000,False,,
24300,241.659,226.747,434.866,4000000,False,,
24350,235.762,227.44,434.866,4000000,False,,
24400,240.383,228.271,434.866,4000000,False,,
24450,243.115,224.612,434.866,4000000,False,,
24500,239.729,221.222,434.866,4000000,False,,
24550,203.859,219.764,434.866,4000000,False,,
24600,238.265,218.445,434.866,4000000,False,,
24650,243.533,219.511,434.866,4000000,False,,
24700,241.181,217.421,434.866,4000000,False,,
24750,228.384,212.092,434.866,4000000,False,,
24800,243.494,218.108,434.866,4000000,False,,
24850,235.145,222.327,434.866,4000000,False,,
24900,195.039,218.425,434.866,4000000,False,,
24950,239.103,218.783,434.866,4000000,False,,
25000,239.238,226.276,434.866,4000000,False,,
25050,243.53,224.324,434.866,4000000,False,,
25100,242.016,218.073,434.866,4000000,False,,
25150,244.144,218.921,434.866,4000000,False,,
25200,237.028,217.261,434.866,4000000,False,,
25250,240.05,217.601,434.866,4000000,False,,
25300,109.649,222.063,434.866,4000000,False,,
25350,240.724,223.82,434.866,4000000,False,,
25400,233.653,216.867,434.866,4000000,False,,
25450,210.09,212.698,434.866,4000000,False,,
25500,237.971,216.233,434.866,4000000,False,,
25550,242.449,220.553,434.866,4000000,False,,
25600,234.552,216.63,434.866,4000000,False,,
25650,108.06,209.927,434.866,4000000,False,,
25700,216.927,212.205,434.866,4000000,False,,
25750,63.951,211.486,434.866,4000000,False,,
25800,240.447,215.842,434.866,4000000,False,,
25850,183.417,218.91,434.866,4000000,False,,
25900,235.359,217.237,434.866,4000000,False,,
25950,236.272,212.638,434.866,4000000,False,,
26000,240.632,212.698,434.866,4000000,False,,
26050,230.669,215.315,434.866,4000000,False,,
26100,197.869,216.044,434.866,4000000,False,,
26150,243.951,217.912,434.866,4000000,False,,
