episode,grasp_step,diag_deg,off_xy,obj_z,lift_ok,rise
0,23,37.742361118314875,0.0032230879879895182,0.9342815192299267,1,0.13363653939483244
1,25,12.988899193581773,0.002554698792540701,0.9414999181872797,1,0.1374365783851289
2,28,10.557529080318048,0.003805394612661295,0.932511147273973,1,0.1310307184571079
3,29,0.7704547746447616,0.006823047263583179,0.9436860505537321,1,0.1368372799385391
4,-1,,,,0,
5,22,31.29644960052613,0.004140083692022353,0.9406755225072798,1,0.1281210557839667
6,29,4.843463783787271,0.0011716521801876443,0.9403991990969375,1,0.13214724051486015
7,30,43.05209251673682,0.006574251554721066,0.9344949263288148,1,0.13125034986694362
8,29,16.426052635894962,0.006484108912068625,0.9420055990254541,1,0.11915896856505204
9,27,21.1375600197325,0.007039766583635691,0.913340861426146,1,0.1326277370459541
10,27,13.981889591881156,0.0011085666726966393,0.9366012320268622,1,0.13923972902429482
11,23,23.82806709378326,0.010153795614120631,0.8908161655141084,1,0.14098399024856068
12,25,14.701677018722648,0.006180743799436916,0.9585422064935096,1,0.14120112912452587
13,23,29.0453679039082,0.008707883143839636,0.9142089289378276,1,0.13565965539999636
14,23,13.637359784228522,0.00805134509091614,0.9309455743362604,1,0.14064994073007664
15,31,7.615184751690592,0.007958388124993967,0.9438232832002512,1,0.13684565997361087
16,31,21.832354285722445,0.0062867773621555064,0.9207298544797375,1,0.1319592950675479
17,35,19.2589589201353,0.003221097034591973,0.9316503799002738,1,0.12241428069582838
18,24,15.184411625605378,0.011325840218117184,0.9371979190740533,1,0.14436478353362292
19,23,4.430864864074863,0.006267668207775008,0.9229477114583065,1,0.14230707699084277
20,21,44.44991962138627,0.0031126952253559947,0.9122294210002955,1,0.14321722037137485
21,31,3.691827185902227,0.005376192570273821,0.9432654192879618,1,0.1373819580923029
22,26,11.145809162592336,0.005270241574010892,0.9165817287330833,1,0.12523216950411165
23,22,29.93874727353627,0.0021824310510162493,0.9457997618605545,1,0.12713715016353588
24,28,7.966807596566696,0.009491713706045686,0.9429609375937313,1,0.14033496806557477
25,26,17.005574279957273,0.01525118817583977,0.9427184588128108,1,0.13458194204524987
26,32,14.322540082846075,0.004349393053968939,0.9195880112521855,1,0.12581472150980622
27,23,6.6979414431401665,0.00652342479030129,0.9359187073108935,1,0.14027427446680318
28,22,30.660357116431754,0.007897060792316666,0.8779045352741344,1,0.1455516723639212
29,25,22.505752614356112,0.01830988733330681,0.8917837019308582,1,0.13938877879819878
30,25,12.240003493672987,0.00838921834229558,0.9032354334163998,1,0.13859291136960084
31,25,29.449618262869905,0.007511963133486847,0.919764702389035,1,0.13606270672889087
32,25,16.9991505742033,0.013183260787261309,0.9346499262272643,1,0.14040532666970829
33,26,44.083503664490735,0.00869710142095848,0.9236756890855988,1,0.13364953380643962
34,26,3.528718667496406,0.0082169810318373,0.9112168164601586,1,0.1439720541628704
35,21,41.54620059860872,0.0044850413001905716,0.9126245590413536,1,0.142952954132208
36,25,10.842994841126426,0.006796445803319479,0.9386812361348261,1,0.14192187878550222
37,26,16.241834132826398,0.017886470823685795,0.939499137985592,1,0.1442607014689633
38,23,13.314707012804774,0.0009754794130710117,0.9201780264880594,1,0.13808577144842815
39,26,27.17898732239946,0.004952328164254574,0.9326155675075698,1,0.12888950610484096
40,23,19.287322797510086,0.002614969858740617,0.9287557231464166,1,0.1428777937315614
41,28,33.634066405395885,0.008616544194506623,0.8911346349663016,1,0.1397769812962757
42,25,9.780874855567433,0.0064777774555723824,0.923876872277943,1,0.1303667541589576
43,27,32.04282694041055,0.008331677914088077,0.9381467231338924,1,0.13146675345564585
44,22,39.459120409877215,0.008417603999936196,0.9209578486231332,1,0.13858401880189508
45,20,34.63863125987348,0.004999982769892746,0.9001332023584283,1,0.1395642599431588
46,22,4.862653899019307,0.012179690192013815,0.9387482730019233,1,0.14022995295113738
47,29,41.66811132843659,0.0029864721813820396,0.9241337497935503,1,0.12908449562062885
48,23,24.45533025813438,0.0019494858807440046,0.9265497701248832,1,0.12490907466714185
49,35,11.480333314637477,0.003076850201280899,0.9257486434353657,1,0.12820169032099593
50,24,23.292970687661793,0.0008406302080356488,0.923823176833357,1,0.13165611875693262
51,22,14.983753254235268,0.004613043543516547,0.9250878832403431,1,0.13905325939263147
52,25,38.29800789495705,0.0017925275038692386,0.9227242123158521,1,0.13360291907832278
53,24,8.65025920847421,0.007502941235304936,0.9511922811512687,1,0.14170988256924022
54,27,20.36737992693833,0.003271832797560066,0.927019198902634,1,0.13054995813989057
55,29,0.8795811297886189,0.0025391953732223495,0.9270156540780053,1,0.1350967380681104
56,28,39.39897238540604,0.008926841408177651,0.9252464114035303,1,0.12897949622106475
57,23,25.290526561511854,0.00645679362521551,0.9081709601176688,1,0.14548472737333618
58,33,14.16368157318471,0.006189393871981092,0.9186030037772815,1,0.12011257065810776
59,31,21.456089948390797,0.005862494178578763,0.9025750547333841,1,0.12941538961234922
60,29,10.065907746629449,0.0014027024916309526,0.9419463957208274,1,0.12736752944595886
61,-1,,,,0,
62,-1,,,,0,
63,22,20.164600646874703,0.004657211036560119,0.926110784603795,1,0.14532124147758663
64,22,44.293098456498825,0.003942762006271963,0.9202400944428177,1,0.14338599260087537
65,29,41.789631068215044,0.007468456226350387,0.9319404415707977,1,0.13370400265722626
66,26,15.274554421032605,0.009296536628831455,0.9147456921787585,1,0.14243426191548347
67,63,10.967896024153525,0.0034241995638564886,0.9340275377813106,1,0.1418698808911837
68,23,12.246597472555436,0.005818096916457032,0.9214330954349548,1,0.14528294248081264
69,26,2.3266838698598633,0.003654943177003617,0.9201946246073565,1,0.1315036411004451
70,28,42.02801400767956,0.005298839710450928,0.9113145994725476,1,0.14125158328440923
71,27,17.324322661639627,0.0038004946660462075,0.9151402325157932,1,0.13120404319196666
72,23,0.08740165352611484,0.00450149879041623,0.9637751144914269,1,0.11977559301599372
73,23,36.909669824723665,0.005839856779365808,0.9113230542871502,1,0.1420526369325661
74,32,2.829467760679769,0.0030268853953805096,0.9283644499672035,1,0.12692977630928737
75,31,28.027997366244875,0.00477517304669195,0.9159566691483956,1,0.1297035345505293
76,26,2.8175021344847337,0.004731205116841124,0.9138695565240204,1,0.13214514687753998
77,23,21.56002815776722,0.007890976046092724,0.9250372105630666,1,0.14508563245753736
78,26,27.544388077233606,0.003561960988137806,0.926688831655093,1,0.13749445002825844
79,26,3.090430052017524,0.005026724883039278,0.9363743358471978,1,0.1366361471514962
80,39,4.908442078007582,0.008200228138120446,0.9519965293197163,1,0.1189527110292532
81,26,1.856446700508613,0.0031473454049253907,0.9344170473267454,1,0.12930128752641135
82,26,29.129709025840015,0.009989915020228068,0.8760561876192456,1,0.15393416634906232
83,22,43.898178928394856,0.006521474254765155,0.9087822486238297,1,0.14458348104046892
84,24,32.34362827701858,0.006514032286127496,0.8880829073685251,1,0.13913795153291264
85,22,24.340093942212263,0.0070329438204438325,0.8665625578425332,0,0.017262333194972168
86,28,6.869740230704892,0.005529866349558073,0.9082678690045588,1,0.12912902338594334
