episode,grasp_step,diag_deg,off_xy,obj_z,lift_ok,rise
0,21,5.505420893676998,0.009197405739642015,0.8574221443749945,1,0.12356628612658882
1,30,25.27604751901187,0.004395559901629449,0.8695386411315998,1,0.11892595762560043
2,18,40.63336842673691,0.0011964872728164985,0.8517357060512124,1,0.1300978655710474
3,27,2.3690921498984494,0.007467296300913387,0.8735869048278144,1,0.1461257749164342
4,17,40.6675911135292,0.0014131877608920679,0.8466131312958197,1,0.1356082810476359
5,20,35.83000765160354,0.0044670441440422615,0.8474912580422826,1,0.1306300311510905
6,19,1.1632478968671762,0.00280768750196857,0.8896259075068028,1,0.12200470067111058
7,19,29.087001049134955,0.003832821480531711,0.8343294153757077,1,0.15057823639520285
8,21,18.023859737231305,0.00619179952872899,0.872990554056046,1,0.14105861192686764
9,21,35.02140984493353,0.010813761652321703,0.8532400420786629,1,0.13129553747319522
10,23,20.047722525120747,0.008833338348718713,0.8600019288970755,1,0.1436697785975649
11,22,28.16123932398021,0.001017897587066359,0.8585222174498156,1,0.14890468773891385
12,26,8.421293335129747,0.0035034343805942477,0.8754285477706307,1,0.12722703115696454
13,17,43.78008095377811,0.00816477941737717,0.8546401972854162,1,0.13337793503205408
14,21,4.444139148330223,0.006051631483526363,0.8748103052730242,1,0.13739525190485524
15,20,6.601847355250811,0.013849699576358012,0.8487390434447021,1,0.14187437202214825
16,17,20.349558021575916,0.007412604117400011,0.8583569591579112,1,0.13873939027125382
17,19,43.52367515138162,0.0038152289339304763,0.8622391023422833,1,0.137884625807853
18,20,9.765412660729112,0.005231889846410762,0.8561905558180701,1,0.14938490238411262
19,18,0.6031780107617877,0.0005606101216116882,0.8819940543639542,1,0.12755199733408018
20,23,13.642067554894837,0.005797120591099051,0.8692792451121176,1,0.1383501754725618
21,25,8.581141609290626,0.0016981195132277495,0.8690201098533776,1,0.14528418703589518
22,22,38.91415603190205,0.012030197637755806,0.815685450841274,1,0.15896044701605738
23,21,42.60190520585212,0.007770911641743453,0.821274475051621,1,0.1583619508325197
24,20,16.530304699548253,0.008524286893011913,0.8635605059168938,1,0.14884148981015555
25,26,3.344159793847197,0.0022483858852197264,0.890394593468212,1,0.12150895510909199
26,21,1.6516257078457528,0.01800991409633264,0.8773758377226281,1,0.13134833127856094
27,25,25.505995258086244,0.00900720346753444,0.8632132391944705,1,0.13312199184754991
28,28,11.578156069651698,0.006661122189985963,0.885455432761634,1,0.13889343605020188
29,21,39.975524724471086,0.007498529336906481,0.8549187195294786,1,0.13444132205299064
30,16,30.38613315727028,0.00804901897573661,0.8506321212857978,1,0.1423978540463109
31,56,36.90695042389798,0.004360130361583997,0.8660943620429511,1,0.12199622220737305
32,22,22.569420017092085,0.0016595978449980148,0.8717711852511368,1,0.141178125303821
33,16,14.475053557053627,0.003819755662736005,0.8613334010012789,1,0.1366980061136428
34,26,1.930362113786856,0.005460794864601612,0.8700624466911097,1,0.15340358901261297
35,28,5.0499773353594435,0.004019082580795917,0.8624810100242779,1,0.12907227615443972
36,22,31.188983752319984,0.009476332566895465,0.8516080230194668,1,0.154346407836078
37,21,40.183223351350165,0.01303097117164502,0.8517859046106956,1,0.13782669426138472
38,20,6.822694059156831,0.004326905282809994,0.8566541037136309,1,0.13551791596529061
39,17,30.075753149024685,0.005116676538705259,0.8545428926837328,1,0.1324503163324421
40,19,38.71056931919878,0.012187643471669228,0.8685199777852685,1,0.14494434622960217
41,20,37.11278399757667,0.016657485137079833,0.841892422224565,1,0.13806784161029362
42,22,17.78310842880945,0.002497929865161531,0.8730071970323408,1,0.12451649752222915
43,17,14.782195304290887,0.0015042196838852405,0.8575990424680973,1,0.12419808785577313
44,17,30.648877286200275,0.0055516061669160675,0.8471203469531479,1,0.14368348210703874
45,20,23.460138230070488,0.001240926760938778,0.8656196279779449,1,0.12797161557951742
46,18,36.010687874861304,0.003283379499326154,0.8449091543494814,1,0.1408303087867907
47,22,37.168467218239186,0.016095548946185676,0.8704731407114404,1,0.12364932524457939
48,24,7.1321346695390275,0.003594957888778186,0.8778748585950417,1,0.12152199133703923
49,25,23.093069950045575,0.00589007523334026,0.8645440000070478,1,0.14742617023873128
50,22,6.13931381658216,0.0022031616573541376,0.8772903239770747,1,0.132207695320829
51,19,2.4464045926648623,0.002243884389393442,0.8746972010026292,1,0.1221327394734456
52,25,26.983139733760297,0.004935972982264428,0.8614551572611729,1,0.12024225053896798
53,21,4.596307004714205,0.004151778024236779,0.8515541700033893,1,0.12628743498352168
54,26,27.64003888906735,0.006946830659699923,0.870279892099452,1,0.11948231825519684
55,27,0.3008983183035383,0.006180540624167425,0.8687224685565967,1,0.12681747602678084
56,16,26.1979710073757,0.007274704010184814,0.865733286825036,1,0.1362979297609015
57,20,43.27819694565355,0.007673443489579304,0.8305974215156045,1,0.15171594574182168
58,17,5.38038910527257,0.010243608141655132,0.8518146917813755,1,0.14154034531969717
59,19,8.727601647513879,0.003252725752293688,0.8718852455480428,1,0.13476764236911976
60,18,14.413903944027766,0.0010038104233411724,0.8681352505553203,1,0.1246852623988094
61,20,10.181051449192339,0.008167384739118825,0.8603945100575047,1,0.13091942211428886
62,22,3.3568531599589235,0.003543136567955274,0.8543882754886963,1,0.1252944619761729
63,24,18.17050379766644,0.004698187629110301,0.8649371218765279,1,0.15441255289551126
64,20,41.65649707904291,0.004122266757691061,0.8444744606202408,1,0.1461554235241681
65,16,13.699863112237267,0.008139936789599178,0.8555793071748583,1,0.14199766914775291
66,29,16.586308589531622,0.0007554374484708202,0.8620721165436925,1,0.13374611680660198
67,27,17.066418201372713,0.005145898265396628,0.8603960697174503,1,0.13727316921336608
68,20,0.19976842621431956,0.010109117585860685,0.8832069692070156,1,0.13332436776789314
69,20,39.97168276965516,0.009142119026688838,0.8372852066349483,1,0.14994133420683076
70,21,22.63591680164852,0.0013557487128248642,0.8659633489433991,1,0.1397236213572315
71,25,14.864259116950095,0.014025255038799306,0.8605991832633662,1,0.1265646529690445
72,18,0.5907956250883828,0.007860755188885654,0.8838511442416097,1,0.12320782427875998
73,26,10.678935621425154,0.0035280172952732174,0.8812799029952375,1,0.14552577828752133
74,18,19.394039174420556,0.01609460290449691,0.8573860398368541,1,0.12570680395338685
75,23,0.8590221981343547,0.002464388789765186,0.8582632588257104,1,0.12494722355116383
76,18,19.811400601833043,0.005110691374849393,0.8687962305699105,1,0.1478390976715448
77,24,30.942677720787557,0.00664656154022774,0.8669706224337493,1,0.1435338837576431
78,16,26.50345640919904,0.005694310967964713,0.8583514686404314,1,0.13730408555273987
79,29,30.370622894854506,0.007849346306981468,0.8479767838625731,1,0.13167195522476283
80,20,9.205299240574632,0.005604822525848867,0.8584463335124047,1,0.13540535647229857
81,20,3.545726362126544,0.005443191049795849,0.8635153053478845,1,0.13817907560506149
82,20,38.85486921104261,0.005254855874636421,0.8571660474065821,1,0.12522466830694545
83,16,9.952450207539655,0.003060143729657703,0.8524211544300331,1,0.13456478683343442
84,29,21.921445323838434,0.0011330206933631785,0.8591239808573065,1,0.12284224564519863
85,22,15.434340126606202,0.0040042910977309545,0.8575246140775382,1,0.14871836577372843
86,29,1.7422941337002698,0.00650009539045665,0.884055704218043,1,0.1382915127619022
