reach,grip_close,idle,drop,away,grasp_hold,success_bonus,partial_credit,align_shape,n_drops,n_grasped_steps,_align,_rise,_certified,_steps,_total,_disc,outcome
17.490261223538095,2.450018210327693,-9.600000000000003,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.9557201887087609,0.15640310144716374,1,24,240.3402794338658,193.49099430387446,CERTIFIED
17.546656098899646,3.090953486966085,-11.600000000000005,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.648575794473314,0.0899719208762606,1,29,239.03760958586574,182.74004391907167,CERTIFIED
18.248075688160384,2.3542296244420617,-10.800000000000004,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.9351372048174552,0.16422710490072912,1,27,239.80230531260244,187.24098441133367,CERTIFIED
19.454202374780735,3.5513786338632745,-11.200000000000005,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.3884383316585488,0.12397349224855603,1,28,241.805581008644,187.082307388017,CERTIFIED
16.996236307736055,2.4913867162775256,-10.000000000000004,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.8963807557629093,0.07365834402503102,1,25,239.48762302401357,190.73531524714468,CERTIFIED
18.20627015456946,3.0271905594533806,-8.800000000000002,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.356001549702601,0.13195399373067818,1,22,242.43346071402283,199.4591262484133,CERTIFIED
18.164555095070522,2.8151121443157674,-9.200000000000003,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.9188674011280057,0.24175068530117227,1,23,241.7796672393863,196.82073032146403,CERTIFIED
18.07019700880626,2.866152397547745,-11.600000000000005,0.0,-0.7,80.0,150.0,0.0,0.0,0,8,0.8000613238493051,0.11682346225815798,1,29,238.63634940635401,182.3736146916521,CERTIFIED
18.569885776200202,1.7160636883603892,-10.800000000000004,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.660471886158999,0.16721534077800626,1,27,239.48594946456058,187.0065913974602,CERTIFIED
22.82272722814873,4.956081339510199,-11.600000000000005,-5.0,0.0,120.0,150.0,0.0,0.0,1,12,0.5656876940953575,0.20900444978132016,1,29,281.1788085676589,219.00749805125477,CERTIFIED
36.007695808419946,7.463182743778238,-17.200000000000003,0.0,-0.7,80.0,150.0,0.0,0.0,0,8,0.1361852151423414,0.11305851304126446,1,43,255.57087855219822,172.56093884866607,CERTIFIED
16.597367793710312,1.6755450379608012,-9.200000000000003,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.16860207994778942,0.1850488561622391,1,23,239.0729128316711,194.36446342676027,CERTIFIED
33.81814636504434,4.535718321690513,-18.4,-15.0,0.0,160.0,150.0,0.0,0.0,3,16,0.9216654481193327,0.07757903452408044,1,46,314.95386468673485,210.32996361251418,CERTIFIED
16.680776638871848,1.4334014985616907,-11.200000000000005,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.25115350076715626,0.13601324990737185,1,28,236.91417813743354,182.79134746373023,CERTIFIED
19.38611355676222,2.745061577930705,-11.200000000000005,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.953771571499615,0.13661313966894006,1,28,240.9311751346929,186.39413374994015,CERTIFIED
17.263578017793087,2.2639820803197965,-9.200000000000003,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.735805097762082,0.10437473933783614,1,23,240.32756009811288,195.50319123715755,CERTIFIED
20.403737728471626,4.418036439687285,-10.000000000000004,0.0,-0.7,80.0,150.0,0.0,0.0,0,8,0.19555239427721172,0.19617947669385227,1,25,244.12177416815894,195.0795442944646,CERTIFIED
17.362979335858064,2.734507126006991,-8.400000000000002,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.9391874384431825,0.1095975057003985,1,21,241.69748646186505,200.76667173457662,CERTIFIED
17.757254741951897,2.302912255041282,-9.200000000000003,0.0,0.0,80.0,150.0,0.0,0.0,0,8,0.6536827361109323,0.26541962826977916,1,23,240.8601669969932,195.98461365095082,CERTIFIED
